TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-9.19,1/1/2022 0:23,-18.79,1/1/2022 8:18,-14.12,75.56,1/1/2022 23:40,62.95,1/1/2022 16:50,67.92,21.09,1/1/2022 1:26,0.596,1/1/2022 22:12,7.815,311.2,NW,136.0957,6.908741,0.006,0.007,0
1/2/2022 23:59,0,0,2.477,1/2/2022 23:56,-19.28,1/2/2022 7:56,-8.48,80.3,1/2/2022 9:46,57.9,1/2/2022 15:03,71.07,10.96,1/2/2022 19:51,0,1/2/2022 5:51,3.746,206.5,SSW,162.5342,6.921883,0.007,0.009,0
1/3/2022 23:59,0.03,0.03,23.47,1/3/2022 13:58,1.806,1/3/2022 0:00,11.35,89.4,1/3/2022 23:54,65.03,1/3/2022 13:59,76.71,12.3,1/3/2022 0:44,0,1/3/2022 0:10,3.538,150.1,SSE,105.2342,6.822431,0.009,0.012,0
1/4/2022 23:59,0,0.03,26.74,1/4/2022 14:56,4.436,1/4/2022 2:53,16.66,93.8,1/4/2022 22:58,76.92,1/4/2022 13:35,85.6,24.52,1/4/2022 23:48,0,1/4/2022 0:04,7.237,103.7,NE,93.91601,6.811567,0.012,0.016,0
1/5/2022 23:59,0,0.03,18.59,1/4/2022 23:59,-1.81,1/5/2022 23:55,7.683,88.3,1/4/2022 23:59,70.82,1/5/2022 23:24,79.17,28.1,1/5/2022 10:33,8.27,1/5/2022 21:54,16.68,320.6,NW,114.2652,6.992534,0.011,0.016,0
1/6/2022 23:59,0,0.03,-1.543,1/6/2022 0:01,-16.9,1/6/2022 23:58,-9.4,77.77,1/6/2022 7:46,65.29,1/6/2022 17:04,71.12,22.96,1/6/2022 1:48,2.832,1/6/2022 21:42,11.17,306.6,NW,135.7493,7.141342,0.007,0.009,0
1/7/2022 23:59,0,0.03,11.13,1/7/2022 23:48,-26.05,1/7/2022 8:40,-9.09,77.88,1/7/2022 9:47,61.12,1/7/2022 23:17,69.85,24.52,1/7/2022 23:17,0,1/7/2022 2:34,5.979,174.2,SSE,153.5362,7.198409,0.008,0.01,0
1/8/2022 23:59,0,0.03,26.34,1/8/2022 17:22,0.756,1/8/2022 23:58,16.99,79.72,1/8/2022 18:50,63.8,1/7/2022 23:59,71.84,28.1,1/8/2022 20:44,1.789,1/8/2022 7:25,11.37,212.9,SSW,110.6586,7.053123,0.019,0.026,0
1/9/2022 23:59,0,0.03,1.004,1/8/2022 23:59,-7.971,1/9/2022 8:01,-3.195,70.34,1/9/2022 6:52,48.29,1/9/2022 15:27,62.14,28.92,1/9/2022 0:05,2.46,1/9/2022 17:24,11.03,277.9,W,175.5213,7.316518,0.012,0.017,0
1/10/2022 23:59,0,0.03,1.769,1/10/2022 21:41,-12.7,1/10/2022 7:38,-4.906,76.6,1/10/2022 4:20,50.01,1/10/2022 15:33,63.34,16.55,1/10/2022 5:55,0,1/10/2022 14:21,5.079,237.6,W,149.3987,7.393267,0.008,0.011,0
