TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,669,12.47,0,0,33.74,1/1/2023 0:04,22.1,1/1/2023 23:57,26.32,96.7,1/1/2023 9:44,73.02,1/1/2023 15:53,87.7,14.68,1/1/2023 1:08,1.043,1/1/2023 11:05,6.555,273.1,W,121.4984,6.618053,0.014,0.018,0
1/2/2023 23:59,670,12.43,0,0,23.05,1/2/2023 15:33,20.38,1/2/2023 10:49,21.9,95.4,1/2/2023 2:34,88.7,1/2/2023 17:28,93,8.5,1/2/2023 23:48,0,1/2/2023 5:21,2.57,203.4,WNW,75.01989,6.689792,0.006,0.007,0
1/3/2023 23:59,671,12.37,0,0,29.55,1/3/2023 23:47,18.65,1/3/2023 8:16,23.46,96.8,1/3/2023 20:22,81.8,1/3/2023 11:14,93.1,23.18,1/3/2023 13:06,2.385,1/3/2023 12:10,11.18,39.26,NE,25.75769,6.741007,0.006,0.009,0
1/4/2023 23:59,672,12.31,0.02,0.02,30.29,1/4/2023 11:19,25.06,1/4/2023 23:51,27.96,98.5,1/4/2023 12:01,95.9,1/4/2023 5:13,97.3,22.21,1/4/2023 13:42,4.696,1/4/2023 20:46,11.46,61.92,NNE,67.40713,6.690259,0.007,0.008,0
1/5/2023 23:59,673,12.27,0,0.02,25.34,1/5/2023 0:00,5.104,1/5/2023 21:27,18.86,96.3,1/5/2023 1:03,85.6,1/5/2023 21:22,93,18.48,1/5/2023 2:31,0,1/5/2023 20:41,7.703,258.9,NW,115.4446,6.856583,0.008,0.01,0
1/6/2023 23:59,674,12.25,0,0.02,11.21,1/6/2023 15:01,-6.634,1/6/2023 6:31,2.398,90.2,1/6/2023 16:20,80.8,1/6/2023 5:16,85.4,6.261,1/6/2023 13:41,0,1/6/2023 0:01,1.38,243.4,NW,143.1367,7.031094,0.005,0.005,0
1/7/2023 23:59,675,12.36,0.01,0.03,17.88,1/7/2023 15:45,-8.85,1/7/2023 5:39,3.143,91.8,1/7/2023 15:01,79.65,1/7/2023 5:30,85.4,7.677,1/7/2023 18:57,0,1/6/2023 23:59,1.626,136.9,SSE,190.3633,7.076262,0.008,0.008,0
1/8/2023 23:59,676,12.41,0.01,0.04,19.27,1/8/2023 14:44,-2.202,1/8/2023 23:36,6.897,90.8,1/8/2023 20:08,82.8,1/8/2023 2:25,86.4,12.67,1/8/2023 13:43,0,1/8/2023 0:01,3.135,173.8,S,164.3359,7.08681,0.008,0.009,0
1/9/2023 23:59,677,12.41,0,0.04,28.16,1/9/2023 16:13,-4.581,1/9/2023 2:50,13.89,93.7,1/9/2023 23:47,81.8,1/9/2023 2:43,88.6,10.14,1/9/2023 12:27,0,1/9/2023 0:04,2.055,89.8,E,134.3078,7.101449,0.007,0.007,0
1/10/2023 23:59,678,12.47,0,0.04,29.87,1/10/2023 15:48,25.15,1/10/2023 2:12,27.21,96.7,1/10/2023 6:26,92.5,1/10/2023 1:17,95.2,7.826,1/10/2023 5:23,0,1/10/2023 8:30,2.538,218.1,NW,72.51933,7.067591,0.007,0.007,0
