,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4738,1.0,87,975,342,2023-01-01,3.7,0.0,81,83,1672552800,1672617600,1672552800,722,262,0.7000000000000001,-4.7,final,17,197,-5.1,417,0.0,2.4,6.4,75,22,262,-2.8,538,1012,1804,231.0,1672635600,0.0
1,1,4753,-4.2,90,981,344,2023-01-02,2.3,0.0,100,83,1672711200,1672722000,1672639200,723,255,0.6000000000000001,-6.4,final,10,198,-6.0,228,0.0,1.0,4.4,76,22,255,-5.0,540,1018,1815,226.0,1672668000,0.0
2,2,4770,-0.6000000000000001,89,970,345,2023-01-03,6.7,14.8,100,83,1672808400,1672779600,1672725600,725,41,0.6000000000000001,-5.4,final,14,199,-6.1,347,14.8,4.4,10.4,76,23,41,-3.9,542,1006,1828,212.0,1672754400,343.3
3,3,4787,0.2,89,969,347,2023-01-04,5.2,14.3,100,83,1672855200,1672862400,1672812000,726,265,0.6000000000000001,-2.8,final,11,199,-3.0,258,14.3,4.5,10.4,77,23,265,-1.3,544,1006,1841,325.0,1672894800,232.8
4,4,4806,-3.0,85,977,349,2023-01-05,5.7,1.5,88,83,1672905600,1672909200,1672898400,727,306,1.8,-8.2,final,77,200,-17.6,1843,1.5,3.4,8.2,77,23,306,-6.1,546,1015,1855,350.0,1672981200,30.0
5,5,4826,-8.8,80,985,351,2023-01-06,2.4,0.0,19,84,1673038800,1673038800,1672984800,728,241,1.9,-19.5,final,78,201,-23.0,1870,0.0,1.8,4.0,78,23,241,-16.9,548,1024,1871,334.0,1673006400,0.0
6,6,4847,-7.0,79,990,353,2023-01-07,2.8,0.0,0,84,1673121600,1673146800,1673071200,730,169,1.9,-18.8,final,79,202,-22.5,1887,0.0,1.3,5.2,79,23,169,-15.9,551,1029,1887,323.0,1673100000,0.0
7,7,4869,-7.0,78,983,355,2023-01-08,2.8,0.0,3,84,1673211600,1673208000,1673157600,731,163,1.9,-16.6,final,79,203,-20.4,1903,0.0,1.8,6.4,79,23,163,-13.5,554,1021,1905,315.0,1673157600,0.0
8,8,4892,-1.0,84,974,358,2023-01-09,2.8,0.0,47,84,1673301600,1673290800,1673244000,733,97,0.7000000000000001,-10.7,final,23,204,-18.2,558,0.0,1.5,5.6,80,23,97,-8.5,557,1012,1923,307.0,1673269200,0.0
9,9,4916,-0.6000000000000001,89,973,360,2023-01-10,2.5,0.0,100,85,1673384400,1673352000,1673330400,735,265,0.6000000000000001,-3.6,final,16,205,-3.0,385,0.0,1.1,4.4,81,23,265,-2.0,560,1010,1942,300.0,1673344800,0.0
10,10,4941,0.5,88,974,363,2023-01-11,4.5,7.5,100,85,1673470800,1673499600,1673416800,737,201,0.6000000000000001,-2.8,final,22,206,-2.7,529,7.5,1.7000000000000002,7.7,82,23,201,-1.1,563,1010,1962,348.0,1673420400,145.5
11,11,4968,-2.3,79,987,366,2023-01-12,5.7,0.0,97,85,1673503200,1673560800,1673503200,738,317,0.7000000000000001,-9.1,final,21,207,-8.5,511,0.0,4.7,10.3,83,24,317,-6.0,567,1024,1984,364.0,1673586000,0.0
12,12,4995,-8.5,87,990,368,2023-01-13,3.5,0.0,97,85,1673596800,1673589600,1673589600,740,225,0.6000000000000001,-11.4,final,16,208,-12.6,387,0.0,1.8,7.2,84,24,225,-9.7,570,1028,2006,353.0,1673661600,0.0
13,13,5024,0.30000000000000004,79,977,371,2023-01-14,5.0,0.0,11,86,1673744400,1673758800,1673676000,742,144,1.1,-8.1,final,26,209,-12.3,631,0.0,3.5,8.7,85,24,144,-4.9,574,1014,2029,346.0,1673676000,0.0
14,14,5054,3.7,75,968,375,2023-01-15,4.7,0.0,0,86,1673812800,1673776800,1673762400,744,146,1.9,-3.0,final,78,211,-0.6000000000000001,1867,0.0,3.3,9.2,86,24,146,1.0,578,1004,2053,337.0,1673780400,0.0
15,15,5086,1.8,90,962,378,2023-01-16,4.0,9.0,97,86,1673892000,1673870400,1673848800,746,114,0.6000000000000001,0.0,final,10,212,0.7000000000000001,240,9.0,3.1,6.8,87,24,114,1.4,582,998,2078,327.0,1673924400,25.5
16,16,5118,1.6,87,969,381,2023-01-17,4.6,1.8,100,87,1673971200,1673978400,1673935200,748,301,0.7000000000000001,-1.2,final,21,213,-1.3,513,1.8,3.7,9.6,88,24,301,0.7000000000000001,586,1005,2104,348.0,1674018000,21.0
17,17,5152,0.5,83,977,385,2023-01-18,5.7,0.0,100,87,1674064800,1674086400,1674021600,750,152,0.7000000000000001,-3.2,final,22,215,-2.1,519,0.0,2.9,8.8,89,25,152,-0.6000000000000001,591,1013,2131,344.0,1674050400,0.0
18,18,5188,0.0,85,971,388,2023-01-19,7.0,7.8,100,87,1674158400,1674162000,1674108000,753,246,0.7000000000000001,-3.4,final,17,216,-2.3,405,7.8,4.5,9.7,90,25,246,-1.2,598,1008,2159,309.0,1674190800,134.0
19,19,5230,-2.1,84,982,392,2023-01-20,4.5,0.0,75,88,1674198000,1674201600,1674194400,755,275,0.8,-7.2,final,31,218,-6.8,737,0.0,2.8,7.6,91,25,275,-4.9,604,1020,2188,347.0,1674226800,0.0
20,20,5275,-5.1,90,980,396,2023-01-21,3.0,0.0,92,88,1674334800,1674284400,1674280800,757,224,1.2,-7.5,final,47,220,-7.5,1138,0.0,1.8,5.2,92,25,224,-6.2,610,1017,2219,341.0,1674363600,0.0
