,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4657,-1.9,89,963,329,2023-01-01,4.0,0.0,99,81,1672552800,1672603200,1672552800,714,278,0.6000000000000001,-6.7,final,13,194,-7.0,324,0.0,3.0,7.6,72,22,278,-5.2,522,1015,1727,227.0,1672588800,0.0
1,1,4673,-4.8,91,969,331,2023-01-02,2.4,0.0,99,81,1672639200,1672639200,1672639200,715,249,0.6000000000000001,-8.3,final,12,195,-10.7,281,0.0,1.6,4.0,72,22,249,-7.0,524,1021,1738,225.0,1672722000,0.0
2,2,4689,-5.2,87,960,332,2023-01-03,6.4,9.5,98,82,1672808400,1672797600,1672725600,716,38,0.6000000000000001,-9.7,final,15,195,-10.7,353,9.5,4.8,11.6,73,22,38,-7.9,526,1012,1751,232.0,1672725600,237.5
3,3,4707,-3.7,85,960,334,2023-01-04,5.6,9.0,100,82,1672851600,1672887600,1672812000,718,21,0.6000000000000001,-6.8,final,14,196,-5.9,335,9.0,5.2,10.8,74,22,21,-4.7,528,1011,1764,261.0,1672894800,220.0
4,4,4725,-5.9,83,966,336,2023-01-05,4.4,0.0,18,82,1672898400,1672898400,1672898400,719,232,1.8,-12.4,final,74,197,-14.1,1778,0.0,2.8,8.4,74,22,232,-10.0,530,1019,1778,304.0,1672981200,0.0
5,5,4745,-10.7,87,972,338,2023-01-06,2.8,0.0,67,82,1673035200,1673049600,1672984800,720,302,1.1,-15.2,final,26,198,-18.1,619,0.0,2.2,4.8,75,22,302,-13.5,532,1026,1794,296.0,1673013600,0.0
6,6,4765,-10.0,85,976,340,2023-01-07,4.0,0.0,44,82,1673125200,1673143200,1673071200,722,252,1.2,-17.4,final,66,199,-20.4,1582,0.0,2.3,6.4,75,22,252,-15.5,535,1031,1810,290.0,1673085600,0.0
7,7,4787,-5.9,84,968,342,2023-01-08,4.4,0.0,30,83,1673208000,1673172000,1673157600,724,226,1.9,-13.6,final,76,199,-14.8,1825,0.0,3.0,6.8,76,22,226,-11.3,537,1021,1827,286.0,1673175600,0.0
8,8,4809,-4.1,89,962,345,2023-01-09,3.6,0.0,99,83,1673326800,1673305200,1673244000,725,111,0.6000000000000001,-9.8,final,9,200,-12.6,225,0.0,2.5,6.8,77,22,111,-8.3,540,1014,1845,281.0,1673258400,0.0
9,9,4832,-1.1,90,962,347,2023-01-10,2.4,0.0,100,83,1673413200,1673413200,1673330400,727,129,0.6000000000000001,-4.5,final,16,201,-5.2,383,0.0,1.6,4.4,78,23,129,-3.1,543,1013,1864,278.0,1673330400,0.0
10,10,4855,-1.5,90,963,350,2023-01-11,4.8,0.0,98,83,1673474400,1673499600,1673416800,729,256,0.7000000000000001,-4.4,final,19,202,-4.4,445,0.0,2.7,8.8,78,23,256,-3.1,545,1014,1884,272.0,1673499600,0.0
11,11,4880,-5.2,83,976,352,2023-01-12,5.6,0.0,100,84,1673503200,1673535600,1673503200,731,318,0.6000000000000001,-10.7,final,17,203,-10.4,418,0.0,4.5,10.4,79,23,318,-8.3,548,1029,1905,270.0,1673582400,0.0
12,12,4905,-10.4,88,977,355,2023-01-13,5.2,0.0,99,84,1673643600,1673672400,1673589600,732,224,0.6000000000000001,-12.9,final,14,204,-12.2,347,0.0,2.8,9.6,80,23,224,-11.3,551,1031,1926,266.0,1673589600,0.0
13,13,4931,-0.7000000000000001,83,962,358,2023-01-14,6.8,0.0,75,84,1673758800,1673758800,1673676000,734,164,0.6000000000000001,-8.4,final,21,205,-11.1,497,0.0,5.6,12.8,81,23,164,-6.0,555,1014,1949,263.0,1673694000,0.0
14,14,4957,1.5,84,955,361,2023-01-15,6.4,0.0,75,84,1673816400,1673769600,1673762400,737,165,1.8,-2.8,final,77,207,-1.9,1851,0.0,4.5,12.0,82,23,165,-0.5,558,1005,1973,259.0,1673841600,0.0
15,15,4984,0.4,92,952,365,2023-01-16,4.4,3.0,100,85,1673899200,1673931600,1673848800,739,92,0.6000000000000001,-1.7000000000000002,final,8,208,-1.9,200,3.0,3.7,8.0,83,23,92,-0.6000000000000001,562,1002,1997,253.0,1673863200,39.0
16,16,5012,-0.7000000000000001,89,958,368,2023-01-17,4.8,0.5,100,85,1673935200,1673978400,1673935200,741,334,0.6000000000000001,-3.4,final,17,209,-4.1,400,0.5,4.2,9.2,84,24,334,-1.8,568,1009,2023,267.0,1674018000,14.0
17,17,5044,-2.2,88,966,372,2023-01-18,4.4,0.0,97,85,1674075600,1674093600,1674021600,743,127,0.6000000000000001,-5.0,final,20,210,-4.8,474,0.0,2.8,8.0,85,24,127,-3.3,575,1018,2049,266.0,1674028800,0.0
18,18,5081,-2.2,86,962,376,2023-01-19,5.2,2.0,100,86,1674162000,1674158400,1674108000,745,183,0.6000000000000001,-5.1,final,18,212,-4.1,428,2.0,4.3,10.4,87,24,183,-3.1,581,1013,2077,279.0,1674183600,40.0
19,19,5123,-4.1,88,971,380,2023-01-20,3.6,0.0,99,86,1674194400,1674241200,1674194400,748,279,0.7000000000000001,-7.7,final,21,213,-7.8,505,0.0,2.9,6.8,88,24,279,-6.1,588,1023,2106,278.0,1674219600,0.0
20,20,5168,-4.8,89,968,384,2023-01-21,3.2,0.0,60,87,1674291600,1674295200,1674280800,750,235,1.8,-9.0,final,83,215,-10.7,1989,0.0,2.5,6.8,89,25,235,-7.6,594,1020,2137,276.0,1674363600,0.0
21,21,5217,-7.8,90,964,388,2023-01-22,3.2,0.0,97,87,1674421200,1674439200,1674367200,753,245,0.7000000000000001,-11.1,final,15,217,-12.2,350,0.0,1.6,6.4,90,25,245,-9.8,601,1017,2168,274.0,1674446400,0.0
22,22,5269,-1.5,88,964,392,2023-01-23,5.6,0.0,97,87,1674511200,1674514800,1674453600,756,267,0.8,-7.3,final,27,220,-11.5,657,0.0,4.7,10.8,92,25,267,-5.6,607,1016,2201,272.0,1674468000,0.0
23,23,5323,-3.3,87,966,397,2023-01-24,5.2,0.0,84,88,1674601200,1674540000,1674540000,758,212,0.7000000000000001,-7.7,final,26,222,-9.3,629,0.0,3.0,9.2,93,26,212,-5.9,614,1018,2234,270.0,1674565200,0.0
