,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4505,-2.0,89,958,311,2023-01-01,6.7,0.0,100,79,1672556400,1672614000,1672552800,700,278,0.5,-7.2,final,12,188,-8.3,284,0.0,3.7,7.2,67,21,278,-5.7,504,1012,1608,373.0,1672635600,0.0
1,1,4522,-6.7,88,964,312,2023-01-02,4.0,0.0,78,79,1672675200,1672639200,1672639200,702,262,0.5,-10.9,final,12,188,-17.0,284,0.0,1.9,4.0,67,21,262,-9.3,506,1019,1619,369.0,1672722000,0.0
2,2,4540,-6.0,85,958,314,2023-01-03,6.7,2.5,67,80,1672804800,1672804800,1672725600,703,164,0.6000000000000001,-13.0,final,13,189,-18.3,310,2.5,2.3,9.6,68,21,164,-10.9,508,1013,1631,367.0,1672750800,62.5
3,3,4559,-3.9,80,958,315,2023-01-04,6.3,3.0,83,80,1672869600,1672815600,1672812000,704,55,0.6000000000000001,-9.3,final,17,190,-9.4,407,3.0,3.6,9.2,69,21,55,-6.3,510,1012,1644,367.0,1672891200,75.0
4,4,4578,-6.1,86,962,317,2023-01-05,4.5,0.0,55,80,1672948800,1672905600,1672898400,706,167,1.7000000000000002,-12.5,final,67,191,-20.0,1609,0.0,2.2,6.4,69,21,167,-10.7,512,1017,1658,364.0,1672977600,0.0
5,5,4599,-8.9,84,968,319,2023-01-06,3.1,0.0,11,80,1673038800,1673031600,1672984800,707,293,1.5,-17.7,final,29,192,-21.1,703,0.0,1.5,3.6,70,21,293,-15.6,515,1024,1674,360.0,1673013600,0.0
6,6,4621,-6.7,83,972,321,2023-01-07,4.5,0.0,22,80,1673121600,1673154000,1673071200,709,197,1.2,-16.4,final,49,193,-22.2,1181,0.0,2.1,7.2,70,22,197,-14.2,517,1028,1690,357.0,1673085600,0.0
7,7,4644,-4.4,86,964,324,2023-01-08,5.4,0.0,6,81,1673208000,1673179200,1673157600,710,193,1.8,-12.5,final,71,193,-14.4,1701,0.0,2.4,7.2,71,22,193,-10.5,520,1019,1707,354.0,1673186400,0.0
8,8,4668,-3.3,87,958,326,2023-01-09,4.0,0.0,60,81,1673308800,1673316000,1673244000,712,109,0.6000000000000001,-11.0,final,8,194,-16.1,202,0.0,1.9,6.0,72,22,109,-9.2,522,1013,1725,350.0,1673254800,0.0
9,9,4692,-1.7000000000000002,92,957,328,2023-01-10,5.8,0.0,100,81,1673398800,1673388000,1673330400,714,141,0.7000000000000001,-3.8,final,22,196,-4.4,531,0.0,2.6,4.8,73,22,141,-2.7,525,1011,1744,349.0,1673330400,0.0
10,10,4717,-1.1,90,958,331,2023-01-11,7.2,3.0,100,81,1673467200,1673492400,1673416800,716,243,0.7000000000000001,-4.7,final,19,197,-7.8,453,3.0,3.3,9.2,73,22,243,-3.3,528,1012,1763,382.0,1673499600,60.0
11,11,4743,-7.8,83,972,334,2023-01-12,7.2,0.0,65,82,1673506800,1673524800,1673503200,718,335,0.6000000000000001,-13.4,final,15,198,-19.4,368,0.0,4.1,9.6,74,22,335,-11.1,531,1027,1784,381.0,1673586000,0.0
12,12,4770,-10.0,84,972,337,2023-01-13,6.3,0.0,42,82,1673643600,1673668800,1673589600,720,203,0.6000000000000001,-16.4,final,14,199,-18.3,329,0.0,2.7,9.2,75,22,203,-14.3,534,1028,1806,377.0,1673611200,0.0
13,13,4798,-2.8,84,957,340,2023-01-14,8.9,0.0,43,82,1673758800,1673751600,1673676000,722,154,0.9,-10.6,final,22,200,-12.8,528,0.0,5.9,11.6,76,22,154,-8.4,538,1012,1828,374.0,1673690400,0.0
14,14,4826,1.1,88,951,343,2023-01-15,6.7,0.5,14,83,1673812800,1673762400,1673762400,724,157,1.7000000000000002,-4.0,final,73,201,-6.1,1751,0.5,3.8,10.4,77,23,157,-2.3,541,1004,1852,370.0,1673830800,10.0
15,15,4854,1.1,91,949,346,2023-01-16,6.3,3.0,87,83,1673913600,1673931600,1673848800,726,106,0.6000000000000001,-2.4,final,9,202,-3.3,222,3.0,3.0,8.0,78,23,106,-1.0,544,1002,1876,365.0,1673852400,52.0
16,16,4884,0.0,88,955,350,2023-01-17,8.1,0.5,100,83,1673942400,1673967600,1673935200,729,341,0.6000000000000001,-4.3,final,15,203,-5.0,364,0.5,4.5,9.6,79,23,341,-2.6,548,1008,1901,378.0,1674018000,13.0
17,17,4913,-3.0,85,963,354,2023-01-18,6.3,0.0,100,84,1674072000,1674090000,1674021600,731,85,0.6000000000000001,-6.3,final,17,205,-6.0,420,0.0,2.5,8.2,80,23,85,-4.2,551,1017,1927,377.0,1674025200,0.0
18,18,4944,-3.0,88,959,358,2023-01-19,6.3,0.0,100,84,1674158400,1674136800,1674108000,734,190,0.6000000000000001,-5.9,final,18,206,-5.4,424,0.0,3.8,8.4,81,23,190,-4.1,557,1013,1955,381.0,1674190800,0.0
19,19,4977,-5.0,87,966,362,2023-01-20,7.2,0.0,92,84,1674252000,1674266400,1674194400,737,285,0.6000000000000001,-8.8,final,24,207,-11.1,578,0.0,4.3,7.3,83,23,285,-7.0,563,1020,1983,381.0,1674216000,0.0
20,20,5015,-5.6,90,962,366,2023-01-21,6.7,0.0,78,85,1674331200,1674284400,1674280800,739,232,1.7000000000000002,-8.9,final,48,209,-15.0,1140,0.0,3.3,7.2,84,24,232,-7.6,569,1017,2012,379.0,1674363600,0.0
21,21,5057,-7.2,87,959,370,2023-01-22,4.0,0.0,59,85,1674421200,1674432000,1674367200,742,166,0.6000000000000001,-14.7,final,14,211,-16.1,326,0.0,1.6,7.2,85,24,166,-13.0,576,1014,2043,377.0,1674396000,0.0
