,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4637,0.0,89,971,329,2023-01-01,4.3,0.0,83,81,1672552800,1672610400,1672552800,713,272,0.6000000000000001,-5.0,final,11,193,-5.0,274,0.0,2.8,7.7,72,22,272,-3.5,522,1014,1719,237.0,1672628400,0.0
1,1,4653,-5.0,92,977,330,2023-01-02,2.3,0.0,90,81,1672639200,1672682400,1672639200,714,229,0.6000000000000001,-7.0,final,10,194,-7.0,247,0.0,1.3,4.4,72,22,229,-5.9,523,1021,1730,233.0,1672718400,0.0
2,2,4670,-3.0,90,968,332,2023-01-03,3.2,1.5,91,82,1672797600,1672779600,1672725600,715,200,0.6000000000000001,-7.0,final,16,195,-8.0,388,1.5,1.6,12.0,73,22,200,-5.7,525,1012,1742,236.0,1672750800,37.5
3,3,4688,-2.0,88,967,333,2023-01-04,3.1,10.5,92,82,1672851600,1672844400,1672812000,717,316,0.6000000000000001,-4.8,final,14,195,-5.0,334,10.5,2.5,11.2,73,22,316,-3.1,527,1011,1756,283.0,1672880400,222.5
4,4,4707,-3.0,89,974,335,2023-01-05,3.1,0.0,83,82,1672898400,1672902000,1672898400,718,311,1.8,-10.8,final,74,196,-20.0,1768,0.0,2.2,8.8,74,22,311,-9.3,530,1018,1770,329.0,1672981200,0.0
5,5,4727,-8.0,85,981,337,2023-01-06,2.4,0.0,85,82,1673035200,1673017200,1672984800,719,289,1.8,-18.2,final,70,197,-22.0,1677,0.0,1.9,4.0,74,22,289,-16.3,532,1027,1785,318.0,1673006400,0.0
6,6,4747,-6.0,84,986,339,2023-01-07,2.8,0.0,82,82,1673121600,1673125200,1673071200,721,183,1.6,-18.1,final,74,198,-22.0,1786,0.0,1.3,5.6,75,22,183,-15.9,534,1032,1801,311.0,1673096400,0.0
7,7,4769,-5.0,82,978,342,2023-01-08,3.2,0.0,86,83,1673208000,1673211600,1673157600,722,165,1.9,-14.6,final,76,199,-18.0,1815,0.0,1.5,6.0,76,22,165,-12.1,537,1023,1819,305.0,1673182800,0.0
8,8,4792,-3.0,88,971,344,2023-01-09,2.8,0.0,87,83,1673323200,1673294400,1673244000,724,98,0.6000000000000001,-10.3,final,12,200,-17.0,289,0.0,1.8,6.0,77,22,98,-8.7,539,1015,1837,299.0,1673247600,0.0
9,9,4815,-1.0,94,969,347,2023-01-10,2.4,0.0,88,83,1673413200,1673413200,1673330400,726,192,0.6000000000000001,-2.7,final,18,201,-3.0,438,0.0,1.2,4.4,77,23,192,-1.9,542,1012,1856,294.0,1673334000,0.0
10,10,4839,0.0,92,970,349,2023-01-11,4.6,0.30000000000000004,86,83,1673481600,1673496000,1673416800,728,231,0.6000000000000001,-2.6,final,11,202,-5.0,255,0.30000000000000004,1.7000000000000002,8.8,78,23,231,-1.5,546,1013,1876,405.0,1673499600,111.0
11,11,4864,-5.0,82,983,352,2023-01-12,4.3,0.0,87,84,1673503200,1673553600,1673503200,730,325,0.6000000000000001,-10.1,final,19,203,-11.0,455,0.0,3.1,10.4,79,23,325,-7.5,549,1028,1897,399.0,1673578800,0.0
12,12,4889,-10.0,90,986,355,2023-01-13,4.1,0.0,87,84,1673647200,1673672400,1673589600,732,218,0.6000000000000001,-12.6,final,15,204,-13.0,365,0.0,1.9,8.4,80,23,218,-11.3,553,1031,1918,390.0,1673668800,0.0
13,13,4916,-1.0,85,972,358,2023-01-14,5.8,0.0,90,84,1673758800,1673758800,1673676000,734,140,1.0,-8.7,final,25,205,-13.0,592,0.0,4.4,11.2,81,23,140,-6.5,557,1016,1941,384.0,1673676000,0.0
14,14,4944,2.0,85,964,361,2023-01-15,5.5,0.0,86,85,1673816400,1673762400,1673762400,736,144,1.7000000000000002,-2.4,final,69,206,-2.0,1659,0.0,3.8,10.8,82,23,144,-0.30000000000000004,561,1006,1965,377.0,1673791200,0.0
15,15,4973,1.0,97,960,364,2023-01-16,2.7,0.30000000000000004,90,85,1673888400,1673931600,1673848800,738,156,0.6000000000000001,-0.4,final,9,207,0.0,227,0.30000000000000004,1.5,7.6,83,24,156,0.1,565,1002,1990,367.0,1673899200,3.8
16,16,5004,0.0,94,965,368,2023-01-17,3.7,0.0,86,85,1673949600,1673982000,1673935200,740,324,0.6000000000000001,-1.1,final,17,208,-1.5,396,0.0,2.5,9.6,84,24,324,-0.2,569,1008,2015,375.0,1674018000,0.0
17,17,5036,-1.0,86,974,371,2023-01-18,3.2,0.0,88,86,1674072000,1674090000,1674021600,742,121,0.6000000000000001,-4.1,final,18,210,-3.0,431,0.0,1.8,8.4,85,24,121,-2.1,574,1017,2042,371.0,1674028800,0.0
18,18,5070,-1.0,86,969,375,2023-01-19,4.5,0.0,91,86,1674151200,1674151200,1674108000,744,305,0.6000000000000001,-3.9,final,17,211,-3.0,415,0.0,2.7,9.2,86,24,305,-1.9,580,1012,2070,289.0,1674183600,0.0
19,19,5109,-3.0,87,978,379,2023-01-20,4.0,0.0,87,86,1674194400,1674230400,1674194400,747,280,0.7000000000000001,-7.5,final,27,213,-8.0,655,0.0,2.7,6.8,87,24,280,-5.6,587,1022,2099,295.0,1674226800,0.0
20,20,5153,-5.0,94,975,383,2023-01-21,3.0,0.0,85,87,1674324000,1674280800,1674280800,749,227,1.7000000000000002,-6.6,final,71,215,-7.0,1712,0.0,2.1,5.6,89,25,227,-5.8,594,1020,2129,292.0,1674363600,0.0
21,21,5201,-7.0,92,973,386,2023-01-22,1.9,0.0,85,87,1674374400,1674439200,1674367200,751,238,0.7000000000000001,-9.3,final,13,217,-11.0,313,0.0,0.8,5.2,90,25,238,-8.2,600,1017,2160,290.0,1674446400,0.0
22,22,5252,0.0,90,972,391,2023-01-23,4.9,0.0,87,87,1674518400,1674518400,1674453600,754,250,0.9,-6.8,final,34,219,-12.0,823,0.0,2.9,10.0,91,25,250,-5.4,607,1016,2192,288.0,1674471600,0.0
23,23,5305,-2.0,84,974,395,2023-01-24,4.9,0.0,88,88,1674540000,1674543600,1674540000,756,190,0.8,-8.5,final,34,221,-15.0,811,0.0,2.1,9.6,93,26,190,-6.2,614,1018,2226,286.0,1674565200,0.0
24,24,5361,-4.0,81,972,399,2023-01-25,4.6,0.0,89,88,1674662400,1674669600,1674626400,759,322,0.7000000000000001,-9.0,final,24,223,-15.0,573,0.0,2.7,11.2,94,26,322,-6.2,620,1016,2261,284.0,1674709200,0.0
25,25,5418,-8.0,78,973,403,2023-01-26,6.9,0.0,89,89,1674795600,1674788400,1674712800,761,243,2.1,-16.0,final,91,226,-19.0,2184,0.0,2.7,9.8,96,26,243,-12.9,627,1018,2296,293.0,1674730800,0.0
26,26,5476,-2.0,76,970,408,2023-01-27,8.6,0.8,87,89,1674820800,1674831600,1674799200,764,265,0.8,-12.7,final,31,228,-16.0,744,0.8,5.3,12.6,97,26,265,-9.2,634,1014,2333,297.0,1674882000,18.8
27,27,5534,-15.0,67,983,413,2023-01-28,3.0,0.0,92,89,1674939600,1674939600,1674885600,767,309,0.7000000000000001,-23.2,final,28,231,-22.0,676,0.0,2.2,6.4,99,27,309,-18.5,640,1030,2371,301.0,1674914400,0.0
28,28,5593,-16.0,69,987,418,2023-01-29,4.5,0.0,92,90,1675026000,1675026000,1674972000,769,246,1.3,-25.0,final,43,233,-28.0,1035,0.0,2.6,7.6,100,27,246,-20.8,647,1034,2409,298.0,1674997200,0.0
29,29,5653,-19.0,68,987,423,2023-01-30,4.2,0.0,92,90,1675112400,1675101600,1675058400,772,230,2.3,-27.7,final,102,236,-29.0,2446,0.0,2.2,8.0,102,27,230,-23.3,654,1035,2449,296.0,1675083600,0.0
30,30,5712,-13.0,74,981,428,2023-01-31,3.4,0.0,91,91,1675198800,1675184400,1675144800,775,216,2.3,-23.9,final,96,238,-26.0,2311,0.0,2.0,8.0,104,28,216,-20.3,660,1027,2489,293.0,1675159200,0.0
31,31,5772,-7.0,75,977,433,2023-02-01,3.7,0.0,90,91,1675285200,1675288800,1675231200,777,180,1.4,-20.3,final,83,240,-26.0,1987,0.0,2.1,7.9,105,28,180,-16.8,667,1023,2531,315.0,1675245600,0.0
32,32,5831,-9.0,61,985,438,2023-02-02,6.1,0.0,90,91,1675332000,1675342800,1675317600,780,300,2.4,-23.0,final,93,243,-26.5,2236,0.0,3.8,10.8,107,28,300,-17.0,674,1031,2573,313.0,1675400400,0.0
33,33,5890,-18.0,61,988,443,2023-02-03,5.1,0.0,91,92,1675486800,1675461600,1675404000,783,187,0.9,-27.9,final,48,245,-28.0,1158,0.0,3.0,10.4,109,28,187,-22.4,681,1036,2617,309.0,1675414800,0.0
34,34,5948,-4.0,73,968,448,2023-02-04,3.7,0.0,89,92,1675548000,1675490400,1675490400,786,170,1.0,-16.0,final,43,248,-18.0,1026,0.0,1.8,9.2,111,29,170,-12.1,687,1013,2661,307.0,1675504800,0.0
35,35,6007,-2.0,78,974,454,2023-02-05,3.6,0.0,85,93,1675630800,1675612800,1675576800,788,262,2.5,-11.2,final,97,250,-14.0,2321,0.0,1.6,7.2,113,29,262,-7.8,694,1018,2706,304.0,1675580400,0.0
36,36,6064,2.0,88,967,459,2023-02-06,6.7,0.0,88,93,1675717200,1675706400,1675663200,791,162,0.9,-5.3,final,40,253,-11.0,970,0.0,3.6,11.6,115,29,162,-3.6,700,1011,2751,302.0,1675663200,0.0
37,37,6121,2.0,77,972,465,2023-02-07,5.8,0.0,76,94,1675803600,1675764000,1675749600,793,248,2.1,-5.3,final,115,255,-5.0,2756,0.0,3.3,9.1,117,29,248,-1.6,707,1016,2798,289.0,1675832400,0.0
38,38,6178,6.0,84,974,470,2023-02-08,4.2,0.0,70,94,1675886400,1675890000,1675836000,796,150,2.6,-4.1,final,119,257,-6.0,2845,0.0,2.1,8.0,119,30,150,-1.4,714,1017,2845,285.0,1675850400,0.0
39,39,6234,2.0,73,976,476,2023-02-09,5.8,0.0,84,95,1675969200,1675965600,1675922400,799,301,1.3,-8.5,final,61,260,-11.0,1471,0.0,3.8,10.7,121,30,301,-3.7,720,1019,2893,281.0,1676005200,0.0
40,40,6289,-1.0,71,983,481,2023-02-10,3.9,0.0,23,95,1676066400,1676073600,1676008800,801,209,2.6,-13.4,final,122,262,-18.0,2939,0.0,2.6,9.6,123,30,209,-9.0,727,1028,2941,276.0,1676034000,0.0
41,41,6343,3.0,77,976,487,2023-02-11,2.7,0.0,0,95,1676145600,1676149200,1676095200,804,189,2.2,-5.8,final,107,264,-7.0,2560,0.0,1.8,9.2,125,31,189,-2.3,733,1019,2990,273.0,1676113200,0.0
42,42,6397,4.0,83,970,493,2023-02-12,4.2,0.0,25,96,1676235600,1676260800,1676181600,807,204,2.2,-3.9,final,115,267,-7.0,2761,0.0,1.7000000000000002,8.4,127,31,204,-1.3,740,1013,3040,270.0,1676210400,0.0
43,43,6450,5.0,77,965,499,2023-02-13,5.2,0.0,0,96,1676318400,1676325600,1676268000,809,204,2.7,-4.9,final,127,269,-9.0,3060,0.0,3.1,10.0,129,31,204,-1.2,746,1007,3091,268.0,1676289600,0.0
44,44,6502,3.0,91,952,504,2023-02-14,5.5,11.0,71,97,1676397600,1676390400,1676354400,812,162,0.9,0.0,final,29,271,-1.0,697,11.0,2.7,8.8,131,31,162,1.4,753,994,3142,260.0,1676358000,14.5
45,45,6554,1.0,80,968,510,2023-02-15,7.8,6.5,52,97,1676440800,1676473200,1676440800,814,310,2.5,-9.3,final,83,273,-14.0,1997,6.5,4.9,11.8,133,32,310,-6.3,759,1012,3193,264.0,1676523600,76.5
46,46,6605,-8.0,67,983,516,2023-02-16,3.8,0.0,0,98,1676584800,1676584800,1676527200,817,321,3.0,-18.4,final,135,275,-18.0,3245,0.0,2.1,8.8,135,32,321,-13.3,765,1028,3245,266.0,1676610000,0.0
47,47,6655,-3.0,74,977,522,2023-02-17,6.4,0.0,0,98,1676671200,1676664000,1676613600,819,211,2.8,-15.1,final,111,277,-21.0,2672,0.0,3.2,10.3,137,32,211,-11.2,772,1022,3298,264.0,1676631600,0.0
