,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4576,-3.3,91,961,319,2023-01-01,4.0,0.0,94,80,1672552800,1672560000,1672552800,706,270,0.6000000000000001,-7.7,final,11,191,-8.1,254,0.0,3.0,6.8,69,21,270,-6.5,513,1015,1661,263.0,1672592400,0.0
1,1,4592,-7.4,92,967,320,2023-01-02,2.0,0.0,97,80,1672646400,1672722000,1672639200,708,244,0.6000000000000001,-9.5,final,8,191,-9.6,188,0.0,1.4,3.6,70,21,244,-8.4,514,1021,1673,260.0,1672722000,0.0
2,2,4609,-6.7,88,959,322,2023-01-03,5.2,3.0,96,80,1672804800,1672801200,1672725600,709,45,0.6000000000000001,-11.1,final,13,192,-13.7,320,3.0,4.1,8.8,70,22,45,-9.4,516,1013,1685,263.0,1672747200,75.0
3,3,4627,-5.2,82,960,323,2023-01-04,5.2,1.5,99,81,1672866000,1672894800,1672812000,710,26,0.6000000000000001,-8.9,final,17,193,-7.8,420,1.5,4.5,8.4,71,22,26,-6.3,518,1013,1698,268.0,1672894800,37.5
4,4,4646,-8.1,86,964,325,2023-01-05,3.2,0.0,33,81,1672898400,1672898400,1672898400,711,243,1.7000000000000002,-13.6,final,70,194,-15.2,1674,0.0,2.4,5.6,71,22,243,-11.7,521,1019,1712,274.0,1672974000,0.0
5,5,4666,-11.5,88,971,327,2023-01-06,2.4,0.0,90,81,1673035200,1673038800,1672984800,713,283,0.6000000000000001,-15.4,final,14,194,-17.0,340,0.0,1.7000000000000002,4.0,72,22,283,-13.8,523,1026,1728,270.0,1673010000,0.0
6,6,4687,-10.4,86,974,329,2023-01-07,4.4,0.0,81,81,1673125200,1673128800,1673071200,714,231,1.1,-16.3,final,52,195,-18.1,1240,0.0,2.7,7.2,73,22,231,-14.5,525,1030,1744,267.0,1673089200,0.0
7,7,4709,-6.7,85,966,332,2023-01-08,4.4,0.0,36,81,1673204400,1673200800,1673157600,716,230,1.8,-13.6,final,73,196,-14.4,1756,0.0,3.3,6.8,73,22,230,-11.7,528,1021,1761,264.0,1673179200,0.0
8,8,4732,-6.3,89,959,334,2023-01-09,4.0,0.0,98,82,1673308800,1673287200,1673244000,718,113,0.6000000000000001,-11.1,final,10,197,-14.1,234,0.0,2.6,5.6,74,22,113,-9.7,530,1014,1779,260.0,1673251200,0.0
9,9,4756,-1.9,90,960,336,2023-01-10,2.8,0.0,98,82,1673413200,1673413200,1673330400,719,110,0.8,-5.1,final,22,198,-6.7,528,0.0,1.8,4.0,75,22,110,-3.7,533,1013,1798,258.0,1673337600,0.0
