,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4519,-3.3,91,962,311,2023-01-01,4.0,0.0,94,79,1672552800,1672606800,1672552800,700,270,0.5,-7.7,final,10,188,-8.1,249,0.0,3.0,6.8,67,21,270,-6.5,506,1015,1617,266.0,1672585200,0.0
1,1,4535,-7.4,92,968,312,2023-01-02,2.0,0.0,97,79,1672642800,1672671600,1672639200,701,244,0.5,-9.5,final,8,189,-9.6,184,0.0,1.4,3.6,68,21,244,-8.4,508,1021,1628,264.0,1672722000,0.0
2,2,4552,-6.7,88,960,314,2023-01-03,5.2,0.0,96,80,1672801200,1672779600,1672725600,703,45,0.6000000000000001,-11.1,final,13,190,-13.7,312,0.0,4.1,8.8,68,21,45,-9.4,510,1013,1640,260.0,1672743600,0.0
3,3,4571,-5.2,82,961,315,2023-01-04,5.2,0.30000000000000004,99,80,1672826400,1672866000,1672812000,704,26,0.6000000000000001,-8.9,final,17,190,-7.8,409,0.30000000000000004,4.5,8.4,69,21,26,-6.3,512,1013,1653,264.0,1672894800,6.3
4,4,4590,-8.1,86,965,317,2023-01-05,3.2,0.0,33,80,1672948800,1672920000,1672898400,705,243,1.6,-13.6,final,68,191,-15.2,1632,0.0,2.4,5.6,69,21,243,-11.7,514,1019,1667,263.0,1672981200,0.0
5,5,4610,-11.5,88,972,319,2023-01-06,2.4,0.0,90,80,1673035200,1673028000,1672984800,707,283,0.6000000000000001,-15.4,final,14,192,-17.0,335,0.0,1.7000000000000002,4.0,70,22,283,-13.8,516,1026,1683,260.0,1673067600,0.0
6,6,4631,-10.4,86,975,321,2023-01-07,4.4,0.0,81,80,1673125200,1673121600,1673071200,708,231,1.1,-16.3,final,51,193,-18.1,1214,0.0,2.7,7.2,71,22,231,-14.5,519,1030,1699,258.0,1673096400,0.0
7,7,4654,-6.7,85,967,324,2023-01-08,4.4,0.0,36,81,1673208000,1673197200,1673157600,710,230,1.8,-13.6,final,71,194,-14.4,1711,0.0,3.3,6.8,71,22,230,-11.7,521,1021,1715,256.0,1673164800,0.0
8,8,4677,-6.3,89,960,326,2023-01-09,4.0,0.0,98,81,1673312400,1673290800,1673244000,712,113,0.6000000000000001,-11.1,final,10,195,-14.1,229,0.0,2.6,5.6,72,22,113,-9.7,524,1014,1733,253.0,1673254800,0.0
9,9,4701,-1.9,90,961,329,2023-01-10,2.8,0.0,98,81,1673409600,1673413200,1673330400,714,110,0.7000000000000001,-5.1,final,22,196,-6.7,518,0.0,1.8,4.0,73,22,110,-3.7,527,1013,1752,253.0,1673341200,0.0
10,10,4725,-2.6,91,962,332,2023-01-11,5.6,0.0,97,82,1673416800,1673496000,1673416800,716,264,0.6000000000000001,-5.2,final,14,197,-6.3,338,0.0,3.0,9.2,74,22,264,-3.9,530,1014,1772,294.0,1673499600,0.0
