,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4505,-24.1,69,963,311,1/1/2022,2.8,0,24,79,1641070800,1641081600,1641016800,700,282,1.8,-33.4,final,66,188,-33.7,1594,0,2.3,4.8,67,21,282,-29.5,504,1029,1608,424,1641042000,0
1,1,4522,-17,70,961,312,1/2/2022,4.8,0,23,79,1641160800,1641171600,1641103200,702,209,1.8,-27.5,final,63,188,-30,1511,0,3.3,8.4,67,21,209,-23.6,506,1025,1619,409,1641128400,0
2,2,4540,-9.3,77,959,314,1/3/2022,4.4,0,52,80,1641240000,1641218400,1641189600,703,190,1.6,-16,final,60,189,-17.4,1439,0,3.1,8,68,21,190,-12.8,508,1020,1631,397,1641196800,0
3,3,4559,-7.8,84,949,315,1/4/2022,5.6,1.5,100,80,1641326400,1641358800,1641276000,704,67,0.6,-13.2,final,13,190,-14.1,312,1.5,4.5,9.6,69,21,67,-11.1,510,1009,1644,384,1641276000,45
4,4,4578,-11.5,75,957,317,1/5/2022,6.8,4.5,100,80,1641362400,1641394800,1641362400,706,278,0.6,-21.1,final,17,191,-22.6,415,4.5,5.7,12.8,69,21,278,-17.7,512,1019,1658,376,1641445200,135
5,5,4599,-23.3,71,966,319,1/6/2022,4.4,0,94,80,1641499200,1641492000,1641448800,707,312,0.6,-30.3,final,21,192,-30,501,0,3.2,8.4,70,21,312,-26.6,515,1032,1674,386,1641524400,0
6,6,4621,-13.7,72,959,321,1/7/2022,7.6,0,75,80,1641618000,1641610800,1641535200,709,177,1.1,-28.2,final,29,193,-32.6,704,0,4.1,15.2,70,22,177,-24.6,517,1023,1690,377,1641560400,0
7,7,4644,-5.6,74,950,324,1/8/2022,7.6,0,57,81,1641672000,1641693600,1641621600,710,237,1.7,-15.6,final,56,193,-20.7,1352,0,6.1,15.2,71,22,237,-11.9,520,1010,1707,373,1641704400,0
8,8,4668,-20.4,65,970,326,1/9/2022,6.4,0,28,81,1641754800,1641708000,1641708000,712,288,1.8,-28.2,final,71,194,-25.9,1697,0,4.9,13.2,72,22,288,-23.4,522,1035,1725,364,1641783600,0
9,9,4692,-17.4,61,974,328,1/10/2022,4.8,0,29,81,1641859200,1641877200,1641794400,714,253,1.8,-28.4,final,71,196,-27.8,1713,0,3.1,8.4,73,22,253,-22.9,525,1039,1744,357,1641808800,0
10,10,4717,-0.7,69,955,331,1/11/2022,6.4,0,49,81,1641931200,1641938400,1641880800,716,235,1.6,-13.2,final,56,197,-17.8,1355,0,4.9,12.4,73,22,235,-8.6,528,1015,1763,433,1641880800,0
11,11,4743,-0.4,82,957,334,1/12/2022,3.6,0.5,73,82,1642017600,1642050000,1641967200,718,175,1.3,-5.8,final,45,198,-5.6,1074,0.5,2,6.4,74,22,175,-3.2,531,1016,1784,423,1641985200,10
12,12,4770,-3,82,961,337,1/13/2022,5.2,0,87,82,1642078800,1642082400,1642053600,720,214,0.6,-8.7,final,19,199,-11.1,445,0,4,10,75,22,214,-6,534,1020,1806,415,1642136400,0
13,13,4798,-11.1,78,969,340,1/14/2022,4.8,1.5,72,82,1642190400,1642179600,1642140000,722,70,0.6,-16.6,final,19,200,-20.4,457,1.5,3.8,9.2,76,22,70,-13.5,538,1031,1828,407,1642222800,45
14,14,4826,-11.9,76,968,343,1/15/2022,6.8,0,64,83,1642309200,1642294800,1642226400,724,174,1.3,-20.2,final,56,201,-23,1352,0,4.4,12.8,77,23,174,-16.8,541,1031,1852,402,1642255200,0
15,15,4854,-1.9,77,952,346,1/16/2022,6.8,0,92,83,1642359600,1642370400,1642312800,726,281,0.7,-10.3,final,29,202,-12.6,689,0,4.8,12,78,23,281,-7,544,1012,1876,396,1642395600,0
16,16,4884,-0.4,84,952,350,1/17/2022,3.6,0,87,83,1642453200,1642417200,1642399200,729,221,0.8,-6.8,final,47,203,-11.1,1122,0,2.6,7.2,79,23,221,-4.6,548,1011,1901,389,1642399200,0
17,17,4913,0,84,946,354,1/18/2022,8.8,2.5,80,84,1642528800,1642536000,1642485600,731,231,1.6,-9.3,final,49,205,-18.9,1184,2.5,6.4,18.4,80,23,231,-6.9,551,1005,1927,385,1642568400,45.5
18,18,4944,-19.3,72,970,358,1/19/2022,7.6,0,91,84,1642572000,1642572000,1642572000,734,313,0.9,-25.5,final,30,206,-25.9,714,0,5.8,14.8,81,23,313,-21.8,557,1034,1955,380,1642654800,0
19,19,4977,-18.5,71,975,362,1/20/2022,4.8,0,3,84,1642712400,1642730400,1642658400,737,240,2,-28.2,final,82,207,-29.6,1977,0,2.8,9.2,83,23,240,-24.4,563,1040,1983,376,1642683600,0
20,20,5015,-4.8,77,959,366,1/21/2022,8,2.5,90,85,1642816800,1642820400,1642744800,739,208,0.6,-17,final,21,209,-23,503,2.5,6.6,15.2,84,24,208,-13.8,569,1020,2012,373,1642744800,67.5
21,21,5057,-11.5,74,962,370,1/22/2022,6.8,0,98,85,1642831200,1642845600,1642831200,742,245,0.6,-21.8,final,21,211,-23.3,511,0,3.7,14,85,24,245,-18.4,576,1025,2043,386,1642860000,0
22,22,5103,-15.2,77,956,374,1/23/2022,4.4,0,83,86,1643000400,1642975200,1642917600,745,228,0.7,-24.2,final,26,213,-28.5,615,0,2.7,8,86,24,228,-21.2,583,1019,2074,388,1642932000,0
23,23,5152,-15.2,74,956,379,1/24/2022,5.2,0,50,86,1643004000,1643058000,1643004000,747,245,1.7,-23.7,final,69,215,-26.3,1664,0,4.4,10.8,88,25,245,-20.3,590,1019,2107,390,1643083200,0
24,24,5206,-21.5,72,968,383,1/25/2022,4,0,17,86,1643140800,1643144400,1643090400,750,292,1.8,-29.4,final,73,217,-28.5,1741,0,3.5,8,89,25,292,-25.8,597,1033,2141,434,1643119200,0
25,25,5261,-1.9,75,954,388,1/26/2022,7.6,0,76,87,1643252400,1643227200,1643176800,753,227,1.7,-17.3,final,60,219,-27,1450,0,5.9,14.4,91,25,227,-13.9,605,1015,2177,430,1643176800,0
26,26,5319,-5.2,69,965,392,1/27/2022,6,0,77,87,1643263200,1643288400,1643263200,756,326,1.3,-17.8,final,45,222,-23,1074,0,4.4,11.6,92,25,326,-13.3,612,1027,2213,428,1643346000,0
27,27,5378,-9.6,76,967,397,1/28/2022,3.6,0,67,88,1643400000,1643392800,1643349600,758,243,1.7,-19.7,final,65,224,-24.4,1558,0,2.7,6.8,94,26,243,-16.4,619,1029,2250,423,1643356800,0
28,28,5439,-7,78,956,402,1/29/2022,6.4,0,90,88,1643486400,1643493600,1643436000,761,254,0.9,-13.7,final,32,227,-14.4,776,0,4.6,12.4,95,26,254,-10.6,626,1016,2288,420,1643446800,0
29,29,5500,-8.5,79,959,407,1/30/2022,4.4,0,73,89,1643576400,1643526000,1643522400,764,237,1.2,-14.7,final,38,229,-14.8,901,0,2.9,8.4,97,26,237,-11.8,633,1020,2328,415,1643551200,0
30,30,5562,-4.1,77,949,412,1/31/2022,4.8,0,85,89,1643684400,1643673600,1643608800,767,166,0.8,-11.4,final,26,232,-12.2,631,0,3.8,9.2,99,27,166,-8.1,640,1008,2368,411,1643630400,0
31,31,5624,-4.8,76,953,417,2/1/2022,9.6,0.5,81,89,1643702400,1643738400,1643695200,770,277,1.7,-15.8,final,81,234,-19.6,1954,0.5,7,19.2,100,27,277,-12.5,647,1014,2409,399,1643778000,12.5
32,32,5686,-20,71,974,422,2/2/2022,5.6,0,59,90,1643832000,1643839200,1643781600,772,307,1.8,-26.9,final,78,237,-26.7,1880,0,3.7,10,102,27,307,-23.1,654,1039,2452,404,1643864400,0
33,33,5748,-19.3,70,975,427,2/3/2022,4.4,0,40,90,1643922000,1643943600,1643868000,775,208,2.3,-28.1,final,97,240,-30.4,2331,0,2.4,8,104,28,208,-24,661,1041,2495,400,1643896800,0
34,34,5810,-17,71,969,433,2/4/2022,5.2,0,78,91,1644004800,1643994000,1643954400,778,266,1.6,-23.8,final,83,242,-23.3,1982,0,3.1,10.4,106,28,266,-19.9,668,1033,2539,398,1644026400,0
35,35,5872,-7.4,77,957,438,2/5/2022,6.4,3.5,97,91,1644123600,1644069600,1644040800,781,207,0.8,-17.6,final,32,245,-23,769,3.5,4.3,11.6,108,28,207,-14.4,675,1018,2583,398,1644040800,105
36,36,5933,-11.5,76,963,444,2/6/2022,4.8,0,88,92,1644127200,1644156000,1644127200,784,309,1,-18.6,final,39,247,-20.4,945,0,3.5,10.4,110,28,309,-15.4,682,1025,2629,404,1644206400,0
37,37,5994,-7.4,74,960,449,2/7/2022,4.4,0,70,92,1644267600,1644264000,1644213600,786,182,2.3,-17,final,88,250,-20.7,2108,0,3.3,8.4,111,29,182,-13.3,689,1021,2675,401,1644213600,0
38,38,6054,2.2,81,947,455,2/8/2022,6.4,0.5,71,93,1644346800,1644346800,1644300000,789,252,2.3,-5.4,final,85,252,-10,2047,0.5,5.4,13.6,113,29,252,-2.6,696,1005,2723,398,1644325200,1
39,39,6113,0.4,78,952,460,2/9/2022,7.6,0,100,93,1644386400,1644422400,1644386400,792,318,0.8,-9.2,final,29,255,-13.3,705,0,6.4,15.2,115,29,318,-6,703,1011,2770,398,1644469200,0
40,40,6172,3.3,84,944,466,2/10/2022,8.4,7.5,97,93,1644537600,1644555600,1644472800,795,248,0.9,-8.9,final,34,257,-15.6,818,7.5,5.3,17.6,117,30,248,-6.7,709,1003,2819,394,1644480000,138
41,41,6229,-0.4,74,954,472,2/11/2022,8.8,0,86,94,1644559200,1644595200,1644559200,797,334,1.5,-17.5,final,77,260,-24.4,1859,0,6.9,17.2,120,30,334,-13.9,716,1016,2868,444,1644642000,0
42,42,6287,-18.9,68,969,478,2/12/2022,3.6,0,86,94,1644699600,1644721200,1644645600,800,283,1.6,-27.9,final,85,262,-28.9,2042,0,2.2,6.4,122,30,283,-23.5,723,1034,2918,449,1644660000,0
43,43,6343,-15.9,75,966,483,2/13/2022,5.6,1.5,73,95,1644814800,1644796800,1644732000,803,224,0.8,-24.3,final,31,264,-27.4,740,1.5,3.3,10.4,124,30,224,-21,730,1029,2969,445,1644757200,45
44,44,6398,-13,74,966,489,2/14/2022,3.2,0,76,95,1644872400,1644832800,1644818400,805,236,2.5,-21.5,final,88,267,-22.6,2104,0,2,5.6,126,31,236,-17.9,736,1029,3020,455,1644843600,0
45,45,6453,-7,74,959,495,2/15/2022,5.6,0,95,96,1644976800,1644951600,1644904800,808,139,0.9,-15.2,final,33,269,-17.8,781,0,4.2,11.2,128,31,139,-11.6,743,1020,3072,451,1644904800,0
46,46,6507,-7.4,73,956,501,2/16/2022,6,0,87,96,1644994800,1645041600,1644991200,811,315,1.2,-16.1,final,54,271,-20.4,1297,0,5.2,12.8,130,31,315,-12.2,749,1017,3124,445,1645074000,0
