,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4505,-2.2,91,955,311,2023-01-01,3.6,0.0,98,79,1672556400,1672614000,1672552800,700,266,0.5,-7.4,final,12,188,-7.8,276,0.0,2.8,7.2,67,21,266,-6.2,504,1014,1608,355.0,1672635600,0.0
1,1,4522,-6.7,91,961,312,2023-01-02,2.4,0.0,98,79,1672675200,1672639200,1672639200,702,251,0.5,-9.7,final,13,188,-10.4,301,0.0,1.5,4.8,67,21,251,-8.5,506,1021,1619,350.0,1672722000,0.0
2,2,4540,-7.0,88,954,314,2023-01-03,4.4,0.0,96,80,1672804800,1672804800,1672725600,703,45,0.6000000000000001,-11.8,final,13,189,-14.1,310,0.0,3.4,8.8,68,21,45,-10.2,508,1014,1631,358.0,1672750800,0.0
3,3,4559,-6.3,82,954,315,2023-01-04,4.8,0.0,97,80,1672869600,1672815600,1672812000,704,31,0.6000000000000001,-10.7,final,18,190,-9.6,436,0.0,4.1,8.8,69,21,31,-8.1,510,1014,1644,355.0,1672891200,0.0
4,4,4578,-8.1,85,958,317,2023-01-05,3.2,0.0,34,80,1672948800,1672905600,1672898400,706,213,1.8,-14.4,final,68,191,-16.7,1620,0.0,2.2,5.6,69,21,213,-12.4,512,1019,1658,350.0,1672977600,0.0
5,5,4599,-10.4,86,964,319,2023-01-06,2.0,0.0,77,80,1673038800,1673031600,1672984800,707,261,1.3,-15.9,final,33,192,-16.7,791,0.0,1.6,3.6,70,21,261,-14.1,515,1026,1674,347.0,1673013600,0.0
6,6,4621,-8.5,86,968,321,2023-01-07,4.8,0.0,82,80,1673121600,1673154000,1673071200,709,231,1.2,-15.3,final,33,193,-17.0,788,0.0,2.9,8.8,70,22,231,-13.5,517,1030,1690,344.0,1673085600,0.0
7,7,4644,-4.8,85,959,324,2023-01-08,4.8,0.0,44,81,1673208000,1673179200,1673157600,710,237,1.8,-12.5,final,71,193,-13.3,1693,0.0,3.3,8.4,71,22,237,-10.3,520,1020,1707,340.0,1673186400,0.0
8,8,4668,-6.7,90,953,326,2023-01-09,3.6,0.0,84,81,1673308800,1673316000,1673244000,712,129,0.6000000000000001,-11.3,final,12,194,-15.2,285,0.0,2.4,6.0,72,22,129,-10.0,522,1014,1725,336.0,1673254800,0.0
9,9,4692,-1.5,91,954,328,2023-01-10,2.8,0.0,97,81,1673398800,1673388000,1673330400,714,131,0.8,-5.0,final,29,196,-7.0,688,0.0,2.0,5.2,73,22,131,-3.7,525,1013,1744,334.0,1673330400,0.0
10,10,4717,-2.2,91,955,331,2023-01-11,4.8,1.8,96,81,1673467200,1673492400,1673416800,716,269,0.7000000000000001,-5.0,final,17,197,-6.7,400,1.8,2.7,9.2,73,22,269,-3.7,528,1014,1763,326.0,1673499600,35.0
11,11,4743,-7.0,85,969,334,2023-01-12,4.8,0.0,100,82,1673506800,1673524800,1673503200,718,319,0.6000000000000001,-12.1,final,15,198,-12.6,368,0.0,3.7,9.6,74,22,319,-10.0,531,1030,1784,326.0,1673586000,0.0
12,12,4770,-10.7,88,968,337,2023-01-13,5.6,0.0,99,82,1673643600,1673668800,1673589600,720,188,0.6000000000000001,-14.0,final,14,199,-14.1,342,0.0,3.1,10.4,75,22,188,-12.5,534,1030,1806,322.0,1673611200,0.0
13,13,4798,-1.9,83,953,340,2023-01-14,6.0,0.0,85,82,1673758800,1673751600,1673676000,722,167,0.8,-9.1,final,21,200,-11.5,507,0.0,5.2,12.0,76,22,167,-6.7,538,1013,1828,320.0,1673690400,0.0
14,14,4826,1.5,86,947,343,2023-01-15,6.0,0.0,65,83,1673812800,1673762400,1673762400,724,179,1.8,-3.2,final,75,201,-3.0,1799,0.0,3.7,11.6,77,23,179,-1.2,541,1005,1852,317.0,1673830800,0.0
15,15,4854,-0.7000000000000001,92,946,346,2023-01-16,4.0,0.0,100,83,1673913600,1673931600,1673848800,726,66,0.6000000000000001,-3.0,final,9,202,-3.3,225,0.0,3.2,8.0,78,23,66,-1.9,544,1004,1876,313.0,1673852400,0.0
16,16,4884,-1.9,90,952,350,2023-01-17,4.4,0.0,100,83,1673942400,1673967600,1673935200,729,342,0.6000000000000001,-4.7,final,15,203,-4.8,361,0.0,3.9,9.2,79,23,342,-3.4,548,1010,1901,327.0,1674018000,0.0
