,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4637,0.0,89,971,329,2023-01-01,4.3,0.0,83,81,1672552800,1672610400,1672552800,713,272,0.6000000000000001,-5.0,final,13,193,-5.0,321,0.0,2.8,7.7,72,22,272,-3.5,522,1011,1719,225,1672628400,0.0
1,1,4653,-5.0,92,977,330,2023-01-02,2.4,0.0,90,81,1672639200,1672682400,1672639200,714,229,0.6000000000000001,-7.0,final,9,194,-7.0,218,0.0,1.4,4.0,72,22,229,-5.9,523,1018,1730,222,1672718400,0.0
2,2,4670,-3.0,90,968,332,2023-01-03,3.2,3.5,91,82,1672797600,1672779600,1672725600,715,200,0.6000000000000001,-7.0,final,15,195,-8.0,368,3.5,1.7000000000000002,12.4,73,22,200,-5.7,525,1008,1742,200,1672750800,87.5
3,3,4688,-2.0,88,967,333,2023-01-04,3.1,12.8,92,82,1672851600,1672844400,1672812000,717,316,0.6000000000000001,-4.8,final,14,195,-5.0,334,12.8,2.5,11.2,73,22,316,-3.1,527,1007,1756,255,1672880400,272.5
4,4,4707,-3.0,89,974,335,2023-01-05,3.1,0.0,83,82,1672898400,1672902000,1672898400,718,311,1.8,-10.8,final,74,196,-20.0,1768,0.0,2.2,9.2,74,22,311,-9.3,530,1015,1770,296,1672981200,0.0
5,5,4727,-8.0,85,981,337,2023-01-06,2.4,0.0,85,82,1673035200,1673017200,1672984800,719,289,1.8,-18.2,final,70,197,-22.0,1688,0.0,1.9,4.4,74,22,289,-16.3,532,1023,1785,286,1673006400,0.0
6,6,4747,-6.0,84,986,339,2023-01-07,2.4,0.0,82,82,1673121600,1673125200,1673071200,721,183,1.7000000000000002,-18.1,final,75,198,-22.0,1797,0.0,1.3,5.2,75,22,183,-15.9,534,1029,1801,279,1673096400,0.0
7,7,4769,-5.0,82,978,342,2023-01-08,3.2,0.0,86,83,1673208000,1673211600,1673157600,722,165,1.9,-14.6,final,76,199,-18.0,1815,0.0,1.5,5.6,76,22,165,-12.1,537,1020,1819,274,1673182800,0.0
8,8,4792,-3.0,88,971,344,2023-01-09,3.2,0.0,87,83,1673323200,1673294400,1673244000,724,98,0.6000000000000001,-10.3,final,14,200,-17.0,329,0.0,1.8,6.4,77,22,98,-8.7,539,1012,1837,268,1673247600,0.0
9,9,4815,-1.0,94,969,347,2023-01-10,2.4,0.0,88,83,1673413200,1673413200,1673330400,726,192,0.6000000000000001,-2.7,final,17,201,-3.0,407,0.0,1.2,4.4,77,23,192,-1.9,542,1009,1856,264,1673334000,0.0
