,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4576,-2.0,96,962,319,2023-01-01,2.8,0.0,99,80,1672552800,1672560000,1672552800,706,273,0.6000000000000001,-6.6,final,12,191,-8.0,297,0.0,1.4,7.6,69,21,273,-6.1,513,1013,1662,246.0,1672592400,0.0
1,1,4592,-7.0,93,967,320,2023-01-02,2.0,0.0,67,80,1672646400,1672722000,1672639200,708,216,0.6000000000000001,-9.6,final,12,191,-14.0,294,0.0,1.4,4.0,70,21,216,-8.7,514,1020,1673,243.0,1672722000,0.0
2,2,4609,-5.0,91,960,322,2023-01-03,4.8,4.0,58,80,1672804800,1672801200,1672725600,709,66,0.6000000000000001,-11.1,final,13,192,-16.0,320,4.0,2.8,10.0,70,22,66,-9.9,516,1013,1685,231.0,1672747200,100.0
3,3,4627,-4.0,88,960,323,2023-01-04,3.9,4.0,98,81,1672866000,1672894800,1672812000,710,40,0.6000000000000001,-6.5,final,17,193,-7.0,420,4.0,2.4,9.6,71,22,40,-4.9,518,1012,1699,239.0,1672894800,100.0
4,4,4647,-7.0,91,965,325,2023-01-05,3.7,0.0,53,81,1672898400,1672898400,1672898400,711,225,1.7000000000000002,-11.2,final,71,194,-16.0,1712,0.0,1.3,6.8,71,22,225,-10.0,521,1018,1713,252.0,1672974000,0.0
5,5,4667,-10.0,86,971,327,2023-01-06,2.4,0.0,15,81,1673035200,1673038800,1672984800,713,262,0.9,-17.3,final,19,194,-19.5,457,0.0,1.5,4.8,72,22,262,-15.4,523,1026,1728,248.0,1673010000,0.0
6,6,4688,-6.0,86,975,329,2023-01-07,3.2,0.0,16,81,1673125200,1673128800,1673071200,714,214,1.2,-16.8,final,56,195,-22.0,1335,0.0,1.8,7.2,73,22,214,-15.0,525,1030,1744,245.0,1673089200,0.0
7,7,4710,-4.0,88,967,332,2023-01-08,4.0,0.0,13,81,1673204400,1673200800,1673157600,716,220,1.9,-11.6,final,73,196,-15.0,1759,0.0,2.3,7.2,73,22,220,-10.0,528,1020,1761,243.0,1673179200,0.0
8,8,4732,-4.0,89,961,334,2023-01-09,3.6,0.0,92,82,1673308800,1673287200,1673244000,718,120,0.6000000000000001,-11.3,final,9,197,-17.0,227,0.0,1.9,6.4,74,22,120,-9.9,531,1014,1779,239.0,1673251200,0.0
9,9,4756,-2.0,99,960,336,2023-01-10,3.4,0.0,100,82,1673413200,1673413200,1673330400,720,104,0.7000000000000001,-3.1,final,23,198,-4.0,551,0.0,1.6,4.4,75,22,104,-2.9,533,1011,1798,237.0,1673337600,0.0
10,10,4781,-1.0,94,961,339,2023-01-11,5.1,0.5,99,82,1673463600,1673492400,1673416800,721,225,0.7000000000000001,-4.3,final,16,199,-8.0,384,0.5,2.7,9.2,76,22,225,-3.4,536,1013,1818,275.0,1673499600,38.0
11,11,4806,-8.0,84,975,342,2023-01-12,5.8,0.0,62,83,1673510400,1673528400,1673503200,723,310,0.6000000000000001,-12.5,final,17,200,-17.0,404,0.0,3.7,9.6,77,22,310,-10.2,539,1029,1839,274.0,1673586000,0.0
12,12,4832,-11.0,82,975,345,2023-01-13,4.5,0.0,19,83,1673643600,1673668800,1673589600,725,173,0.6000000000000001,-18.4,final,14,201,-23.0,332,0.0,2.2,9.6,78,23,173,-16.0,542,1030,1860,270.0,1673614800,0.0
13,13,4858,-2.0,85,960,348,2023-01-14,6.8,0.0,10,83,1673758800,1673755200,1673676000,727,148,0.6000000000000001,-9.5,final,20,202,-12.0,488,0.0,5.0,12.0,78,23,148,-7.3,545,1012,1883,267.0,1673676000,0.0
14,14,4885,2.0,87,953,351,2023-01-15,6.3,0.0,0,83,1673805600,1673762400,1673762400,730,150,1.7000000000000002,-3.1,final,77,204,-3.0,1843,0.0,3.4,10.4,79,23,150,-1.1,549,1004,1906,263.0,1673838000,0.0
15,15,4913,1.0,92,951,355,2023-01-16,4.4,3.0,86,84,1673924400,1673931600,1673848800,732,85,0.6000000000000001,-1.6,final,11,205,-3.0,256,3.0,3.3,8.0,80,23,85,-0.4,552,1001,1931,259.0,1673848800,39.5
16,16,4941,1.0,90,958,358,2023-01-17,5.8,0.5,100,84,1673942400,1673967600,1673935200,734,312,0.6000000000000001,-4.8,final,15,206,-7.0,372,0.5,3.8,9.5,81,23,312,-3.4,556,1009,1956,262.0,1674018000,7.5
17,17,4971,-2.0,87,965,362,2023-01-18,3.9,0.0,100,85,1674075600,1674086400,1674021600,737,156,0.6000000000000001,-6.2,final,19,207,-7.0,445,0.0,2.3,7.6,83,23,156,-4.4,562,1017,1982,261.0,1674025200,0.0
18,18,5005,-3.0,92,961,366,2023-01-19,4.7,0.0,100,85,1674172800,1674144000,1674108000,739,170,0.6000000000000001,-4.5,final,18,209,-5.5,436,0.0,3.9,9.3,84,24,170,-3.5,567,1012,2010,308.0,1674190800,0.0
19,19,5043,-5.0,92,969,370,2023-01-20,4.5,0.0,84,85,1674252000,1674266400,1674194400,742,281,0.6000000000000001,-8.0,final,20,210,-9.0,469,0.0,3.4,7.6,85,24,281,-6.9,574,1021,2038,308.0,1674212400,0.0
20,20,5085,-5.0,94,966,374,2023-01-21,4.4,0.0,62,86,1674280800,1674291600,1674280800,745,233,1.7000000000000002,-8.4,final,53,212,-12.0,1264,0.0,2.5,7.2,86,24,233,-7.5,581,1018,2068,305.0,1674356400,0.0
21,21,5130,-9.0,87,963,378,2023-01-22,3.2,0.0,64,86,1674424800,1674442800,1674367200,747,194,0.6000000000000001,-14.6,final,14,214,-16.0,344,0.0,1.3,6.4,87,24,194,-12.9,587,1016,2099,303.0,1674450000,0.0
22,22,5178,0.0,89,963,383,2023-01-23,4.9,0.0,80,86,1674507600,1674511200,1674453600,750,264,0.8,-7.2,final,29,216,-16.0,688,0.0,3.5,10.4,89,25,264,-5.7,594,1014,2131,300.0,1674453600,0.0
