TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,754,12.26,0,0,35.15,1/1/2023 0:45,18.69,1/1/2023 18:48,26.36,97.7,1/1/2023 9:10,74.42,1/1/2023 14:42,88.9,13.71,1/1/2023 1:42,0,1/1/2023 17:47,5.378,233.7,SW,107.8473,6.908098,0.008,0.011,0
1/2/2023 23:59,755,12.17,0,0,25.78,1/2/2023 20:48,21.24,1/2/2023 0:16,23.66,96.1,1/2/2023 7:11,88.9,1/2/2023 17:28,93.5,10.96,1/2/2023 1:30,0,1/2/2023 0:23,2.702,197,NW,48.2696,6.973388,0.002,0.001,0
1/3/2023 23:59,756,12.03,0,0,32.6,1/3/2023 23:17,25.33,1/3/2023 0:11,29.28,99.1,1/3/2023 22:15,88.9,1/3/2023 7:15,95.1,19.3,1/3/2023 9:31,0,1/3/2023 11:49,7.007,31.2,NNE,28.14663,6.940794,0.005,0.006,0
1/4/2023 23:59,757,11.89,0.29,0.29,34.17,1/4/2023 13:14,30.91,1/4/2023 23:51,32.47,99.2,1/4/2023 1:40,93.1,1/4/2023 13:39,96.9,16.7,1/4/2023 5:42,2.981,1/4/2023 7:43,8.13,29.56,NNE,53.55653,6.947732,0.007,0.009,0
1/5/2023 23:59,758,11.81,0.04,0.33,31.29,1/4/2023 23:59,17.86,1/5/2023 23:28,26.05,95.1,1/5/2023 0:29,78.86,1/5/2023 14:19,87.3,18.26,1/5/2023 8:41,0,1/5/2023 17:20,7.531,257.5,NNW,141.5422,7.1178,0.016,0.02,0
1/6/2023 23:59,759,11.83,0,0.33,18.88,1/6/2023 0:24,-8.56,1/6/2023 23:22,8.32,91.3,1/6/2023 8:49,76.67,1/6/2023 15:28,86.1,9.91,1/6/2023 9:28,0,1/6/2023 2:33,3.7,233.7,SW,152.241,7.30729,0.007,0.008,0
1/7/2023 23:59,760,11.99,0,0.33,12.88,1/7/2023 16:26,-12.01,1/7/2023 2:55,-1.6,90.2,1/7/2023 18:17,70.1,1/7/2023 16:51,81.6,4.845,1/7/2023 14:41,0,1/7/2023 0:00,1.205,194.5,SSW,174.1694,7.41531,0.007,0.007,0
1/8/2023 23:59,761,12.04,0,0.33,20.04,1/8/2023 15:10,-13.08,1/8/2023 7:55,3.927,91.5,1/8/2023 19:06,65.81,1/8/2023 12:57,81.2,12.45,1/8/2023 15:07,0,1/7/2023 23:59,2.071,174.2,S,171.1442,7.433868,0.009,0.01,0
1/9/2023 23:59,762,12.11,0,0.33,33.26,1/9/2023 15:51,-3.239,1/9/2023 3:51,15.68,96.4,1/9/2023 20:17,78.03,1/9/2023 14:42,87.2,9.54,1/9/2023 11:54,0,1/8/2023 23:59,1.488,133.3,ESE,133.3743,7.372027,0.007,0.007,0
1/10/2023 23:59,763,12.16,0,0.33,26.19,1/10/2023 16:20,17.04,1/10/2023 3:49,22.66,94.8,1/10/2023 11:02,90.2,1/10/2023 3:14,92.7,9.54,1/10/2023 2:53,0,1/10/2023 5:09,3.161,212.4,SW,50.23273,7.415068,0.004,0.005,0
1/11/2023 23:59,764,12.1,0.19,0.52,35.51,1/11/2023 13:37,25,1/11/2023 1:16,30.63,95.3,1/11/2023 3:50,78.29,1/11/2023 13:39,91.2,16.17,1/11/2023 19:52,0,1/10/2023 23:59,2.88,184.4,N,114.0537,7.412891,0.016,0.018,0
1/12/2023 23:59,765,11.96,0,0.52,33.32,1/12/2023 0:05,20.98,1/12/2023 23:54,25.5,91.6,1/12/2023 4:25,76.83,1/12/2023 15:57,83.5,20.87,1/12/2023 18:06,2.534,1/12/2023 0:06,9.43,318.2,NW,76.32191,7.59344,0.015,0.021,0
1/13/2023 23:59,766,11.84,0,0.52,21.35,1/13/2023 0:28,14.57,1/13/2023 23:32,19.01,93.5,1/13/2023 21:06,80.9,1/13/2023 13:59,86.4,15.58,1/13/2023 2:31,0,1/13/2023 10:40,5.713,186.5,NW,86.31161,7.716536,0.011,0.014,0
1/14/2023 23:59,767,11.78,0,0.52,32.03,1/14/2023 17:55,14.16,1/14/2023 0:59,24.13,92,1/14/2023 8:52,68.63,1/14/2023 13:37,81.2,17.14,1/14/2023 10:39,0,1/14/2023 3:06,5.407,148.1,SSE,132.8746,7.756166,0.02,0.027,0
1/15/2023 23:59,768,11.98,0.26,0.78,38.86,1/15/2023 15:35,31.08,1/15/2023 0:11,34.91,80.9,1/15/2023 23:58,67.32,1/15/2023 14:44,73.79,23.03,1/15/2023 2:14,0,1/15/2023 16:08,7.102,146.8,SSE,179.3012,7.749556,0.031,0.041,0
1/16/2023 23:59,769,12.19,0.35,1.13,37.71,1/16/2023 5:24,32.4,1/16/2023 23:54,35.16,98.4,1/16/2023 20:35,78.57,1/16/2023 5:27,91.1,11.4,1/16/2023 4:55,0,1/16/2023 0:04,4.35,122,NE,30.50199,7.753384,0.001,0.002,0
1/17/2023 23:59,770,12.03,0.09,1.22,35.82,1/17/2023 14:35,29.53,1/17/2023 23:58,33.85,98.3,1/17/2023 0:24,84.9,1/17/2023 14:21,91.5,11.85,1/17/2023 1:58,0.224,1/17/2023 17:54,5.533,293.3,WNW,44.51995,7.873464,0.012,0.016,0
1/18/2023 23:59,771,11.89,0,1.22,33.51,1/18/2023 12:03,27.8,1/18/2023 4:27,30.74,92,1/18/2023 8:40,79.09,1/18/2023 22:04,85.7,21.61,1/18/2023 23:20,0,1/18/2023 1:26,6.971,136.2,ENE,55.42732,8.022376,0.016,0.021,0
1/19/2023 23:59,772,11.77,0.03,1.25,31.94,1/19/2023 0:05,26.15,1/19/2023 23:42,29.37,98.4,1/19/2023 13:44,79.64,1/19/2023 23:54,93.6,21.09,1/19/2023 0:13,2.832,1/19/2023 2:32,9.7,165.6,N,95.60467,8.090921,0.013,0.014,0
1/20/2023 23:59,773,11.77,0,1.25,28.32,1/20/2023 10:54,17.37,1/20/2023 20:22,24.34,94.4,1/20/2023 22:21,74.95,1/20/2023 2:54,82.5,20.2,1/20/2023 2:19,1.118,1/20/2023 5:21,7.906,285.5,WNW,123.1557,8.312139,0.018,0.024,0
1/21/2023 23:59,774,11.69,0,1.25,23.4,1/21/2023 19:33,17.94,1/21/2023 5:06,21.23,95.1,1/21/2023 23:06,92.4,1/21/2023 3:37,93.8,12.45,1/21/2023 2:37,0,1/21/2023 7:53,5.041,219.7,SW,83.23593,8.418532,0.006,0.008,0
1/22/2023 23:59,775,11.69,0,1.25,21.83,1/22/2023 0:00,14.82,1/22/2023 23:39,19.16,95.4,1/22/2023 1:09,90.4,1/22/2023 18:09,93.1,10.06,1/22/2023 22:58,0,1/22/2023 0:14,3.016,260.7,W,84.48487,8.567232,0.009,0.01,0
1/23/2023 23:59,776,11.67,0,1.25,31.11,1/23/2023 20:19,8.42,1/23/2023 8:04,20.24,94.4,1/23/2023 12:25,85.7,1/23/2023 22:09,89.8,14.24,1/23/2023 10:20,0,1/23/2023 7:32,6.25,225.7,SW,126.9643,8.670379,0.013,0.015,0
1/24/2023 23:59,777,11.69,0,1.25,30.8,1/24/2023 23:42,3.003,1/24/2023 7:57,21.04,94.6,1/24/2023 5:54,79.11,1/24/2023 14:11,87.9,10.29,1/24/2023 3:53,0,1/24/2023 6:54,3.724,180.5,S,134.4135,8.82295,0.014,0.016,0
1/25/2023 23:59,778,11.69,0,1.25,30.63,1/25/2023 0:17,18.85,1/25/2023 23:58,26.43,93.2,1/25/2023 13:37,77.2,1/25/2023 23:38,88.2,20.79,1/25/2023 23:35,0,1/25/2023 2:37,5.984,295.1,NW,68.57002,8.825989,0.01,0.012,0
1/26/2023 23:59,779,11.64,0,1.25,19.2,1/25/2023 23:59,-1.569,1/26/2023 8:06,10.09,89.6,1/26/2023 8:18,63.49,1/26/2023 14:50,75.17,18.48,1/26/2023 23:55,0,1/26/2023 7:56,6.492,247.4,WSW,219.1074,9.223114,0.018,0.022,0
1/27/2023 23:59,780,12.07,0.01,1.26,35.3,1/27/2023 8:11,6.779,1/27/2023 22:58,21.33,95,1/27/2023 7:25,58.86,1/27/2023 15:47,76.39,26.09,1/27/2023 8:44,1.342,1/27/2023 22:25,10.66,248.2,WSW,176.5678,9.19757,0.023,0.032,0
1/28/2023 23:59,781,12.07,0,1.26,7.686,1/27/2023 23:59,2.179,1/28/2023 8:34,4.997,74.03,1/28/2023 0:05,57.97,1/28/2023 23:23,65.88,12.67,1/28/2023 7:43,0,1/28/2023 14:51,6.546,198.3,N,158.4276,9.533552,0.014,0.018,0
1/29/2023 23:59,782,11.99,0,1.26,5.232,1/29/2023 14:50,-11.93,1/29/2023 8:19,-0.115,80.1,1/29/2023 8:35,55.51,1/29/2023 15:20,63.5,15.28,1/29/2023 1:08,0,1/29/2023 2:50,5.875,255.3,W,220.0115,9.705324,0.015,0.019,0
1/30/2023 23:59,783,11.9,0,1.26,2.285,1/30/2023 13:58,-20.38,1/30/2023 22:51,-8.18,84.4,1/30/2023 6:42,45.76,1/30/2023 13:36,69.23,16.4,1/30/2023 14:04,0,1/29/2023 23:59,4.834,233,WSW,245.0104,9.8714,0.012,0.016,0
1/31/2023 23:59,784,11.85,0,1.26,9.8,1/31/2023 23:23,-25.31,1/31/2023 5:03,-5.37,82.3,1/31/2023 6:24,57.86,1/31/2023 15:10,70.14,16.32,1/31/2023 13:17,0,1/30/2023 23:59,4.668,191.3,SSW,234.7531,9.978577,0.013,0.017,0
