TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-8.92,1/1/2022 15:54,-36.31,1/1/2022 8:49,-23.02,79.25,1/1/2022 15:50,69.42,1/1/2022 8:51,74.21,9.24,1/1/2022 18:53,0,1/1/2022 0:00,1.748,219.3,SW,160.0631,6.237281,0.003,0.003,0
1/2/2022 23:59,0,0,0.346,1/2/2022 16:13,-38.11,1/2/2022 6:56,-17.73,82,1/2/2022 23:37,68.37,1/2/2022 6:54,75.97,11.48,1/2/2022 23:31,0,1/2/2022 0:00,3.355,170.5,S,159.3073,6.253109,0.004,0.005,0
1/3/2022 23:59,0.01,0.01,17.65,1/3/2022 13:51,-10.2,1/3/2022 2:45,4.537,90.6,1/3/2022 13:39,79.04,1/3/2022 2:33,85.6,10.81,1/3/2022 11:43,0,1/3/2022 1:55,3.984,163.2,NE,94.25091,6.160649,0.006,0.007,0
1/4/2022 23:59,0,0.01,19.62,1/4/2022 15:20,0.939,1/4/2022 1:23,11.05,92.6,1/4/2022 15:20,84.3,1/4/2022 0:44,89.2,20.12,1/4/2022 15:48,3.13,1/4/2022 3:50,9.29,68.32,NE,77.3002,6.184066,0.007,0.009,0
1/5/2022 23:59,0,0.01,12.06,1/5/2022 0:00,-12.17,1/5/2022 23:57,0.185,88.9,1/5/2022 0:00,74.43,1/5/2022 14:21,79.78,26.76,1/5/2022 15:45,6.41,1/5/2022 23:22,14.02,272.2,NNW,104.2812,6.350808,0.008,0.011,0
1/6/2022 23:59,0,0.01,-8.75,1/6/2022 14:56,-26.41,1/6/2022 23:58,-16.59,77.72,1/6/2022 20:19,67.55,1/6/2022 16:14,74.21,15.88,1/6/2022 0:46,0,1/6/2022 20:40,6.337,309.6,NW,165.0309,6.469261,0.005,0.007,0
1/7/2022 23:59,0,0.01,4.801,1/7/2022 23:57,-39.29,1/7/2022 8:48,-17.64,80.5,1/7/2022 20:17,68.48,1/7/2022 8:49,72.78,23.93,1/7/2022 21:48,0,1/6/2022 23:59,6.441,161.1,SE,134.4676,6.531003,0.005,0.006,0
1/8/2022 23:59,0.01,0.02,22.61,1/8/2022 14:09,-7.376,1/8/2022 23:57,9.53,84.8,1/8/2022 4:32,70.97,1/8/2022 22:28,78.24,29.59,1/8/2022 17:29,0.522,1/8/2022 12:07,13.19,231.7,SW,85.09734,6.419375,0.013,0.018,0
1/9/2022 23:59,0,0.02,-5.849,1/9/2022 13:14,-21.79,1/9/2022 23:24,-12,78.84,1/9/2022 21:58,55.31,1/9/2022 16:15,69,20.79,1/9/2022 10:02,0,1/9/2022 23:51,9.04,274.7,W,156.28,6.654582,0.007,0.01,0
1/10/2022 23:59,0,0.02,-0.849,1/10/2022 13:31,-32.67,1/10/2022 4:26,-13.27,80.1,1/10/2022 0:46,50.86,1/10/2022 13:34,67.89,13.19,1/10/2022 23:46,0,1/9/2022 23:59,3.254,204.3,SSW,145.7234,6.716886,0.006,0.008,0
1/11/2022 23:59,0,0.02,31.15,1/11/2022 15:05,-3.857,1/11/2022 0:07,13.38,96.1,1/11/2022 23:44,64.3,1/11/2022 13:23,74.91,21.32,1/11/2022 16:03,0,1/11/2022 9:10,7.415,219.8,SW,159.3394,6.630463,0.018,0.025,0
1/12/2022 23:59,0,0.02,27.95,1/12/2022 19:27,18.44,1/12/2022 3:58,24.44,97.7,1/12/2022 5:20,84.3,1/12/2022 15:50,90.2,10.88,1/12/2022 23:58,0,1/12/2022 0:07,2.236,166.2,ESE,106.7598,6.607353,0.007,0.007,0
1/13/2022 23:59,0,0.02,28.11,1/13/2022 3:29,2.872,1/13/2022 22:52,20.92,94.9,1/13/2022 4:06,75.81,1/13/2022 17:35,86.2,21.32,1/13/2022 8:18,1.342,1/13/2022 1:40,7.971,170.3,N,75.11251,6.703332,0.012,0.017,0
