TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cumulative_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarRad_daily_Lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,1004,12.6,0,0,24.12,1/1/2023 0:01,8.93,1/1/2023 8:30,18.16,96.9,1/1/2023 1:22,87.4,1/1/2023 8:19,93.3,12.37,1/1/2023 2:31,0,1/1/2023 23:50,6.309,259.5,W,95.48631,6.228907,0.006,0.007,0
1/2/2023 23:59,1005,12.57,0,0,20.26,1/1/2023 23:59,3.285,1/2/2023 23:56,13.68,94.1,1/1/2023 23:59,84.3,1/2/2023 23:55,90.8,7.751,1/2/2023 4:11,0,1/2/2023 1:13,2.264,213.2,WSW,87.97259,6.283934,0.005,0.006,0
1/3/2023 23:59,1006,12.49,0,0,22.11,1/3/2023 23:54,0.415,1/3/2023 6:45,12.02,94.9,1/3/2023 23:58,83.1,1/3/2023 3:26,90.1,13.04,1/3/2023 20:22,0,1/3/2023 0:02,3.36,49.15,NE,60.06211,6.32045,0.006,0.007,0
1/4/2023 23:59,1007,12.52,0,0,23.11,1/4/2023 10:46,18.21,1/4/2023 23:46,21.33,95.2,1/4/2023 0:41,88,1/4/2023 23:33,93,15.65,1/4/2023 13:19,1.043,1/4/2023 21:11,6.842,44.46,NNE,95.61444,6.300463,0.008,0.01,0
1/5/2023 23:59,1008,12.47,0,0,18.98,1/4/2023 23:59,-7.126,1/5/2023 23:49,9.86,93.7,1/5/2023 2:36,75.14,1/5/2023 23:45,89,9.84,1/5/2023 17:27,0,1/5/2023 1:07,3.566,166.6,WNW,157.6335,6.442582,0.009,0.01,0
1/6/2023 23:59,1009,12.63,0,0,12.64,1/6/2023 15:42,-11.69,1/6/2023 6:39,-0.162,93.1,1/6/2023 14:24,76,1/6/2023 6:32,84.2,6.186,1/6/2023 14:05,0,1/5/2023 23:59,0.509,204.9,SW,144.8269,6.551264,0.004,0.002,0
1/7/2023 23:59,1010,12.56,0,0,18.64,1/7/2023 15:03,-12.94,1/7/2023 7:40,2.944,94.9,1/7/2023 19:09,75.65,1/7/2023 1:47,85.1,14.53,1/7/2023 21:00,0,1/7/2023 0:05,2.953,186,SSW,165.2155,6.592311,0.007,0.007,0
1/8/2023 23:59,1011,12.65,0,0,21.23,1/8/2023 14:38,5.282,1/8/2023 6:32,13.23,94.7,1/8/2023 19:57,78.02,1/8/2023 17:13,87.1,14.16,1/8/2023 0:38,0,1/8/2023 8:40,5.562,208,SW,177.2055,6.585417,0.01,0.013,0
1/9/2023 23:59,1012,12.63,0,0,23.61,1/9/2023 13:32,-1.62,1/9/2023 3:09,13.92,95.4,1/9/2023 13:21,81.6,1/9/2023 1:05,91.2,9.99,1/9/2023 12:48,0,1/8/2023 23:59,4.153,90.2,ENE,132.2283,6.620223,0.007,0.008,0
1/10/2023 23:59,1013,12.68,0,0,28.16,1/10/2023 14:35,21.6,1/10/2023 0:24,25.14,96.6,1/10/2023 10:55,87.7,1/10/2023 14:28,93.5,13.04,1/10/2023 21:51,0,1/10/2023 0:05,3.461,149.1,SE,77.75062,6.615411,0.008,0.009,0
1/11/2023 23:59,1014,12.6,0,0,28.16,1/11/2023 13:23,15.53,1/11/2023 23:50,23.25,95.1,1/11/2023 3:54,85.8,1/11/2023 20:01,90.8,18.34,1/11/2023 17:58,0,1/11/2023 0:51,5.945,249.4,WNW,69.54559,6.695325,0.01,0.013,0
1/12/2023 23:59,1015,12.56,0,0,16.38,1/12/2023 0:00,3.112,1/12/2023 22:59,11.6,91.7,1/12/2023 20:00,74.38,1/12/2023 14:52,84.3,19.08,1/12/2023 7:38,0,1/12/2023 20:08,7.138,290.6,NW,150.5803,6.907315,0.011,0.015,0
1/13/2023 23:59,1016,12.55,0,0,17.19,1/13/2023 15:02,-7.529,1/13/2023 7:48,5.252,90.4,1/13/2023 12:12,65.32,1/13/2023 15:45,80.5,17.14,1/13/2023 22:17,0,1/12/2023 23:59,3.155,155.5,SE,178.3975,7.023228,0.009,0.01,0
1/14/2023 23:59,1017,12.58,0,0,29.06,1/14/2023 23:49,9.87,1/14/2023 3:37,18.4,89.5,1/14/2023 22:12,74.83,1/14/2023 0:02,84,20.94,1/14/2023 20:18,0.447,1/14/2023 3:03,8.28,136,SE,128.0556,7.020153,0.012,0.016,0
1/15/2023 23:59,1018,12.64,0.03,0.03,36.18,1/15/2023 13:04,22,1/15/2023 23:30,29.83,96.3,1/15/2023 23:53,74.1,1/15/2023 13:03,85.2,15.35,1/15/2023 1:25,0,1/15/2023 6:05,6.495,145.7,SSE,156.5899,6.964062,0.02,0.026,0
1/16/2023 23:59,1019,12.65,0.03,0.06,32.75,1/16/2023 21:04,23.72,1/16/2023 0:00,29.18,96.7,1/16/2023 9:04,88.5,1/16/2023 21:00,93.4,12.3,1/16/2023 12:30,1.491,1/16/2023 19:04,6.22,86.6,NE,63.70032,7.047166,0.008,0.01,0
1/17/2023 23:59,1020,12.55,0,0.06,31.22,1/17/2023 0:02,14.85,1/17/2023 19:43,20.61,96,1/17/2023 0:50,85.1,1/17/2023 14:39,89.5,16.47,1/17/2023 3:38,0.745,1/17/2023 8:58,7.257,309.6,NW,98.86676,7.256514,0.011,0.014,0
1/18/2023 23:59,1021,12.53,0,0.06,26.34,1/18/2023 16:31,15.02,1/18/2023 2:16,20.97,94.6,1/18/2023 23:53,83.2,1/18/2023 16:02,87,13.94,1/18/2023 19:04,0,1/18/2023 3:10,4.869,129.8,NNE,87.35228,7.335836,0.011,0.013,0
1/19/2023 23:59,1022,12.55,0,0.06,26.41,1/19/2023 15:42,18.64,1/19/2023 23:57,23.33,96,1/19/2023 5:18,87,1/19/2023 23:45,91.8,14.16,1/19/2023 8:37,1.043,1/19/2023 14:49,6.932,163.3,N,91.96909,7.40133,0.011,0.013,0
1/20/2023 23:59,1023,12.5,0,0.06,22.19,1/20/2023 23:50,11.13,1/20/2023 2:41,17.87,95.2,1/20/2023 23:24,82.3,1/20/2023 1:50,91.4,16.4,1/20/2023 23:26,0.82,1/20/2023 7:40,7.183,270.6,W,96.05909,7.570452,0.009,0.011,0
1/21/2023 23:59,1024,12.51,0,0.06,22.11,1/21/2023 0:01,4.964,1/21/2023 20:16,16.01,95.1,1/21/2023 0:05,86,1/21/2023 20:13,92,15.65,1/21/2023 0:21,0.447,1/21/2023 23:26,7.172,227.3,SW,167.7636,7.673414,0.011,0.013,0
1/22/2023 23:59,1025,12.61,0,0.06,17.97,1/22/2023 16:21,0.747,1/22/2023 8:06,6.958,93.8,1/22/2023 15:39,84.2,1/22/2023 19:33,87.6,12.67,1/22/2023 23:56,0,1/22/2023 2:01,1.415,212.3,SW,175.1754,7.871068,0.008,0.007,0
1/23/2023 23:59,1026,12.61,0.01,0.07,30.53,1/23/2023 14:36,6.926,1/23/2023 1:47,21.34,98.3,1/23/2023 13:51,72.64,1/23/2023 22:00,88.7,23.25,1/23/2023 14:45,1.193,1/23/2023 3:28,9.5,259.7,W,84.68009,7.779658,0.011,0.014,0
1/24/2023 23:59,1027,12.54,0,0.07,25.82,1/24/2023 15:05,8.77,1/24/2023 6:50,20.03,95.4,1/24/2023 4:31,75.35,1/24/2023 11:05,87.9,14.91,1/24/2023 13:25,0,1/24/2023 1:58,4.802,171.2,S,103.6176,7.994862,0.011,0.014,0
1/25/2023 23:59,1028,12.54,0,0.07,23.63,1/25/2023 0:33,-9.9,1/25/2023 23:49,10.52,95.1,1/25/2023 0:00,69.81,1/25/2023 13:54,82,19.38,1/25/2023 14:35,0,1/25/2023 20:54,7.21,267.5,NW,201.0197,8.257075,0.013,0.017,0
1/26/2023 23:59,1029,12.49,0,0.07,22.12,1/26/2023 23:54,-10.23,1/26/2023 1:00,7.803,92.1,1/26/2023 23:58,78.9,1/26/2023 12:48,85,26.24,1/26/2023 21:48,0,1/26/2023 0:56,7.87,200.3,SSW,133.6695,8.354326,0.01,0.013,0
1/27/2023 23:59,1030,12.55,0,0.07,31.34,1/27/2023 3:14,-7.367,1/27/2023 23:58,10.99,97.8,1/27/2023 2:59,68.95,1/27/2023 14:05,79.76,31.75,1/27/2023 6:43,2.087,1/27/2023 23:16,12.85,284.6,WNW,214.2563,8.526072,0.015,0.02,0
1/28/2023 23:59,1031,12.43,0,0.07,-3.065,1/28/2023 14:22,-22.04,1/28/2023 23:08,-10.1,84,1/28/2023 2:04,55.86,1/28/2023 15:56,72.79,14.91,1/28/2023 14:51,0,1/28/2023 1:18,4.473,291.3,WNW,213.2932,8.771708,0.008,0.01,0
1/29/2023 23:59,1032,12.28,0,0.07,-3.749,1/29/2023 15:07,-24.13,1/29/2023 6:01,-12.99,82.9,1/29/2023 0:25,68.37,1/29/2023 15:00,77.17,15.73,1/29/2023 15:36,1.491,1/29/2023 0:01,7.265,238.2,WSW,210.6045,8.90547,0.008,0.01,0
1/30/2023 23:59,1033,12.28,0,0.07,-7.295,1/30/2023 13:55,-26.08,1/30/2023 7:03,-14.9,81.3,1/30/2023 1:09,62.5,1/30/2023 14:23,73.05,16.25,1/30/2023 20:32,3.279,1/30/2023 18:35,8.31,219.8,SW,245.7858,9.068473,0.008,0.01,0
1/31/2023 23:59,1034,12.36,0,0.07,1.662,1/31/2023 15:50,-18.97,1/31/2023 7:46,-7.167,87,1/31/2023 22:49,68.26,1/31/2023 14:14,75.4,16.92,1/31/2023 0:54,0,1/31/2023 19:47,6.636,204.9,SSW,236.6367,9.170015,0.009,0.012,0
2/1/2023 23:59,1035,12.39,0,0.07,15.34,2/1/2023 13:29,-15.5,1/31/2023 23:59,2.431,89.7,2/1/2023 22:11,60.49,2/1/2023 13:31,79.46,16.55,2/1/2023 12:32,0,2/1/2023 3:01,5.992,203.8,SSW,200.6909,9.215445,0.015,0.019,0
2/2/2023 23:59,1036,12.51,0,0.07,12.64,2/2/2023 2:43,-26.42,2/2/2023 22:45,-7.705,89.8,2/2/2023 2:37,56.7,2/2/2023 11:38,70.07,23.25,2/2/2023 14:24,0,2/2/2023 22:04,8.24,275.8,WNW,259.61,9.520233,0.009,0.012,0
2/3/2023 23:59,1037,12.32,0,0.07,0.525,2/3/2023 23:57,-27.35,2/3/2023 0:53,-9.29,79.88,2/3/2023 0:28,48.77,2/3/2023 13:15,64.29,19.01,2/3/2023 16:47,0,2/3/2023 0:56,7.329,151.7,SE,165.8995,9.669285,0.01,0.014,0
