TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,1004,12.37,0,0,25.31,12/31/2022 23:59,14.3,1/1/2023 9:49,19.87,96.5,1/1/2023 1:10,89.9,1/1/2023 6:41,93.7,16.62,1/1/2023 15:09,0.894,1/1/2023 22:39,5.794,272.8,W,118.6021,6.339752,0.007,0.008,0
1/2/2023 23:59,1005,12.34,0,0,21.66,1/2/2023 0:05,5.09,1/2/2023 23:56,15.93,95.6,1/2/2023 13:02,85.1,1/2/2023 21:44,91.3,5.515,1/2/2023 0:13,0,1/2/2023 1:57,0.721,228.9,W,95.49484,6.386628,0.005,0.005,0
1/3/2023 23:59,1006,12.27,0,0,23.54,1/3/2023 23:22,2.498,1/3/2023 1:04,14.11,95.2,1/3/2023 22:24,83.3,1/3/2023 0:28,90.4,18.56,1/3/2023 20:41,0,1/2/2023 23:59,4.651,45.29,NNE,48.11863,6.443116,0.004,0.005,0
1/4/2023 23:59,1007,12.26,0,0,25.57,1/4/2023 12:07,19.51,1/4/2023 23:57,22.93,95.3,1/4/2023 2:18,87.3,1/4/2023 21:19,93.3,18.71,1/4/2023 3:11,6.261,1/4/2023 14:18,10.99,27.99,NNE,98.53802,6.413496,0.009,0.011,0
1/5/2023 23:59,1008,12.19,0,0,20.28,1/5/2023 0:01,-2.289,1/5/2023 23:40,11.24,95.7,1/5/2023 3:44,82.1,1/5/2023 23:32,89.5,14.46,1/5/2023 0:21,0,1/5/2023 15:13,4.545,165,NNW,166.5022,6.566764,0.009,0.011,0
1/6/2023 23:59,1009,12.36,0,0,22.54,1/6/2023 11:24,-6.26,1/6/2023 23:57,3.25,97.1,1/6/2023 11:22,76.36,1/6/2023 11:55,85.3,6.783,1/6/2023 2:35,0,1/6/2023 4:03,1.342,252.7,NNW,176.4512,6.640416,0.009,0.009,0
1/7/2023 23:59,1010,12.32,0,0,23.77,1/7/2023 13:29,-10.02,1/7/2023 6:37,5.206,95.2,1/7/2023 10:40,79.11,1/7/2023 6:39,85.5,9.99,1/7/2023 21:07,0,1/6/2023 23:59,2.926,210.3,SSW,187.5027,6.661211,0.012,0.013,0
1/8/2023 23:59,1011,12.4,0,0,25.89,1/8/2023 15:07,5.431,1/8/2023 7:43,14.19,96.1,1/8/2023 22:56,78.94,1/8/2023 15:13,88.2,11.93,1/8/2023 10:52,0,1/8/2023 9:17,4.449,213.3,SW,178.5255,6.685853,0.012,0.014,0
1/9/2023 23:59,1012,12.38,0,0,24.19,1/9/2023 14:01,0.011,1/9/2023 6:21,14.95,95.6,1/9/2023 14:01,83.1,1/9/2023 0:47,91.4,12.67,1/9/2023 11:30,0,1/9/2023 1:37,2.53,135,ESE,117.4498,6.734229,0.005,0.004,0
1/10/2023 23:59,1013,12.44,0,0,29.65,1/10/2023 12:39,22.21,1/10/2023 0:21,25.85,97.1,1/10/2023 12:27,93.8,1/10/2023 19:13,95.2,15.13,1/10/2023 23:06,0,1/10/2023 1:50,3.962,170.7,SSE,97.42858,6.725657,0.008,0.009,0
1/11/2023 23:59,1014,12.4,0,0,28.36,1/11/2023 13:39,16.58,1/11/2023 23:53,24.35,97.2,1/11/2023 6:10,88.8,1/11/2023 20:53,93.7,19.16,1/11/2023 23:42,0,1/11/2023 1:45,7.532,264.4,WNW,84.42352,6.809884,0.008,0.01,0
1/12/2023 23:59,1015,12.35,0,0,17.49,1/12/2023 0:09,-2.094,1/12/2023 22:25,11.26,92.9,1/12/2023 21:20,77.54,1/12/2023 15:15,86,24.3,1/12/2023 7:43,0.894,1/12/2023 21:13,10.73,313.7,NNW,162.9657,7.03377,0.011,0.015,0
