TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,1195,12.24,0,0,25.48,1/1/2023 0:00,11.67,1/1/2023 8:48,19,97.8,1/1/2023 0:42,90.8,1/1/2023 8:48,94.5,12.3,1/1/2023 14:35,0,1/1/2023 8:40,5.233,271,W,118.1343,6.148675,0.006,0.008,0
1/2/2023 23:59,1196,12.24,0,0,18.47,1/2/2023 0:00,2.4,1/2/2023 22:48,13.33,94.3,1/2/2023 0:47,85.5,1/2/2023 22:05,91.7,8.05,1/2/2023 4:35,0,1/2/2023 2:22,2.45,225.8,W,89.13225,6.211309,0.005,0.005,0
1/3/2023 23:59,1197,12.14,0,0,22.11,1/3/2023 17:53,-2.606,1/3/2023 6:36,11.97,95.8,1/3/2023 15:30,83.6,1/3/2023 6:27,90.5,14.09,1/3/2023 22:40,0,1/2/2023 23:59,2.845,130.6,NNE,73.27457,6.237962,0.006,0.006,0
1/4/2023 23:59,1198,12.18,0,0,25.16,1/4/2023 14:45,16.35,1/4/2023 23:58,22,94.6,1/4/2023 0:21,72.8,1/4/2023 17:06,84.3,13.57,1/4/2023 11:09,0.671,1/4/2023 20:50,5.52,90.9,N,86.80682,6.249867,0.011,0.016,0
1/5/2023 23:59,1199,12.12,0,0,18.66,1/5/2023 14:03,0.61,1/5/2023 23:59,11.61,95.3,1/5/2023 1:36,84.5,1/5/2023 23:54,90.8,10.43,1/5/2023 2:05,0,1/5/2023 4:13,2.783,222.6,NW,169.2658,6.362915,0.009,0.01,0
1/6/2023 23:59,1200,12.32,0,0,13.74,1/6/2023 14:54,-5.146,1/6/2023 23:20,2.099,91.2,1/6/2023 12:34,78.13,1/6/2023 15:04,85.5,5.515,1/6/2023 8:38,0,1/6/2023 0:01,1.23,265.8,WNW,154.7861,6.466277,0.005,0.005,0
1/7/2023 23:59,1201,12.26,0,0,19.06,1/7/2023 15:17,-10.07,1/7/2023 6:24,3.867,94.3,1/7/2023 19:50,63.55,1/7/2023 13:12,84.3,10.21,1/7/2023 20:20,0,1/7/2023 0:00,2.106,173.7,S,177.6387,6.517325,0.009,0.009,0
1/8/2023 23:59,1202,12.33,0,0,23.68,1/8/2023 15:51,4.453,1/8/2023 23:16,12.5,94.8,1/8/2023 20:44,73.15,1/8/2023 15:54,88.8,9.17,1/8/2023 12:52,0,1/8/2023 0:33,2.072,201,SSW,172.4738,6.502623,0.008,0.009,0
1/9/2023 23:59,1203,12.35,0,0,23.84,1/9/2023 18:08,1.584,1/9/2023 2:04,15.59,96.5,1/9/2023 17:18,84.5,1/9/2023 1:51,92.8,11.25,1/9/2023 17:33,0,1/8/2023 23:59,2.825,87.2,E,104.9495,6.544514,0.003,0.003,0
1/10/2023 23:59,1204,12.4,0,0,28.77,1/10/2023 15:43,23.33,1/10/2023 4:05,26.02,97.9,1/10/2023 6:05,90.1,1/10/2023 15:29,94.9,12.52,1/10/2023 21:47,0,1/10/2023 0:06,4.154,138.9,SE,77.13212,6.534726,0.007,0.008,0
