TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-10.19,1/1/2022 15:28,-37.76,1/1/2022 7:38,-24.41,79.75,1/1/2022 11:14,68.7,1/1/2022 5:18,74.23,10.3,1/1/2022 17:42,0,1/1/2022 1:53,3.032,254,W,168.3817,6.154554,0.004,0.005,0
1/2/2022 23:59,0,0,1.662,1/2/2022 15:08,-37.76,1/2/2022 7:07,-19.09,85.1,1/2/2022 15:02,69.41,1/2/2022 4:26,76.38,11.18,1/2/2022 14:06,0,1/2/2022 0:29,3.08,208.7,SSE,167.8401,6.170249,0.005,0.006,0
1/3/2022 23:59,0,0,14.52,1/3/2022 15:27,-9.83,1/3/2022 0:08,6.18,90.9,1/3/2022 15:27,78.85,1/3/2022 0:08,87.3,14.51,1/3/2022 8:20,0,1/3/2022 0:33,5.798,189.3,NNW,103.9008,6.090836,0.005,0.007,0
1/4/2022 23:59,0,0,18.04,1/4/2022 14:53,3.402,1/4/2022 0:44,10.38,92.4,1/4/2022 14:49,85.7,1/4/2022 0:45,89.3,20.03,1/4/2022 12:35,1.841,1/4/2022 17:48,9.19,79.73,ENE,76.54044,6.115421,0.006,0.009,0
1/5/2022 23:59,0.01,0.01,10.43,1/5/2022 0:12,-14.88,1/5/2022 23:58,-2.07,89.1,1/5/2022 0:12,74.37,1/5/2022 21:06,79.95,25.47,1/5/2022 5:37,4.252,1/5/2022 1:35,13.47,276.5,NNW,101.5526,6.282433,0.008,0.01,0
1/6/2022 23:59,0,0.01,-10.26,1/6/2022 14:56,-32.05,1/6/2022 22:32,-19.38,78.62,1/6/2022 18:30,66.69,1/6/2022 15:15,74.42,14.64,1/6/2022 1:36,0,1/6/2022 19:09,6.557,298.2,NW,170.2753,6.393651,0.005,0.007,0
1/7/2022 23:59,0,0.01,4.523,1/7/2022 23:58,-41.68,1/7/2022 8:01,-19.01,81,1/7/2022 23:48,68.11,1/7/2022 6:43,73.23,28.36,1/7/2022 19:39,0,1/6/2022 23:59,8.39,124.7,SE,136.3353,6.452906,0.005,0.007,0
1/8/2022 23:59,0,0.01,20.9,1/8/2022 12:35,-8.53,1/8/2022 23:46,8.13,85.2,1/8/2022 8:06,73.95,1/8/2022 21:50,79.47,33.93,1/8/2022 16:46,3.858,1/8/2022 5:28,14.87,232.7,SW,106.8207,6.342095,0.013,0.018,0
1/9/2022 23:59,0,0.01,-8.33,1/9/2022 0:00,-23.48,1/9/2022 23:58,-13.25,80,1/9/2022 22:17,59.58,1/9/2022 15:57,71.35,22.88,1/9/2022 2:46,2.762,1/9/2022 21:06,11.2,282.2,WNW,165.6754,6.577891,0.007,0.01,0
1/10/2022 23:59,0,0.01,-0.289,1/10/2022 15:03,-29.27,1/10/2022 7:43,-11.92,79.78,1/10/2022 0:08,51.7,1/10/2022 13:21,68.3,12.89,1/10/2022 19:43,0,1/10/2022 1:38,5.543,236.5,WSW,147.0104,6.638144,0.007,0.009,0
1/11/2022 23:59,0,0.01,29.24,1/11/2022 19:28,-6.072,1/11/2022 6:00,13.51,97,1/11/2022 23:14,66.95,1/11/2022 0:43,77.22,26.79,1/11/2022 12:49,0.263,1/11/2022 6:16,9.02,218.8,SW,163.4381,6.529826,0.018,0.026,0
1/12/2022 23:59,0,0.01,29.8,1/12/2022 15:05,18.28,1/12/2022 5:29,24.62,97.6,1/12/2022 3:19,76.34,1/12/2022 15:04,89.4,14.42,1/12/2022 23:29,0,1/12/2022 2:21,3.513,198.7,SW,100.87,6.533974,0.008,0.009,0
1/13/2022 23:59,0,0.01,27.51,1/13/2022 2:07,7.658,1/13/2022 22:20,20.6,95.8,1/13/2022 6:25,78.39,1/13/2022 17:30,88.1,24.16,1/13/2022 7:42,0.789,1/13/2022 20:04,8.64,219.8,NNW,73.48202,6.63517,0.011,0.014,0
1/14/2022 23:59,0,0.01,14.03,1/14/2022 13:46,-7.386,1/14/2022 23:46,8.29,91.6,1/14/2022 22:51,71.79,1/14/2022 15:53,81.4,17.36,1/14/2022 10:54,0,1/14/2022 23:36,7.369,68.03,ENE,112.1275,6.824887,0.012,0.016,0
1/15/2022 23:59,0,0.01,13.85,1/15/2022 23:57,-23.23,1/15/2022 6:26,-2.748,88.9,1/15/2022 11:03,49.05,1/15/2022 23:21,70.59,26.52,1/15/2022 22:21,0,1/15/2022 0:06,7.93,191,SSW,183.8588,6.959524,0.014,0.018,0
1/16/2022 23:59,0,0.01,28.43,1/16/2022 12:55,5.525,1/16/2022 23:34,18.32,95.2,1/16/2022 23:06,51.2,1/16/2022 0:15,79.58,26.08,1/16/2022 13:18,1.534,1/16/2022 22:40,10.81,277,W,94.83384,6.86172,0.013,0.018,0
1/17/2022 23:59,0.01,0.02,31.69,1/17/2022 13:18,8.64,1/16/2022 23:59,23.02,96.2,1/17/2022 9:48,76.48,1/17/2022 13:17,88.8,14.55,1/17/2022 23:55,0,1/17/2022 2:57,4.514,211.3,SW,111.4468,6.935614,0.014,0.016,0
1/18/2022 23:59,0,0.02,32.83,1/18/2022 11:54,-4.115,1/18/2022 23:58,18.44,93.8,1/18/2022 9:16,73.74,1/18/2022 17:22,84.5,37.88,1/18/2022 15:28,2.192,1/18/2022 8:44,15.91,227.7,WSW,125.8119,7.045541,0.018,0.024,0
1/19/2022 23:59,0,0.02,-3.802,1/19/2022 0:09,-19.39,1/19/2022 23:31,-9.02,79.41,1/19/2022 19:39,66.57,1/19/2022 13:31,74.53,29.11,1/19/2022 2:29,2.455,1/19/2022 23:57,13.22,302.8,WNW,194.7713,7.412205,0.009,0.012,0
1/20/2022 23:59,0,0.02,-0.625,1/20/2022 14:21,-31.06,1/20/2022 8:20,-17.16,82.7,1/20/2022 23:58,58.51,1/20/2022 16:02,73.31,9.29,1/20/2022 16:36,0,1/20/2022 0:24,3.309,200.4,SSW,206.0743,7.528236,0.007,0.009,0
1/21/2022 23:59,0,0.02,24.74,1/21/2022 20:04,-20.62,1/21/2022 1:04,6.149,93.7,1/21/2022 19:41,63.04,1/21/2022 8:58,80.4,36.78,1/21/2022 20:07,1.754,1/21/2022 0:43,14.68,199.5,SSW,90.87442,7.509589,0.011,0.017,0
1/22/2022 23:59,0,0.02,11.31,1/22/2022 0:00,-18.99,1/22/2022 23:51,-2.613,85.3,1/22/2022 21:35,65,1/22/2022 15:31,75.25,28.5,1/22/2022 0:32,0,1/22/2022 15:20,7.831,235,NW,139.6272,7.7153,0.009,0.011,0
1/23/2022 23:59,0,0.02,2.091,1/23/2022 16:13,-28.62,1/23/2022 7:56,-8.41,88,1/23/2022 22:09,67.54,1/23/2022 13:11,79.13,16.48,1/23/2022 17:30,0,1/23/2022 0:57,5.234,210.9,SSW,123.1061,7.82446,0.007,0.009,0
1/24/2022 23:59,0,0.02,1.342,1/23/2022 23:59,-17.59,1/24/2022 23:55,-7.328,85.1,1/24/2022 0:00,62.54,1/24/2022 13:56,76.92,20.96,1/24/2022 14:51,0.964,1/24/2022 0:44,7.908,277.9,NNW,214.5551,7.955117,0.01,0.013,0
1/25/2022 23:59,0,0.02,-7.802,1/25/2022 13:53,-24.78,1/25/2022 3:32,-16.66,82.6,1/25/2022 3:43,66.54,1/25/2022 13:55,75.91,15.21,1/25/2022 12:05,0,1/25/2022 2:42,6.733,276.4,W,217.7321,8.114127,0.007,0.009,0
1/26/2022 23:59,0,0.02,30.13,1/26/2022 19:56,-21.02,1/26/2022 1:00,8.5,92.5,1/26/2022 19:19,71.09,1/26/2022 7:05,78.22,31.56,1/26/2022 9:17,1.885,1/26/2022 0:59,14.02,228.8,SW,156.8875,8.081088,0.015,0.021,0
1/27/2022 23:59,0,0.02,23.03,1/27/2022 1:12,-12.77,1/27/2022 23:04,6.718,89.5,1/27/2022 2:57,49.74,1/27/2022 15:04,73.68,27.97,1/27/2022 7:39,1.315,1/27/2022 23:37,10.17,310.9,NW,226.8838,8.303391,0.017,0.023,0
1/28/2022 23:59,0,0.02,14.36,1/28/2022 17:18,-18.4,1/28/2022 2:19,3.522,91.8,1/28/2022 20:09,75.36,1/28/2022 1:00,83.3,15.74,1/28/2022 5:53,0,1/28/2022 3:08,5.435,239.7,WSW,158.2979,8.362251,0.01,0.013,0
1/29/2022 23:59,0,0.02,20.24,1/29/2022 13:24,1.361,1/29/2022 3:27,11.16,92.7,1/29/2022 9:17,73.82,1/29/2022 13:24,82.8,27.53,1/29/2022 14:57,0.701,1/29/2022 0:46,9.91,240,WNW,178.1817,8.435958,0.016,0.021,0
1/30/2022 23:59,0,0.02,18.52,1/30/2022 15:24,-8.53,1/30/2022 6:49,5.484,91.2,1/30/2022 23:39,64.81,1/30/2022 14:52,81.8,16.7,1/30/2022 0:33,0,1/30/2022 4:23,4.466,197.4,SSE,178.5545,8.647444,0.013,0.016,0
1/31/2022 23:59,0,0.02,21.23,1/31/2022 16:39,-1.578,1/31/2022 7:00,11.09,91.7,1/31/2022 0:34,75.83,1/31/2022 15:32,84.5,21.61,1/31/2022 22:04,0,1/31/2022 0:22,6.857,135.3,SE,127.5869,8.73328,0.011,0.015,0
2/1/2022 23:59,0,0.02,24.01,2/1/2022 2:41,-6.566,2/1/2022 23:58,8.4,91.6,2/1/2022 1:26,69.11,2/1/2022 13:22,80.5,42.13,2/1/2022 3:23,2.017,2/1/2022 0:04,18.5,278,W,181.5573,8.958381,0.013,0.018,0
2/2/2022 23:59,0,0.02,-4.29,2/2/2022 14:22,-28.37,2/2/2022 23:56,-12.33,85.2,2/2/2022 21:17,57.65,2/2/2022 14:35,72.7,19.38,2/2/2022 13:34,0,2/2/2022 18:54,7.635,290.8,WNW,248.4733,9.226906,0.01,0.013,0
2/3/2022 23:59,0,0.02,-4.619,2/3/2022 14:52,-41.1,2/3/2022 7:21,-20.19,79.19,2/3/2022 11:00,54.73,2/3/2022 14:37,67.65,14.6,2/3/2022 22:39,0,2/2/2022 23:59,4.059,203.9,SE,232.8042,9.403834,0.008,0.01,0
2/4/2022 23:59,0,0.02,0.868,2/4/2022 14:40,-19.96,2/4/2022 8:16,-7.421,82.3,2/4/2022 8:30,62.4,2/4/2022 14:42,75.34,18.98,2/4/2022 11:40,0,2/4/2022 5:25,6.783,232.2,NW,253.4897,9.506647,0.011,0.014,0
2/5/2022 23:59,0,0.02,15.1,2/5/2022 19:10,-9.58,2/4/2022 23:59,5.153,89.7,2/5/2022 19:38,70.72,2/5/2022 13:04,81.2,26.52,2/5/2022 7:30,0,2/5/2022 18:04,9.31,181.8,SSE,109.3827,9.560066,0.01,0.013,0
2/6/2022 23:59,0,0.02,11.25,2/6/2022 0:00,-15.15,2/6/2022 23:13,1.762,87.3,2/6/2022 20:11,70.07,2/6/2022 14:32,79.6,19.95,2/6/2022 5:38,0,2/6/2022 23:18,8.93,291.5,WNW,207.6805,9.780264,0.012,0.016,0
2/7/2022 23:59,0,0.02,20.64,2/7/2022 15:45,-16.45,2/7/2022 0:48,5.125,87.6,2/7/2022 23:47,61.21,2/7/2022 14:58,77.54,13.85,2/7/2022 15:12,0,2/7/2022 1:10,5.724,149.8,SSE,184.5962,9.864882,0.016,0.021,0
2/8/2022 23:59,0.02,0.04,36.18,2/8/2022 12:26,7.327,2/8/2022 3:42,24.98,96.4,2/8/2022 16:19,71.04,2/8/2022 12:26,88.9,29.72,2/8/2022 12:08,0,2/8/2022 5:05,11.54,241.3,W,199.8472,9.737511,0.024,0.032,0
2/9/2022 23:59,0,0.04,31.86,2/9/2022 0:00,5.54,2/9/2022 23:55,20.56,96,2/9/2022 3:10,76.71,2/9/2022 10:15,85.3,28.1,2/9/2022 13:03,4.822,2/9/2022 23:27,13.45,315.8,NW,152.3,10.08102,0.017,0.022,0
2/10/2022 23:59,0.24,0.28,36.03,2/10/2022 17:22,2.339,2/10/2022 4:32,19.71,99.1,2/10/2022 16:29,78.95,2/10/2022 10:46,89.7,32.57,2/10/2022 22:37,0,2/10/2022 3:14,12.3,241.6,WSW,92.28981,10.2071,0.011,0.014,0
2/11/2022 23:59,0,0.28,32.27,2/11/2022 0:02,-20.04,2/11/2022 23:32,3.714,91.3,2/11/2022 2:17,67.33,2/11/2022 15:16,76.77,34.46,2/11/2022 8:39,2.499,2/11/2022 23:54,16.71,318.8,NW,258.8046,10.65951,0.014,0.019,0
2/12/2022 23:59,0,0.28,-0.694,2/12/2022 15:34,-29.51,2/12/2022 5:26,-14.48,83.6,2/12/2022 18:55,41.47,2/12/2022 13:23,71.43,10.87,2/12/2022 13:16,0,2/12/2022 0:15,3.763,266,W,210.9247,10.93038,0.009,0.012,0
2/13/2022 23:59,0,0.28,1.023,2/13/2022 23:51,-33.18,2/13/2022 6:39,-11.79,85,2/13/2022 23:49,59.67,2/13/2022 13:44,76.97,19.03,2/13/2022 17:12,0,2/13/2022 4:24,6.795,183.7,SSE,180.1716,11.08084,0.009,0.011,0
2/14/2022 23:59,0,0.28,13.92,2/14/2022 13:02,-23.4,2/14/2022 8:13,-3.931,91,2/14/2022 12:55,73.34,2/14/2022 8:10,82.5,9.34,2/14/2022 16:12,0,2/14/2022 5:17,3.129,221,NNW,285.7657,11.16053,0.017,0.019,0
2/15/2022 23:59,0,0.28,19.76,2/15/2022 23:52,-5.83,2/15/2022 0:34,10.94,86.6,2/15/2022 23:03,68.17,2/15/2022 10:24,76.26,26.13,2/15/2022 11:38,0,2/15/2022 0:01,10.79,134.8,ESE,140.4125,11.28767,0.016,0.023,0
2/16/2022 23:59,0,0.28,19.67,2/15/2022 23:59,-7.953,2/16/2022 23:51,8.23,91.1,2/16/2022 1:27,59.36,2/16/2022 13:09,74.99,28.41,2/16/2022 20:05,3.288,2/16/2022 5:30,13.1,313.6,NW,264.0004,11.49656,0.023,0.03,0
2/17/2022 23:59,0,0.28,8.13,2/17/2022 14:36,-29.77,2/17/2022 7:33,-9.96,80.7,2/17/2022 3:28,35.62,2/17/2022 14:33,66.26,19.07,2/17/2022 0:00,0,2/17/2022 6:50,4.303,211.8,SSW,314.1077,11.86557,0.016,0.019,0
2/18/2022 23:59,0,0.28,20,2/18/2022 9:25,-5.652,2/18/2022 23:09,1.317,88.7,2/18/2022 9:08,62.71,2/18/2022 2:52,76.1,54.01,2/18/2022 11:07,6.839,2/18/2022 23:08,18.97,250.8,W,240.5021,11.92568,0.013,0.018,0
2/19/2022 23:59,0,0.28,29.24,2/19/2022 23:56,-21.52,2/19/2022 5:42,3.968,82.7,2/19/2022 4:20,53.08,2/19/2022 13:57,69.55,31.56,2/19/2022 16:15,0,2/19/2022 3:14,12.64,213.4,SSW,193.8003,12.16595,0.02,0.028,0
2/20/2022 23:59,0.01,0.29,36.76,2/20/2022 4:23,4.463,2/20/2022 19:59,18.56,88.4,2/20/2022 7:47,55.75,2/20/2022 0:12,70.19,27.44,2/20/2022 7:11,2.236,2/20/2022 21:49,12.37,261.4,NW,314.471,12.24045,0.029,0.039,0
2/21/2022 23:59,0,0.29,5.984,2/21/2022 0:00,-5.665,2/21/2022 23:58,-0.167,80.7,2/21/2022 6:10,65.49,2/21/2022 0:22,76.43,25.78,2/21/2022 17:55,2.236,2/21/2022 4:05,9.79,40.37,NE,118.6851,12.58555,0.009,0.013,0
2/22/2022 23:59,0,0.29,-0.38,2/22/2022 14:48,-11.72,2/22/2022 23:57,-5.498,76.26,2/22/2022 6:55,58.4,2/22/2022 15:37,70.59,25.47,2/22/2022 16:13,3.551,2/22/2022 3:23,12.81,184.8,N,189.3601,12.83944,0.012,0.017,0
2/23/2022 23:59,0,0.29,0.116,2/23/2022 13:39,-26.99,2/23/2022 23:38,-12.72,83,2/23/2022 21:43,43.41,2/23/2022 14:11,65.55,16.09,2/23/2022 0:06,0,2/23/2022 21:27,5.808,283.1,WNW,348.2789,13.10389,0.017,0.021,0
2/24/2022 23:59,0,0.29,7.969,2/24/2022 15:30,-36.37,2/24/2022 7:35,-13.83,82.3,2/24/2022 10:25,38.11,2/24/2022 15:31,65.24,6.708,2/24/2022 16:18,0,2/24/2022 1:44,2.281,235.3,NW,339.4233,13.28366,0.018,0.021,0
2/25/2022 23:59,0,0.29,9.27,2/25/2022 13:59,-32.7,2/25/2022 6:39,-9.05,84.8,2/25/2022 23:14,41.16,2/25/2022 13:29,68.03,17.84,2/25/2022 14:44,0,2/25/2022 3:02,5.449,236.5,WSW,355.4028,13.48382,0.022,0.028,0
2/26/2022 23:59,0,0.29,24.24,2/26/2022 16:44,-5.663,2/26/2022 0:02,11.01,93.7,2/26/2022 23:18,59.08,2/26/2022 12:27,77.84,26.17,2/26/2022 16:52,3.025,2/26/2022 4:48,10.83,253.1,WSW,356.5938,13.45311,0.032,0.043,0
2/27/2022 23:59,0,0.29,26.54,2/27/2022 15:18,-0.194,2/27/2022 5:50,15.7,93.2,2/27/2022 0:07,61.01,2/27/2022 15:30,78.52,12.89,2/27/2022 14:10,0,2/27/2022 3:57,4.697,140.2,ESE,274.5471,13.6128,0.028,0.035,0
2/28/2022 23:59,0.01,0.3,34.3,2/28/2022 15:01,15.19,2/28/2022 8:44,23.7,88.5,2/28/2022 22:55,62.53,2/28/2022 12:53,77.83,19.2,2/28/2022 16:28,0,2/28/2022 0:01,6.78,209.1,SSW,337.208,13.70894,0.042,0.053,0
3/1/2022 23:59,0,0.3,34.3,3/1/2022 14:19,13.62,3/1/2022 20:06,21.42,91.9,3/1/2022 6:42,48.4,3/1/2022 14:20,76.71,13.94,3/1/2022 16:49,0,3/1/2022 10:30,3.85,216.3,NW,347.5512,14.01222,0.041,0.048,0
3/2/2022 23:59,0,0.3,22.38,3/2/2022 14:50,-3.952,3/2/2022 23:13,15.26,87.6,3/2/2022 4:09,42.18,3/2/2022 14:35,71.91,18.46,3/2/2022 12:00,0,3/1/2022 23:59,6.287,196.5,N,310.4286,14.34806,0.03,0.04,0
3/3/2022 23:59,0,0.3,22.43,3/3/2022 13:27,-16.61,3/3/2022 6:31,1.735,87.1,3/3/2022 4:26,22.79,3/3/2022 13:28,59.04,8.07,3/3/2022 0:03,0,3/3/2022 2:45,2.233,207.5,WNW,331.8634,14.78868,0.028,0.034,0
3/4/2022 23:59,0,0.3,25.97,3/4/2022 17:11,4.158,3/3/2022 23:59,19.33,73.82,3/4/2022 0:18,33.18,3/4/2022 15:25,48.66,23.67,3/4/2022 15:42,0,3/3/2022 23:59,9.84,106,E,154.3668,14.88995,0.043,0.065,0
3/5/2022 23:59,0,0.3,31.04,3/5/2022 15:17,23.43,3/5/2022 5:54,26.43,75.66,3/5/2022 23:31,39.08,3/5/2022 1:09,57.26,19.73,3/5/2022 20:39,0.833,3/5/2022 6:03,6.485,134.3,NNE,211.4651,14.90445,0.042,0.055,0
3/6/2022 23:59,0,0.3,25.4,3/6/2022 0:07,8.66,3/6/2022 22:02,18.9,92.3,3/6/2022 6:34,69.86,3/6/2022 0:06,82.4,24.11,3/6/2022 16:35,2.674,3/6/2022 21:28,11.87,301.5,WNW,286.7252,15.13609,0.027,0.034,0
3/7/2022 23:59,0,0.3,23.03,3/7/2022 13:30,0.859,3/7/2022 3:00,12.71,94.7,3/7/2022 21:27,51.13,3/7/2022 13:27,80.7,19.73,3/7/2022 23:21,0,3/7/2022 8:07,7.357,259,W,394.966,15.48865,0.036,0.045,0
3/8/2022 23:59,0,0.3,27.04,3/8/2022 7:51,7.817,3/8/2022 23:55,20.36,90.9,3/8/2022 19:43,64.41,3/8/2022 11:39,78.76,32,3/8/2022 10:33,4.822,3/8/2022 3:39,14.43,262.6,W,279.2809,15.60864,0.031,0.043,0
3/9/2022 23:59,0,0.3,8.14,3/8/2022 23:59,-4.677,3/9/2022 22:30,3.351,86.9,3/9/2022 22:40,47.26,3/9/2022 12:49,69.35,26.52,3/9/2022 11:37,1.491,3/9/2022 20:18,11.32,291.9,WNW,417.871,16.17988,0.027,0.036,0
3/10/2022 23:59,0,0.3,16.24,3/10/2022 21:56,-12.61,3/10/2022 7:26,3.2,87.3,3/10/2022 21:54,52.26,3/10/2022 12:27,72.27,37.83,3/10/2022 22:32,4.559,3/10/2022 7:31,11.33,235.3,WSW,399.5275,16.37807,0.026,0.033,0
3/11/2022 23:59,0,0.3,7.651,3/11/2022 0:00,-8.77,3/11/2022 22:23,-2.501,82.1,3/11/2022 22:39,57.59,3/11/2022 16:01,74.32,33.27,3/11/2022 0:58,4.209,3/11/2022 18:56,16.34,290.6,WNW,406.195,16.69337,0.016,0.022,0
3/12/2022 23:59,0,0.3,27.12,3/12/2022 23:33,-21.02,3/12/2022 5:19,3.957,91.9,3/12/2022 20:51,42.94,3/12/2022 12:57,72.77,24.42,3/12/2022 14:41,0,3/12/2022 5:10,8.61,202.8,SSW,324.8967,16.86568,0.026,0.035,0
3/13/2022 23:59,0.01,0.31,28.91,3/13/2022 1:54,14.44,3/13/2022 23:55,21.93,92.2,3/13/2022 2:17,59.41,3/13/2022 14:59,74.99,29.55,3/13/2022 10:28,1.184,3/13/2022 23:54,10.02,305,NW,375.0728,16.82204,0.041,0.052,0
