TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,230,11.8,0,0,25.97,1/1/2023 1:02,15.66,1/1/2023 21:49,19.45,97.8,1/1/2023 1:12,92.6,1/1/2023 21:19,94.5,13.19,1/1/2023 15:00,0,12/31/2022 23:59,5.359,263.8,W,89.7987,5.950631,0.006,0.007,0
1/2/2023 23:59,231,11.69,0,0,18.92,1/2/2023 14:11,-0.768,1/2/2023 23:57,12.99,94.5,1/2/2023 14:08,83.8,1/2/2023 23:15,91.3,8.57,1/2/2023 0:46,0,1/2/2023 13:04,2.186,244.6,WSW,77.41069,6.010094,0.004,0.004,0
1/3/2023 23:59,232,11.66,0,0,19.18,1/3/2023 21:47,-5.59,1/3/2023 7:55,9.06,94.1,1/3/2023 13:38,81.2,1/3/2023 5:37,89.3,10.28,1/3/2023 23:50,0,1/2/2023 23:59,1.223,120,NNE,72.61586,6.071852,0.005,0.005,0
1/4/2023 23:59,233,11.61,0,0,23.68,1/4/2023 15:31,12.8,1/4/2023 21:16,18.91,96,1/4/2023 23:01,72.81,1/4/2023 15:30,85.7,12.07,1/4/2023 8:40,0,1/4/2023 1:04,3.908,52.15,NNE,74.9521,6.097202,0.01,0.013,0
1/5/2023 23:59,234,11.55,0,0,21.22,1/5/2023 16:21,-0.605,1/5/2023 21:58,12.1,97.2,1/5/2023 18:14,70.73,1/5/2023 16:27,90.5,8.35,1/5/2023 0:49,0,1/5/2023 4:36,2.484,198.5,NNW,140.9354,6.17454,0.009,0.01,0
1/6/2023 23:59,235,11.99,0,0,22.18,1/6/2023 12:26,-5.43,1/6/2023 7:55,4.985,94.5,1/6/2023 17:55,66.58,1/6/2023 14:52,84.9,3.95,1/6/2023 16:56,0,1/6/2023 2:11,1.1,218.6,WNW,176.27,6.250934,0.009,0.009,0
1/7/2023 23:59,236,12.2,0,0,22.69,1/7/2023 14:57,-8.37,1/7/2023 4:11,6.624,94.2,1/7/2023 18:08,71.64,1/7/2023 12:09,84.1,13.19,1/7/2023 15:35,0,1/6/2023 23:59,3.322,188.3,SSW,171.2318,6.303098,0.01,0.012,0
1/8/2023 23:59,237,12.31,0,0,25.39,1/8/2023 14:18,2.107,1/8/2023 23:46,14.85,97.5,1/8/2023 21:06,77.37,1/8/2023 14:19,88.6,12.22,1/8/2023 0:15,0,1/8/2023 20:04,4.076,229.5,WSW,172.4204,6.306905,0.01,0.013,0
1/9/2023 23:59,238,12.3,0,0,25.48,1/9/2023 17:18,-2.897,1/9/2023 4:34,13.94,97.6,1/9/2023 16:41,82.5,1/9/2023 4:33,90.3,11.03,1/9/2023 17:28,0,1/9/2023 0:06,2.538,94.9,E,104.2322,6.37746,0.005,0.005,0
1/10/2023 23:59,239,12.36,0,0,28.59,1/10/2023 14:51,23.59,1/10/2023 0:11,26.25,98.7,1/10/2023 8:11,91.5,1/10/2023 14:52,96.1,13.04,1/10/2023 17:20,0,1/10/2023 2:34,4.8,140.7,SE,77.49715,6.344541,0.007,0.007,0
1/11/2023 23:59,240,12.23,0,0,29.49,1/11/2023 13:22,15.91,1/11/2023 23:57,24.09,97.6,1/11/2023 16:22,88.5,1/11/2023 19:59,94.6,15.5,1/11/2023 14:39,0,1/11/2023 4:41,5.75,235.6,NW,78.40101,6.42009,0.008,0.01,0
1/12/2023 23:59,241,12.17,0,0,16.24,1/12/2023 0:05,-5.589,1/12/2023 23:54,9.67,94.7,1/12/2023 17:22,79.96,1/12/2023 14:30,87.4,17.07,1/12/2023 6:31,0,1/12/2023 21:30,6.65,312.7,NW,152.332,6.645843,0.01,0.013,0
1/13/2023 23:59,242,12.16,0,0,13.78,1/13/2023 14:57,-15.97,1/13/2023 6:21,-0.058,89.1,1/13/2023 12:54,74.93,1/13/2023 15:21,82.1,14.46,1/13/2023 20:35,0,1/13/2023 0:03,4.216,159.8,SE,179.4714,6.771905,0.009,0.01,0
1/14/2023 23:59,243,12.25,0,0,27.53,1/14/2023 23:16,8.63,1/14/2023 3:10,16.52,93,1/14/2023 23:51,80.2,1/14/2023 2:29,87.8,20.12,1/14/2023 17:56,1.043,1/14/2023 2:33,10.02,136.9,SE,127.4699,6.765409,0.01,0.013,0
1/15/2023 23:59,244,12.3,0.03,0.03,36.6,1/15/2023 13:06,18.11,1/15/2023 21:31,26.93,98.9,1/15/2023 19:25,75.56,1/15/2023 13:07,91.4,18.7,1/15/2023 1:57,0,1/15/2023 20:53,5.889,143.5,SE,158.4808,6.709242,0.017,0.021,0
1/16/2023 23:59,245,12.4,0.08,0.11,33.65,1/16/2023 15:06,23.51,1/16/2023 1:52,29.36,98.3,1/16/2023 2:02,86.7,1/16/2023 14:49,93.6,14.08,1/16/2023 20:18,0,1/16/2023 5:52,4.683,73.7,NNE,92.70743,6.790711,0.006,0.008,0
1/17/2023 23:59,246,12.28,0,0.11,31.21,1/17/2023 0:03,19.58,1/17/2023 18:50,24.43,97.8,1/17/2023 5:38,88.2,1/17/2023 15:02,92.9,16.25,1/17/2023 1:22,1.938,1/17/2023 22:37,7.915,318,NNW,85.70052,6.95552,0.009,0.011,0
1/18/2023 23:59,247,12.25,0,0.11,25.64,1/18/2023 15:26,19.83,1/18/2023 3:12,22.66,96.4,1/18/2023 7:07,84.9,1/18/2023 14:29,91,9.02,1/18/2023 19:49,0,1/18/2023 3:57,4.05,104.1,NE,83.38509,7.053873,0.009,0.011,0
1/19/2023 23:59,248,12.21,0,0.11,25.73,1/19/2023 14:45,19.91,1/19/2023 23:54,23.01,96,1/19/2023 22:40,87.7,1/19/2023 14:38,93.3,12.15,1/19/2023 7:32,0.298,1/19/2023 0:06,5.763,173.2,N,75.80151,7.146088,0.008,0.01,0
