TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,1145,12.31,0,0,31.65,1/1/2023 0:00,21.6,1/1/2023 23:38,25.2,99.6,1/1/2023 8:21,75.37,1/1/2023 14:46,91.2,17.07,1/1/2023 16:45,0,1/1/2023 7:38,5.568,281.3,WNW,152.5596,6.440657,0.013,0.017,0
1/2/2023 23:59,1146,12.37,0,0,22.37,1/2/2023 12:43,18.07,1/2/2023 22:03,21.01,98.7,1/2/2023 6:31,83.8,1/2/2023 15:45,93.9,8.87,1/2/2023 0:27,0,1/2/2023 3:09,2.623,246.3,WNW,71.68249,6.493044,0.003,0.004,0
1/3/2023 23:59,1147,12.28,0,0,27.04,1/3/2023 23:54,17.01,1/3/2023 7:51,21.46,97.9,1/2/2023 23:59,78.51,1/3/2023 12:26,94.1,17.14,1/3/2023 15:14,0,1/3/2023 0:18,5.695,65.42,NNE,36.29083,6.553333,0.005,0.007,0
1/4/2023 23:59,1148,12.19,0,0,27.39,1/4/2023 10:38,23.32,1/4/2023 20:54,25.5,99.6,1/4/2023 9:11,94.1,1/4/2023 2:36,98.2,15.8,1/4/2023 1:35,1.342,1/4/2023 21:41,6.757,94.1,N,64.15101,6.522587,0.006,0.007,0
1/5/2023 23:59,1149,12.1,0,0,24.6,1/5/2023 0:29,-4.392,1/5/2023 21:11,14.82,98.8,1/5/2023 0:18,82.3,1/5/2023 21:07,93.6,13.94,1/5/2023 2:07,0,1/5/2023 7:41,4.247,247.2,NNW,116.9414,6.655123,0.005,0.006,0
1/6/2023 23:59,1150,11.95,0,0,14.83,1/6/2023 14:59,-10.54,1/6/2023 6:25,0.228,92.8,1/6/2023 15:33,80.3,1/6/2023 8:38,85.9,5.366,1/6/2023 10:09,0,1/5/2023 23:59,1.352,282.8,WNW,159.2293,6.811757,0.006,0.006,0
1/7/2023 23:59,1151,12.29,0.01,0.01,16.96,1/7/2023 15:39,-12.02,1/7/2023 7:39,1.936,94.6,1/7/2023 13:47,79.66,1/7/2023 7:02,86.6,5.814,1/7/2023 22:31,0,1/7/2023 1:28,1.351,194.4,SSE,185.1048,6.858111,0.009,0.009,0
1/8/2023 23:59,1152,12.33,0,0.01,21.96,1/8/2023 14:12,-2.342,1/8/2023 4:45,7.119,96.8,1/8/2023 14:12,83.9,1/8/2023 2:32,89.2,7.379,1/8/2023 1:07,0,1/8/2023 0:20,2.196,133.2,SE,172.0751,6.878742,0.009,0.009,0
1/9/2023 23:59,1153,12.35,0,0.01,25.64,1/9/2023 23:54,-0.534,1/9/2023 2:16,14.07,99.3,1/9/2023 23:58,85.1,1/9/2023 1:30,93.1,9.76,1/9/2023 12:32,0,1/8/2023 23:59,2.633,133.4,ESE,139.1907,6.909023,0.005,0.005,0
1/10/2023 23:59,1154,12.4,0,0.01,30.34,1/10/2023 13:07,24.96,1/10/2023 1:59,27.47,100,1/10/2023 9:28,98.9,1/10/2023 2:40,99.7,6.41,1/10/2023 7:58,0,1/10/2023 0:45,2.15,175.6,ENE,70.07188,6.844916,0.005,0.005,0
1/11/2023 23:59,1155,12.31,0,0.01,30.26,1/11/2023 16:09,21.6,1/11/2023 23:58,28.09,100,1/11/2023 0:01,90.6,1/11/2023 23:56,98.7,19.08,1/11/2023 22:54,0,1/11/2023 0:12,4.486,228.8,W,61.23359,6.911827,0.007,0.007,0
1/12/2023 23:59,1156,12.25,0,0.01,21.87,1/11/2023 23:59,8.07,1/12/2023 21:03,17.6,93.5,1/12/2023 21:14,74.38,1/12/2023 15:17,85.1,18.86,1/12/2023 10:29,0,1/12/2023 20:47,7.947,303.4,NW,119.3215,7.149298,0.012,0.016,0
1/13/2023 23:59,1157,12.19,0,0.01,14.66,1/13/2023 14:46,6.184,1/13/2023 23:20,11.46,95,1/13/2023 3:46,88.6,1/13/2023 22:53,92.2,12.07,1/13/2023 18:58,0,1/13/2023 0:08,3.394,163.4,SE,114.2907,7.248035,0.006,0.007,0
1/14/2023 23:59,1158,12.16,0,0.01,30.67,1/14/2023 22:28,7.086,1/14/2023 0:09,19.95,93.7,1/14/2023 9:54,75.95,1/14/2023 13:11,86.2,17.66,1/14/2023 22:06,2.236,1/14/2023 0:49,7.766,152.5,SSE,127.7632,7.269884,0.014,0.019,0
1/15/2023 23:59,1159,12.33,0.01,0.02,37.7,1/15/2023 13:33,25.95,1/15/2023 21:34,31.22,96.7,1/15/2023 21:47,70.94,1/15/2023 13:33,83.5,18.34,1/15/2023 12:08,0,1/15/2023 17:52,6.344,156,SSE,168.6595,7.236059,0.022,0.03,0
