TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-11.27,1/1/2022 15:22,-26.6,1/1/2022 7:43,-18.66,80.4,1/1/2022 22:05,59.13,1/1/2022 16:07,69.33,14.61,1/1/2022 0:11,0,1/1/2022 17:05,4.138,306.2,NW,146.8474,6.711148,0.004,0.005,0
1/2/2022 23:59,0,0,0.233,1/2/2022 15:37,-29.46,1/2/2022 7:54,-13.86,79.07,1/2/2022 0:19,61.16,1/2/2022 15:39,72.6,10.06,1/2/2022 21:51,0,1/2/2022 0:00,2.089,184.9,SSE,171.3402,6.724974,0.005,0.006,0
1/3/2022 23:59,0.01,0.01,21,1/3/2022 15:18,-6.514,1/3/2022 0:41,7.587,94.3,1/3/2022 20:09,70.07,1/3/2022 16:00,81,9.32,1/3/2022 21:35,0,1/3/2022 3:50,2.477,114.7,ESE,107.2668,6.622819,0.007,0.009,0
1/4/2022 23:59,0,0.01,22.39,1/4/2022 15:40,8.32,1/4/2022 2:48,15.17,96.8,1/4/2022 22:13,78.41,1/4/2022 16:13,85.5,21.02,1/4/2022 22:25,0,1/4/2022 2:24,6.425,121,ENE,97.82093,6.644835,0.01,0.013,0
1/5/2022 23:59,0,0.01,16.07,1/4/2022 23:59,-4.551,1/5/2022 23:56,6.236,91.7,1/5/2022 0:23,75.53,1/5/2022 22:55,83.1,21.99,1/5/2022 8:41,2.161,1/5/2022 22:56,9,282.7,NNW,105.9421,6.785609,0.008,0.011,0
1/6/2022 23:59,0,0.01,-4.295,1/6/2022 0:00,-24.22,1/6/2022 23:57,-12.58,78.59,1/6/2022 23:10,66.84,1/6/2022 16:41,72.88,17.59,1/6/2022 0:37,0.596,1/6/2022 22:35,8.02,304,NW,156.1481,6.937154,0.006,0.008,0
1/7/2022 23:59,0,0.01,9.66,1/7/2022 23:49,-33.06,1/7/2022 7:49,-12.93,79.38,1/7/2022 20:13,66.99,1/7/2022 13:32,72.67,23.03,1/7/2022 22:56,0,1/7/2022 0:56,5.851,179.2,SSE,154.8308,6.997447,0.006,0.008,0
1/8/2022 23:59,0,0.01,25.24,1/8/2022 14:29,-1.847,1/8/2022 23:55,14.82,80.8,1/8/2022 17:37,66.9,1/8/2022 23:58,73.28,29.59,1/8/2022 21:02,0.224,1/8/2022 15:09,11.23,220,SSW,107.1877,6.861969,0.017,0.023,0
1/9/2022 23:59,0,0.01,-0.924,1/9/2022 15:00,-15.61,1/9/2022 23:56,-6.657,81.6,1/9/2022 22:43,48.79,1/9/2022 14:49,64.67,22.81,1/9/2022 0:02,0,1/9/2022 20:25,8.59,285.2,WNW,188.3618,7.114527,0.01,0.015,0
1/10/2022 23:59,0,0.01,0.068,1/10/2022 21:09,-26.84,1/10/2022 7:36,-10.25,83,1/10/2022 4:27,49.08,1/10/2022 14:19,66.65,9.91,1/10/2022 10:22,0,1/10/2022 0:02,2.925,247,WSW,175.5613,7.192277,0.007,0.009,0
1/11/2022 23:59,0.04,0.05,32.56,1/11/2022 21:38,-2.661,1/11/2022 0:06,16.65,85.1,1/11/2022 23:52,60.03,1/11/2022 14:21,71.24,19.6,1/11/2022 16:03,0,1/11/2022 10:21,6.443,212.9,SSW,168.5916,7.088036,0.021,0.029,0
1/12/2022 23:59,0.13,0.18,32.56,1/12/2022 14:45,20.3,1/12/2022 23:15,28.3,98.1,1/12/2022 23:27,71.48,1/12/2022 14:44,85.2,8.94,1/12/2022 0:41,0,1/12/2022 1:37,2.111,172.5,NNE,153.3335,7.038508,0.009,0.01,0
1/13/2022 23:59,0,0.18,30.98,1/13/2022 13:27,17.91,1/13/2022 23:57,25.9,98.8,1/13/2022 7:39,70.32,1/13/2022 20:55,83.5,16.77,1/13/2022 9:45,0,1/13/2022 0:16,4.971,194,N,79.99354,7.112408,0.011,0.015,0
1/14/2022 23:59,0,0.18,18.2,1/14/2022 0:00,6.352,1/14/2022 23:30,14.26,89.5,1/14/2022 5:41,60.43,1/14/2022 16:53,77.61,20.65,1/14/2022 9:21,0,1/14/2022 23:03,7.719,64.35,ENE,92.59279,7.340842,0.012,0.016,0
1/15/2022 23:59,0,0.18,13.45,1/15/2022 15:19,-14.38,1/15/2022 7:36,2.163,94.7,1/15/2022 3:31,53.64,1/15/2022 15:25,76.73,14.38,1/15/2022 22:19,0,1/15/2022 0:31,3.539,195.9,S,204.6406,7.506657,0.013,0.016,0
1/16/2022 23:59,0.05,0.23,31.15,1/16/2022 16:38,6.518,1/15/2022 23:59,18.64,81.8,1/16/2022 18:13,61.79,1/16/2022 4:50,73.22,21.32,1/16/2022 18:11,0,1/16/2022 9:29,6.258,246,WSW,123.1778,7.49067,0.016,0.02,0
1/17/2022 23:59,0.02,0.25,33.36,1/17/2022 14:04,9.25,1/17/2022 3:10,23.68,95.6,1/17/2022 3:19,70.07,1/17/2022 14:05,83.6,12.67,1/17/2022 0:29,0,1/17/2022 3:44,2.717,220,SW,144.4634,7.488833,0.014,0.017,0
1/18/2022 23:59,0,0.25,40.28,1/18/2022 13:46,4.96,1/18/2022 23:55,24.21,94.9,1/18/2022 0:43,64.33,1/18/2022 12:11,80.6,37.94,1/18/2022 16:44,0.298,1/18/2022 11:40,12.91,222.4,SW,170.8892,7.528254,0.028,0.038,0
1/19/2022 23:59,0,0.25,5.317,1/19/2022 0:04,-13.97,1/19/2022 23:36,-3.147,76.82,1/19/2022 23:44,58.01,1/19/2022 14:44,66.69,28.92,1/19/2022 1:49,3.876,1/19/2022 23:58,13.33,303.6,WNW,213.2876,7.952632,0.013,0.018,0
1/20/2022 23:59,0,0.25,-1.655,1/20/2022 15:18,-23.81,1/20/2022 7:12,-13.23,82,1/20/2022 23:33,55.27,1/20/2022 14:22,72.62,8.42,1/20/2022 14:36,0,1/20/2022 2:59,2.097,241.3,W,221.7406,8.09036,0.008,0.009,0
1/21/2022 23:59,0,0.25,27.05,1/21/2022 22:15,-15.86,1/21/2022 0:19,4.31,95.2,1/21/2022 20:35,53.67,1/21/2022 14:28,76.26,26.38,1/21/2022 10:31,0,1/21/2022 3:00,8.42,179.5,S,150.7031,8.118717,0.014,0.02,0
1/22/2022 23:59,0,0.25,21.87,1/22/2022 0:00,-3.066,1/22/2022 23:58,6.231,85.7,1/22/2022 19:22,58.57,1/22/2022 14:17,71.88,31.08,1/22/2022 2:50,0,1/22/2022 15:05,8.55,243.1,NW,169.4304,8.260077,0.013,0.017,0
1/23/2022 23:59,0,0.25,4.737,1/23/2022 23:50,-22,1/23/2022 7:51,-4.452,89.7,1/23/2022 1:07,58.63,1/23/2022 14:40,77.47,13.04,1/23/2022 18:17,0,1/23/2022 4:05,4.001,217.3,SSW,133.4838,8.39842,0.008,0.01,0
1/24/2022 23:59,0,0.25,5.793,1/24/2022 15:24,-15.12,1/24/2022 23:52,-0.094,89.4,1/24/2022 0:36,59.38,1/24/2022 15:24,74.04,17.66,1/24/2022 18:31,0,1/24/2022 1:27,7.107,250.9,NW,232.3324,8.491071,0.013,0.017,0
1/25/2022 23:59,0,0.25,-3.287,1/25/2022 14:35,-28.64,1/25/2022 7:22,-13.96,83,1/25/2022 2:07,57.48,1/25/2022 15:43,72.08,15.88,1/25/2022 11:48,0,1/25/2022 3:23,4.205,285.9,WNW,232.3047,8.672726,0.008,0.011,0
1/26/2022 23:59,0,0.25,33.3,1/26/2022 23:05,-26.26,1/26/2022 2:21,4.346,88,1/26/2022 23:32,66.74,1/26/2022 10:37,76.1,21.91,1/26/2022 11:42,0,1/26/2022 0:14,6.374,186,S,165.5625,8.679485,0.013,0.017,0
1/27/2022 23:59,0,0.25,32.31,1/27/2022 0:05,-8.65,1/27/2022 23:23,16.02,86.8,1/27/2022 6:15,38.51,1/27/2022 15:10,65.49,21.54,1/27/2022 0:10,0.745,1/27/2022 17:27,7.925,283.6,NW,229.8787,8.797045,0.026,0.036,0
1/28/2022 23:59,0,0.25,13.19,1/28/2022 15:25,-17.58,1/28/2022 8:00,-2.081,86,1/28/2022 22:32,54.74,1/28/2022 14:18,73.8,11.25,1/28/2022 10:56,0,1/28/2022 2:10,2.051,210.9,SW,195.6108,8.998499,0.011,0.013,0
1/29/2022 23:59,0,0.25,22.79,1/29/2022 13:01,-3.072,1/29/2022 3:54,11,87.5,1/29/2022 4:24,56.44,1/29/2022 12:59,74.79,22.51,1/29/2022 18:36,0,1/29/2022 0:15,5.69,215.8,SSW,210.0271,9.035075,0.02,0.025,0
1/30/2022 23:59,0,0.25,21.81,1/30/2022 15:06,5.949,1/30/2022 23:58,13.34,91,1/30/2022 23:14,55.5,1/30/2022 15:05,75.36,16.4,1/30/2022 1:08,0,1/30/2022 8:12,3.84,218.6,W,218.2659,9.185678,0.018,0.021,0
1/31/2022 23:59,0,0.25,25.01,1/31/2022 17:27,4.965,1/31/2022 0:28,15.15,90.6,1/31/2022 4:35,72.09,1/31/2022 16:08,83.3,17.07,1/31/2022 18:45,0,1/31/2022 2:29,6.088,143.6,SE,165.9982,9.266066,0.016,0.02,0
2/1/2022 23:59,0,0.25,28.13,2/1/2022 4:30,-1.76,2/1/2022 23:51,11.42,97.8,2/1/2022 2:19,60.49,2/1/2022 14:22,73.52,33.61,2/1/2022 5:35,0,1/31/2022 23:59,12.8,283.7,WNW,225.7699,9.505874,0.02,0.028,0
2/2/2022 23:59,0,0.25,-0.415,2/2/2022 14:37,-18.23,2/2/2022 23:05,-6.873,77.53,2/2/2022 7:39,54.89,2/2/2022 15:03,67.31,18.26,2/2/2022 13:42,0,2/2/2022 21:22,6.663,303.6,WNW,258.2431,9.785233,0.013,0.016,0
2/3/2022 23:59,0,0.25,-0.926,2/3/2022 15:34,-28.31,2/3/2022 7:46,-12.12,81,2/3/2022 1:41,45.25,2/3/2022 15:37,65.79,7.081,2/3/2022 23:28,0,2/3/2022 0:26,1.649,201,WSW,266.0898,9.965171,0.011,0.012,0
2/4/2022 23:59,0,0.25,5.073,2/4/2022 15:15,-8.07,2/4/2022 21:50,-2.215,82.9,2/4/2022 9:08,57.43,2/4/2022 16:06,69.32,16.62,2/4/2022 11:17,0,2/4/2022 6:39,5.886,235.8,W,260.2106,10.05342,0.013,0.017,0
2/5/2022 23:59,0,0.25,23.29,2/5/2022 22:18,-6.023,2/5/2022 0:35,9.19,88.2,2/5/2022 23:56,61.05,2/5/2022 13:25,72.65,22.73,2/5/2022 11:39,0,2/4/2022 23:59,7.391,183.8,S,154.996,10.14013,0.015,0.021,0
2/6/2022 23:59,0,0.25,19.76,2/6/2022 4:14,-5.45,2/6/2022 23:56,10.63,88.8,2/6/2022 0:11,62.21,2/6/2022 16:38,75.36,21.99,2/6/2022 13:36,0,2/6/2022 0:04,8.47,295,WNW,180.2265,10.28833,0.015,0.021,0
2/7/2022 23:59,0,0.25,16.46,2/7/2022 14:25,-10.28,2/7/2022 0:24,4.611,86.8,2/7/2022 0:57,58.16,2/7/2022 14:03,75.02,12.52,2/7/2022 15:07,0,2/6/2022 23:59,3.648,174.2,SSE,180.6972,10.46884,0.015,0.019,0
2/8/2022 23:59,0,0.25,41.82,2/8/2022 13:04,7.263,2/8/2022 8:43,25,92.9,2/8/2022 23:34,59.07,2/8/2022 13:12,80.1,24.6,2/8/2022 15:54,0,2/8/2022 4:34,7.153,222,WSW,247.2541,10.35535,0.038,0.05,0
2/9/2022 23:59,0,0.25,34.78,2/9/2022 0:49,15.78,2/9/2022 23:58,27.51,90.2,2/8/2022 23:59,66.31,2/9/2022 13:40,78.56,29.37,2/9/2022 7:26,4.696,2/9/2022 23:27,14.33,305.3,NW,142.6463,10.55812,0.027,0.038,0
2/10/2022 23:59,0.09,0.34,38.96,2/10/2022 19:00,7.337,2/10/2022 7:14,21.78,98.3,2/10/2022 16:53,75.1,2/10/2022 10:50,84.1,22.66,2/10/2022 14:45,0,2/10/2022 6:11,8.38,239.9,WSW,125.9333,10.81979,0.016,0.02,0
2/11/2022 23:59,0.02,0.36,37.07,2/11/2022 0:27,-7.093,2/11/2022 23:56,15.77,96.5,2/11/2022 5:08,53.31,2/11/2022 16:56,72.08,30.78,2/11/2022 6:25,2.758,2/11/2022 18:38,12.9,301.2,NW,217.4159,11.13598,0.023,0.031,0
2/12/2022 23:59,0,0.36,1.205,2/12/2022 15:03,-19.71,2/12/2022 6:48,-8.03,83.5,2/12/2022 22:16,50.84,2/12/2022 15:05,69.26,10.96,2/12/2022 0:36,0,2/12/2022 7:24,2.992,267,WNW,219.9682,11.48643,0.01,0.011,0
2/13/2022 23:59,0,0.36,5.469,2/13/2022 23:58,-19.78,2/13/2022 7:50,-4.147,83.3,2/13/2022 17:49,50.45,2/13/2022 13:53,73.83,14.38,2/13/2022 20:45,0,2/13/2022 7:07,5.051,216,SSW,254.4939,11.64086,0.014,0.018,0
2/14/2022 23:59,0.02,0.38,12.25,2/14/2022 14:48,-11.43,2/14/2022 7:30,2.622,90.1,2/14/2022 5:19,55.53,2/14/2022 14:55,74.85,9.69,2/14/2022 0:07,0,2/14/2022 3:15,2.353,197.7,NNW,311.347,11.75176,0.018,0.02,0
2/15/2022 23:59,0,0.38,24.03,2/15/2022 18:55,-6.104,2/15/2022 1:17,14.58,86.1,2/15/2022 23:58,64.81,2/15/2022 4:07,72.89,21.32,2/15/2022 10:17,0,2/14/2022 23:59,7.602,127,ESE,209.8262,11.78944,0.022,0.031,0
2/16/2022 23:59,0,0.38,22.3,2/16/2022 4:13,0.537,2/16/2022 23:58,16.43,86.9,2/16/2022 0:06,56.93,2/16/2022 16:24,71.91,23.7,2/16/2022 21:49,0,2/16/2022 0:18,10.73,310.9,NW,280.1617,11.99085,0.028,0.039,0
2/17/2022 23:59,0,0.38,3.913,2/17/2022 15:04,-16.18,2/17/2022 7:36,-4.546,77.91,2/17/2022 7:43,45.07,2/17/2022 17:04,62.71,16.7,2/17/2022 0:01,0,2/17/2022 7:03,4.61,243.9,NW,326.0399,12.41693,0.016,0.019,0
2/18/2022 23:59,0.01,0.39,31.07,2/18/2022 11:20,-4.382,2/17/2022 23:59,7.579,87.9,2/18/2022 10:25,56.94,2/18/2022 2:05,67.66,39.13,2/18/2022 11:25,0,2/18/2022 9:29,14.9,238.6,WSW,187.1957,12.32411,0.023,0.032,0
2/19/2022 23:59,0,0.39,27.8,2/19/2022 23:47,-9.47,2/19/2022 5:08,7.859,81.8,2/19/2022 6:01,41.51,2/19/2022 23:12,63.29,25.04,2/19/2022 15:27,0,2/19/2022 5:54,8.92,214.8,SSW,254.1109,12.70202,0.025,0.033,0
2/20/2022 23:59,0,0.39,36.98,2/20/2022 11:15,16.11,2/20/2022 23:58,27.87,75.33,2/20/2022 10:29,44.11,2/20/2022 0:07,59.18,20.57,2/20/2022 10:21,0,2/20/2022 7:51,8.11,205.6,NW,304.9863,12.52359,0.052,0.068,0
2/21/2022 23:59,0,0.39,16.38,2/21/2022 0:00,1.766,2/21/2022 23:54,10.08,88.5,2/21/2022 12:23,60.2,2/21/2022 0:10,81,24.6,2/21/2022 12:48,2.236,2/21/2022 12:02,9.93,45.81,NE,108.3664,12.97446,0.013,0.017,0
