TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,1134,12.26,0,0,30.1,1/1/2023 0:13,17.35,1/1/2023 9:47,21.88,99.6,1/1/2023 0:03,89.7,1/1/2023 11:27,94.8,12.07,1/1/2023 14:14,0.522,1/1/2023 23:57,4.466,283,WNW,109.1004,6.212964,0.007,0.008,0
1/2/2023 23:59,1135,12.19,0,0,20.39,1/2/2023 0:01,5.52,1/2/2023 23:47,16.68,96.8,1/2/2023 7:38,86.4,1/2/2023 22:16,93.7,7.081,1/2/2023 8:45,0,1/2/2023 2:05,1.575,248.7,WNW,79.0647,6.264203,0.005,0.005,0
1/3/2023 23:59,1136,12.16,0,0,23.49,1/3/2023 23:11,5.523,1/3/2023 0:02,16.58,95.2,1/3/2023 22:52,86.7,1/3/2023 0:02,92.6,14.01,1/3/2023 23:56,0,1/2/2023 23:59,3.376,73.74,NNE,41.16416,6.304811,0.004,0.005,0
1/4/2023 23:59,1137,12.1,0,0,24.76,1/4/2023 11:16,19.4,1/4/2023 23:56,22.7,96.6,1/4/2023 10:40,92.9,1/4/2023 23:08,95,16.99,1/4/2023 11:27,1.342,1/4/2023 13:36,6.468,57.47,NNE,82.52374,6.297185,0.007,0.009,0
1/5/2023 23:59,1138,12.02,0,0,19.66,1/5/2023 2:08,-2.277,1/5/2023 20:48,12.69,95.1,1/5/2023 5:01,83.3,1/5/2023 20:45,91.2,11.18,1/5/2023 2:13,0,1/5/2023 9:19,2.785,221.4,NNW,135.2596,6.422515,0.007,0.007,0
1/6/2023 23:59,1139,11.98,0,0,14.75,1/6/2023 15:18,-9.01,1/6/2023 8:30,2.024,94,1/6/2023 10:39,79.02,1/6/2023 8:23,86.1,5.888,1/6/2023 15:43,0,1/5/2023 23:59,1.315,240.7,W,182.6696,6.543236,0.007,0.007,0
1/7/2023 23:59,1140,12.28,0.01,0.01,21,1/7/2023 13:09,-9.25,1/7/2023 4:36,4.947,95.9,1/7/2023 12:50,80.4,1/7/2023 4:35,86.9,8.65,1/7/2023 20:13,0,1/7/2023 0:04,2.003,185,S,172.8801,6.574617,0.009,0.01,0
1/8/2023 23:59,1141,12.32,0,0.01,25.92,1/8/2023 14:57,3.312,1/8/2023 4:09,11.89,96.3,1/8/2023 9:40,83.7,1/8/2023 4:07,89.5,6.559,1/8/2023 12:47,0,1/8/2023 1:05,1.796,204.4,SSW,184.6936,6.557025,0.011,0.011,0
1/9/2023 23:59,1142,12.31,0,0.01,24.59,1/9/2023 23:21,-1.291,1/9/2023 3:55,13.73,96.1,1/9/2023 23:58,84.4,1/9/2023 1:36,91.3,9.69,1/9/2023 12:32,0,1/8/2023 23:59,2.477,99.4,E,106.1711,6.647059,0.003,0.002,0
1/10/2023 23:59,1143,12.37,0,0.01,29.44,1/10/2023 15:19,24,1/10/2023 0:53,27.05,98.7,1/10/2023 10:30,94.3,1/10/2023 17:35,96.9,12.15,1/10/2023 23:11,0,1/10/2023 3:06,2.77,141.8,ESE,71.31246,6.598068,0.005,0.005,0
