TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-11.34,1/1/2022 15:04,-28.94,1/1/2022 7:51,-20.07,78.21,1/1/2022 12:01,71.6,1/1/2022 7:51,75.06,7.155,1/1/2022 14:38,0,12/31/2021 23:59,1.645,265.1,W,168.9676,6.393339,0.004,0.004,0
1/2/2022 23:59,0,0,0.163,1/2/2022 15:05,-30.03,1/2/2022 7:34,-13.62,84.2,1/2/2022 23:09,70.99,1/2/2022 5:52,77.89,10.36,1/2/2022 12:10,0,1/2/2022 0:11,2.965,166.4,SSE,168.5493,6.397143,0.005,0.006,0
1/3/2022 23:59,0.04,0.04,19.67,1/3/2022 14:53,-4.417,1/3/2022 4:16,9.94,92.7,1/3/2022 14:38,80.9,1/3/2022 4:12,88.4,13.04,1/3/2022 7:31,0,1/3/2022 3:16,3.884,183.9,WNW,122.7889,6.294981,0.008,0.009,0
1/4/2022 23:59,0,0.04,20.32,1/4/2022 17:12,6.994,1/4/2022 2:25,12.71,93.8,1/4/2022 16:57,87.1,1/4/2022 2:15,89.9,18.04,1/4/2022 19:52,1.863,1/4/2022 2:24,8.03,110.7,NE,86.37099,6.344813,0.007,0.009,0
1/5/2022 23:59,0,0.04,13.01,1/5/2022 0:03,-12.24,1/5/2022 23:49,1.821,90.1,1/5/2022 0:14,74.44,1/5/2022 22:48,83.1,23.48,1/5/2022 10:03,1.267,1/5/2022 23:44,11.51,319,NNW,104.9471,6.492842,0.007,0.01,0
1/6/2022 23:59,0,0.04,-8.94,1/6/2022 15:28,-25.45,1/6/2022 23:48,-15.73,76.8,1/6/2022 20:15,69.08,1/6/2022 14:37,74.31,15.43,1/6/2022 1:30,0,1/6/2022 7:17,5.164,296,WNW,182.403,6.630671,0.005,0.006,0
1/7/2022 23:59,0,0.04,9.65,1/7/2022 23:50,-35.68,1/7/2022 7:32,-14.67,82.4,1/7/2022 22:59,69.14,1/7/2022 7:35,75.04,28.25,1/7/2022 21:28,0,1/6/2022 23:59,7.588,149.5,SE,145.5405,6.68539,0.005,0.006,0
1/8/2022 23:59,0,0.04,23.12,1/8/2022 13:14,-5.683,1/8/2022 23:53,10.72,82.1,1/8/2022 15:15,71.23,1/8/2022 22:58,78.28,27.65,1/8/2022 0:41,1.043,1/8/2022 21:00,10.72,230.1,SW,98.06628,6.566998,0.014,0.018,0
1/9/2022 23:59,0,0.04,-2.388,1/9/2022 14:31,-14.61,1/9/2022 22:35,-8.58,81.4,1/9/2022 22:48,54.23,1/9/2022 13:32,70.79,15.73,1/9/2022 14:48,0,1/9/2022 4:43,4.702,272.6,W,183.8233,6.808072,0.008,0.01,0
1/10/2022 23:59,0,0.04,0.042,1/10/2022 18:37,-21.96,1/10/2022 7:53,-8.36,79.71,1/10/2022 0:02,53.92,1/10/2022 15:11,68.91,11.18,1/10/2022 20:21,0,1/10/2022 2:39,3.277,233.1,WSW,166.5361,6.877326,0.007,0.008,0
1/11/2022 23:59,0.02,0.06,31.15,1/11/2022 14:53,-3.642,1/11/2022 0:42,15.95,90.8,1/11/2022 23:58,63.13,1/11/2022 12:20,74.74,17.81,1/11/2022 12:58,0.522,1/11/2022 16:33,7.074,216.6,SW,173.8946,6.774395,0.019,0.026,0
1/12/2022 23:59,0.09,0.15,33.88,1/12/2022 12:38,20.55,1/12/2022 21:03,25.79,97.3,1/12/2022 6:51,65.45,1/12/2022 12:38,88.1,10.51,1/12/2022 0:13,0,1/12/2022 1:41,2.163,171.9,SSW,129.2911,6.75555,0.01,0.01,0
1/13/2022 23:59,0,0.15,27.8,1/13/2022 3:05,13.27,1/13/2022 23:39,23.06,96,1/13/2022 6:00,75.29,1/13/2022 19:50,86,16.55,1/13/2022 9:43,0,1/13/2022 0:07,6.394,214.7,NNW,87.8532,6.84336,0.012,0.016,0
1/14/2022 23:59,0,0.15,15.21,1/14/2022 15:05,-1.361,1/14/2022 23:12,11.24,88.8,1/14/2022 23:31,78,1/14/2022 3:38,83.7,19.3,1/14/2022 14:29,1.342,1/14/2022 23:58,7.395,57.15,NE,107.9711,7.033395,0.009,0.013,0
1/15/2022 23:59,0,0.15,11,1/15/2022 23:58,-14.53,1/15/2022 6:30,1.182,87.3,1/15/2022 2:31,58.59,1/15/2022 23:56,75.79,18.93,1/15/2022 21:31,0,1/14/2022 23:59,5.702,192.1,S,205.6059,7.19212,0.012,0.015,0
1/16/2022 23:59,0.01,0.16,30.89,1/16/2022 13:47,10.32,1/16/2022 0:00,19.4,91,1/16/2022 23:54,54.64,1/16/2022 0:18,76.61,24.75,1/16/2022 15:48,0,1/16/2022 7:07,7.98,267.2,W,115.9117,7.100819,0.017,0.023,0
1/17/2022 23:59,0.02,0.18,32.13,1/17/2022 14:03,10.73,1/17/2022 0:45,23.71,94.1,1/17/2022 9:32,73.55,1/17/2022 14:09,85.5,10.73,1/17/2022 10:13,0,1/17/2022 0:52,3.035,200.9,SSW,152.5673,7.174326,0.016,0.019,0
1/18/2022 23:59,0,0.18,37.8,1/18/2022 12:15,0.176,1/18/2022 23:58,21.01,93.4,1/18/2022 8:15,68.35,1/18/2022 12:16,82.7,30.86,1/18/2022 13:26,0.894,1/18/2022 23:34,11.59,228.5,SW,157.1149,7.264345,0.022,0.029,0
1/19/2022 23:59,0,0.18,0.776,1/19/2022 0:00,-14.26,1/19/2022 23:49,-6.105,80.9,1/19/2022 0:40,64.02,1/19/2022 15:07,72.54,28.92,1/19/2022 0:49,0,1/19/2022 17:50,8.61,298.9,WNW,210.1773,7.650249,0.01,0.013,0
1/20/2022 23:59,0,0.18,-0.25,1/20/2022 14:45,-22.78,1/20/2022 8:14,-12.85,81.9,1/20/2022 21:55,55.83,1/20/2022 14:47,72.93,8.27,1/20/2022 18:38,0,1/20/2022 0:14,2.367,206.6,SSW,219.0242,7.772861,0.008,0.009,0
