TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily,Soil_3in_Avg,Soil_6in_Avg,Soil_12in_Avg,Soil_48in_Avg,Soil_3in_Max,Soil_6in_Max,Soil_12in_Max,Soil_48in_Max,Soil_3in_Min,Soil_6in_Min,Soil_12in_Min,Soil_48in_Min,VW_TmpF_3in_Avg,VW_TmpF_6in_Avg,VW_TmpF_18in_Avg,VW_TmpF_24in_Avg,VW_3in_Avg,Cond_3in_Avg,VW_6in_Avg,Cond_6in_Avg,VW_18in_Avg,Cond_18in_Avg,VW_24in_Avg,Cond_24in_Avg,VW_TmpF_3in_Max,VW_TmpF_6in_Max,VW_TmpF_18in_Max,VW_TmpF_24in_Max,VW_3in_Max,Cond_3in_Max,VW_6in_Max,Cond_6in_Max,VW_18in_Max,Cond_18in_Max,VW_24in_Max,Cond_24in_Max,VW_TmpF_3in_Min,VW_TmpF_6in_Min,VW_TmpF_18in_Min,VW_TmpF_24in_Min,VW_3in_Min,Cond_3in_Min,VW_6in_Min,Cond_6in_Min,VW_18in_Min,Cond_18in_Min,VW_24in_Min,Cond_24in_Min
1/1/2023 23:59,633,12.35,0,0,26.03,12/31/2022 23:59,17.62,1/1/2023 10:22,21.11,99.7,1/1/2023 0:30,92.9,1/1/2023 13:50,96.5,16.69,1/1/2023 15:58,0.671,1/1/2023 23:56,6.053,280.1,W,147.1125,6.512938,0.009,0.011,0,,30.93,31.62,38.08,,31.05,31.73,38.19,,30.79,31.49,37.94,31.36,29.64,32.48,31.55,8.07,0.005,8.56,0.008,5.078,0.011,5.361,0.009,31.48,29.81,32.57,31.66,8.1,0.006,8.6,0.009,5.13,0.012,5.4,0.01,31.2,29.32,32.32,31.4,8.01,0.004,8.45,0.007,5.04,0.01,5.31,0.009
1/2/2023 23:59,634,12.32,0,0,23.4,1/2/2023 1:10,11.79,1/2/2023 23:39,17.93,96.4,1/2/2023 0:42,90.5,1/2/2023 23:30,93.8,7.303,1/2/2023 19:41,0,1/2/2023 0:37,2.246,222.9,WNW,91.75203,6.575961,0.005,0.006,0,,30.95,31.61,38,,31.05,31.72,38.12,,30.83,31.46,37.84,31.17,29.59,32.43,31.53,8.04,0.005,8.57,0.008,4.998,0.011,5.384,0.009,31.39,29.79,32.52,31.66,8.09,0.006,8.59,0.008,5.07,0.012,5.4,0.01,30.94,29.42,32.32,31.36,8.01,0.004,8.51,0.007,4.92,0.01,5.37,0.009
1/3/2023 23:59,635,12.27,0,0,25.48,1/3/2023 23:40,7.442,1/3/2023 6:10,17.64,94.6,1/3/2023 16:20,85.5,1/3/2023 12:29,91.7,20.05,1/3/2023 14:52,0,1/2/2023 23:59,7.888,31.78,NNE,52.17204,6.609624,0.006,0.008,0,,30.88,31.62,37.93,,31,31.77,38.04,,30.76,31.4,37.81,30.25,28.95,32.35,31.43,7.894,0.005,8.43,0.007,4.917,0.011,5.318,0.009,30.99,29.52,32.47,31.55,8.02,0.005,8.53,0.008,4.96,0.012,5.4,0.01,29.82,28.62,32.21,31.31,7.82,0.004,8.39,0.007,4.86,0.01,5.26,0.008
1/4/2023 23:59,636,12.23,0,0,27.44,1/4/2023 8:19,21.4,1/4/2023 23:09,24.06,96.4,1/4/2023 8:20,88.9,1/4/2023 22:29,93.2,20.19,1/4/2023 9:53,5.514,1/4/2023 6:39,10.87,43.2,N,93.28394,6.597132,0.009,0.011,0,,30.95,31.71,37.88,,31.06,31.82,38,,30.85,31.62,37.77,30.89,29.18,32.27,31.3,7.984,0.005,8.45,0.008,4.848,0.01,5.246,0.009,31.38,29.58,32.35,31.48,8.09,0.006,8.53,0.008,4.9,0.011,5.28,0.009,30.35,28.75,32.16,31.17,7.89,0.004,8.39,0.007,4.8,0.01,5.2,0.008
1/5/2023 23:59,637,12.17,0.01,0.01,22.5,1/5/2023 0:10,-7.978,1/5/2023 22:10,11.87,94.4,1/5/2023 6:11,79.55,1/5/2023 22:09,89.4,17.74,1/5/2023 0:11,0,1/5/2023 6:28,5.17,219.4,NNW,153.1191,6.754063,0.009,0.01,0,,30.89,31.54,37.71,,31.09,31.8,37.88,,30.56,31.16,37.47,31.55,29.76,32.24,31.34,8.12,0.005,8.57,0.008,4.766,0.01,5.269,0.009,31.72,29.98,32.35,31.49,8.16,0.006,8.6,0.009,4.83,0.011,5.28,0.009,31.29,29.52,32.15,31.21,8.07,0.004,8.51,0.007,4.69,0.009,5.21,0.008
1/6/2023 23:59,638,12.33,0,0.01,13.17,1/6/2023 16:23,-5.693,1/6/2023 22:52,2.919,90.5,1/6/2023 16:18,79.94,1/6/2023 22:25,85.5,6.409,1/6/2023 12:24,0,1/5/2023 23:59,1.149,226.2,WNW,163.4666,6.860999,0.005,0.004,0,,30.79,31.42,37.61,,31.06,31.75,37.81,,30.58,31.18,37.38,30.97,29.48,32.2,31.35,8.03,0.005,8.52,0.008,4.696,0.01,5.268,0.009,31.61,29.94,32.3,31.5,8.14,0.006,8.59,0.009,4.77,0.011,5.29,0.009,30.58,29.11,32.09,31.23,7.95,0.004,8.39,0.007,4.62,0.009,5.2,0.008
1/7/2023 23:59,639,12.32,0.02,0.03,21.83,1/7/2023 13:28,-11.93,1/7/2023 7:16,1.616,95.1,1/7/2023 13:27,77.81,1/7/2023 6:45,84.9,7.825,1/7/2023 15:28,0,1/6/2023 23:59,1.072,180.4,S,178.5294,6.908845,0.009,0.008,0,,30.72,31.43,37.54,,31.08,31.93,37.72,,30.48,31.14,37.34,30.09,28.75,32.11,31.18,7.877,0.004,8.39,0.007,4.623,0.01,5.193,0.008,30.67,29.2,32.24,31.4,7.97,0.006,8.47,0.008,4.66,0.011,5.22,0.009,29.76,28.45,31.97,30.96,7.81,0.003,8.27,0.007,4.56,0.009,5.15,0.008
1/8/2023 23:59,640,12.38,0,0.03,22.67,1/8/2023 13:44,0.006,1/8/2023 0:55,9.85,95.8,1/8/2023 21:23,82,1/8/2023 16:05,88.2,11.85,1/8/2023 6:35,0,1/8/2023 0:49,3.95,194.7,SSW,183.6105,6.9025,0.01,0.011,0,,30.74,31.54,37.52,,31,31.86,37.71,,30.53,31.32,37.29,29.74,28.36,32.01,30.97,7.832,0.004,8.3,0.007,4.516,0.009,5.102,0.008,29.94,28.52,32.15,31.2,7.85,0.005,8.35,0.008,4.61,0.011,5.17,0.009,29.5,28.24,31.9,30.82,7.79,0.003,8.26,0.006,4.39,0.009,5.03,0.007
1/9/2023 23:59,641,12.4,0,0.03,22.2,1/9/2023 23:14,0.48,1/9/2023 3:29,13.28,97.3,1/9/2023 23:58,84.1,1/9/2023 3:22,91.7,9.76,1/9/2023 12:15,0,1/8/2023 23:59,2.355,131.2,NE,125.4551,6.965075,0.005,0.004,0,,30.73,31.55,37.53,,30.91,31.75,37.66,,30.5,31.29,37.38,29.79,28.3,31.91,30.79,7.83,0.004,8.28,0.007,4.204,0.009,5.023,0.008,30.08,28.48,32.03,30.94,7.9,0.005,8.34,0.008,4.42,0.01,5.05,0.008,29.57,28.14,31.72,30.61,7.76,0.004,8.26,0.006,3.95,0.007,4.97,0.007
1/10/2023 23:59,642,12.41,0.01,0.04,29.89,1/10/2023 13:00,19.45,1/10/2023 3:15,24.31,100,1/10/2023 12:56,95.2,1/10/2023 3:27,97.8,10.58,1/10/2023 22:11,0,1/10/2023 6:27,3.022,199.4,SE,96.12598,6.937222,0.008,0.008,0,,30.91,31.68,37.51,,31.07,31.86,37.63,,30.78,31.57,37.4,30.55,28.79,31.82,30.73,7.893,0.004,8.35,0.007,3.691,0.007,4.984,0.007,31.08,29.19,31.93,30.85,7.97,0.005,8.41,0.008,3.96,0.009,5,0.008,30.06,28.33,31.67,30.58,7.82,0.004,8.21,0.006,3.46,0.005,4.97,0.007
