Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point
Clarissa,46.11155,-94.90583,1304,2023,1,1,20.309
Clarissa,46.11155,-94.90583,1304,2023,1,2,16.281
Clarissa,46.11155,-94.90583,1304,2023,1,3,14.672
Clarissa,46.11155,-94.90583,1304,2023,1,4,21.881
Clarissa,46.11155,-94.90583,1304,2023,1,5,10.157
Clarissa,46.11155,-94.90583,1304,2023,1,6,-0.216
Clarissa,46.11155,-94.90583,1304,2023,1,7,0.512
Clarissa,46.11155,-94.90583,1304,2023,1,8,11.482
Clarissa,46.11155,-94.90583,1304,2023,1,9,11.891
Clarissa,46.11155,-94.90583,1304,2023,1,10,25.567
Clarissa,46.11155,-94.90583,1304,2023,1,11,24.03
Clarissa,46.11155,-94.90583,1304,2023,1,12,9.752
Clarissa,46.11155,-94.90583,1304,2023,1,13,1.933
Clarissa,46.11155,-94.90583,1304,2023,1,14,15.059
Clarissa,46.11155,-94.90583,1304,2023,1,15,26.493
Clarissa,46.11155,-94.90583,1304,2023,1,16,30.127
Clarissa,46.11155,-94.90583,1304,2023,1,17,24.13
Clarissa,46.11155,-94.90583,1304,2023,1,18,21.233
Clarissa,46.11155,-94.90583,1304,2023,1,19,23.754
Clarissa,46.11155,-94.90583,1304,2023,1,20,16.911
Clarissa,46.11155,-94.90583,1304,2023,1,21,18.367
Clarissa,46.11155,-94.90583,1304,2023,1,22,9.981
Clarissa,46.11155,-94.90583,1304,2023,1,23,18.938
Clarissa,46.11155,-94.90583,1304,2023,1,24,15.786
Clarissa,46.11155,-94.90583,1304,2023,1,25,11.374
Clarissa,46.11155,-94.90583,1304,2023,1,26,3.415
Clarissa,46.11155,-94.90583,1304,2023,1,27,7.613
Clarissa,46.11155,-94.90583,1304,2023,1,28,-13.435
Clarissa,46.11155,-94.90583,1304,2023,1,29,-14.421
Clarissa,46.11155,-94.90583,1304,2023,1,30,-18.619
Clarissa,46.11155,-94.90583,1304,2023,1,31,-11.355
Clarissa,46.11155,-94.90583,1304,2023,2,1,-4.729
Clarissa,46.11155,-94.90583,1304,2023,2,2,-12.096
Clarissa,46.11155,-94.90583,1304,2023,2,3,-18.468
Clarissa,46.11155,-94.90583,1304,2023,2,4,4.295
Clarissa,46.11155,-94.90583,1304,2023,2,5,10.978
Clarissa,46.11155,-94.90583,1304,2023,2,6,21.626
Clarissa,46.11155,-94.90583,1304,2023,2,7,20.954
Clarissa,46.11155,-94.90583,1304,2023,2,8,24.199
Clarissa,46.11155,-94.90583,1304,2023,2,9,13.356
Clarissa,46.11155,-94.90583,1304,2023,2,10,8.624
Clarissa,46.11155,-94.90583,1304,2023,2,11,21.562
Clarissa,46.11155,-94.90583,1304,2023,2,12,24.463
Clarissa,46.11155,-94.90583,1304,2023,2,13,22.533
Clarissa,46.11155,-94.90583,1304,2023,2,14,30.683
Clarissa,46.11155,-94.90583,1304,2023,2,15,8.588
Clarissa,46.11155,-94.90583,1304,2023,2,16,-3.152
Clarissa,46.11155,-94.90583,1304,2023,2,17,4.23
Clarissa,46.11155,-94.90583,1304,2023,2,18,21.855
Clarissa,46.11155,-94.90583,1304,2023,2,19,11.71
Clarissa,46.11155,-94.90583,1304,2023,2,20,9.359
Clarissa,46.11155,-94.90583,1304,2023,2,21,-2.405
Clarissa,46.11155,-94.90583,1304,2023,2,22,-2.068
Clarissa,46.11155,-94.90583,1304,2023,2,23,-1.803
Clarissa,46.11155,-94.90583,1304,2023,2,24,-10.448
Clarissa,46.11155,-94.90583,1304,2023,2,25,-0.095
Clarissa,46.11155,-94.90583,1304,2023,2,26,1.118
Clarissa,46.11155,-94.90583,1304,2023,2,27,23.629
Clarissa,46.11155,-94.90583,1304,2023,2,28,13.499
Clarissa,46.11155,-94.90583,1304,2023,3,1,18.699
Clarissa,46.11155,-94.90583,1304,2023,3,2,7.7
Clarissa,46.11155,-94.90583,1304,2023,3,3,23.37
Clarissa,46.11155,-94.90583,1304,2023,3,4,12.991
Clarissa,46.11155,-94.90583,1304,2023,3,5,11.67
Clarissa,46.11155,-94.90583,1304,2023,3,6,22.005
Clarissa,46.11155,-94.90583,1304,2023,3,7,10.668
Clarissa,46.11155,-94.90583,1304,2023,3,8,25.463
Clarissa,46.11155,-94.90583,1304,2023,3,9,27.306
Clarissa,46.11155,-94.90583,1304,2023,3,10,19.983
Clarissa,46.11155,-94.90583,1304,2023,3,11,22.198
Clarissa,46.11155,-94.90583,1304,2023,3,12,20.475
Clarissa,46.11155,-94.90583,1304,2023,3,13,7.063
Clarissa,46.11155,-94.90583,1304,2023,3,14,7.32
Clarissa,46.11155,-94.90583,1304,2023,3,15,25.373
Clarissa,46.11155,-94.90583,1304,2023,3,16,20.289
Clarissa,46.11155,-94.90583,1304,2023,3,17,-2.82
Clarissa,46.11155,-94.90583,1304,2023,3,18,1.645
Clarissa,46.11155,-94.90583,1304,2023,3,19,7.108
Clarissa,46.11155,-94.90583,1304,2023,3,20,6.906
Clarissa,46.11155,-94.90583,1304,2023,3,21,18.607
Clarissa,46.11155,-94.90583,1304,2023,3,22,22.796
Clarissa,46.11155,-94.90583,1304,2023,3,23,10.951
Clarissa,46.11155,-94.90583,1304,2023,3,24,9.086
Clarissa,46.11155,-94.90583,1304,2023,3,25,19.247
Clarissa,46.11155,-94.90583,1304,2023,3,26,9.977
Clarissa,46.11155,-94.90583,1304,2023,3,27,9.553
Clarissa,46.11155,-94.90583,1304,2023,3,28,3.889
Clarissa,46.11155,-94.90583,1304,2023,3,29,-1.179
Clarissa,46.11155,-94.90583,1304,2023,3,30,9.328
Clarissa,46.11155,-94.90583,1304,2023,3,31,26.539
Clarissa,46.11155,-94.90583,1304,2023,4,1,8.044
Clarissa,46.11155,-94.90583,1304,2023,4,2,24.842
Clarissa,46.11155,-94.90583,1304,2023,4,3,26.894
Clarissa,46.11155,-94.90583,1304,2023,4,4,27.06
Clarissa,46.11155,-94.90583,1304,2023,4,5,20.731
Clarissa,46.11155,-94.90583,1304,2023,4,6,13.625
Clarissa,46.11155,-94.90583,1304,2023,4,7,14.888
Clarissa,46.11155,-94.90583,1304,2023,4,8,26.134
Clarissa,46.11155,-94.90583,1304,2023,4,9,31.045
Clarissa,46.11155,-94.90583,1304,2023,4,10,31.838
Clarissa,46.11155,-94.90583,1304,2023,4,11,40.387
