Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point
Hubbard,46.82059,-94.99579,1410,2022,1,1,-28.836
Hubbard,46.82059,-94.99579,1410,2022,1,2,-23.183
Hubbard,46.82059,-94.99579,1410,2022,1,3,1.104
Hubbard,46.82059,-94.99579,1410,2022,1,4,8.443
Hubbard,46.82059,-94.99579,1410,2022,1,5,-4.743
Hubbard,46.82059,-94.99579,1410,2022,1,6,-22.618
Hubbard,46.82059,-94.99579,1410,2022,1,7,-23.954
Hubbard,46.82059,-94.99579,1410,2022,1,8,3.972
Hubbard,46.82059,-94.99579,1410,2022,1,9,-19.711
Hubbard,46.82059,-94.99579,1410,2022,1,10,-21.306
Hubbard,46.82059,-94.99579,1410,2022,1,11,6.716
Hubbard,46.82059,-94.99579,1410,2022,1,12,21.934
Hubbard,46.82059,-94.99579,1410,2022,1,13,17.34
Hubbard,46.82059,-94.99579,1410,2022,1,14,4.233
Hubbard,46.82059,-94.99579,1410,2022,1,15,-8.719
Hubbard,46.82059,-94.99579,1410,2022,1,16,12.43
Hubbard,46.82059,-94.99579,1410,2022,1,17,18.955
Hubbard,46.82059,-94.99579,1410,2022,1,18,15.756
Hubbard,46.82059,-94.99579,1410,2022,1,19,-14.424
Hubbard,46.82059,-94.99579,1410,2022,1,20,-21.683
Hubbard,46.82059,-94.99579,1410,2022,1,21,0.772
Hubbard,46.82059,-94.99579,1410,2022,1,22,-6.828
Hubbard,46.82059,-94.99579,1410,2022,1,23,-13.189
Hubbard,46.82059,-94.99579,1410,2022,1,24,-10.939
Hubbard,46.82059,-94.99579,1410,2022,1,25,-20.681
Hubbard,46.82059,-94.99579,1410,2022,1,26,-0.531
Hubbard,46.82059,-94.99579,1410,2022,1,27,1.306
Hubbard,46.82059,-94.99579,1410,2022,1,28,-2.378
Hubbard,46.82059,-94.99579,1410,2022,1,29,6.692
Hubbard,46.82059,-94.99579,1410,2022,1,30,3.384
Hubbard,46.82059,-94.99579,1410,2022,1,31,9.014
Hubbard,46.82059,-94.99579,1410,2022,2,1,3.956
Hubbard,46.82059,-94.99579,1410,2022,2,2,-17.63
Hubbard,46.82059,-94.99579,1410,2022,2,3,-25.839
