Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point
Little Falls,45.93214,-94.25144,1109,2023,1,1,21.995
Little Falls,45.93214,-94.25144,1109,2023,1,2,18.553
Little Falls,45.93214,-94.25144,1109,2023,1,3,18.623
Little Falls,45.93214,-94.25144,1109,2023,1,4,23.354
Little Falls,45.93214,-94.25144,1109,2023,1,5,11.052
Little Falls,45.93214,-94.25144,1109,2023,1,6,-4.476
Little Falls,45.93214,-94.25144,1109,2023,1,7,-3.795
Little Falls,45.93214,-94.25144,1109,2023,1,8,1.949
Little Falls,45.93214,-94.25144,1109,2023,1,9,11.08
Little Falls,45.93214,-94.25144,1109,2023,1,10,26.175
Little Falls,45.93214,-94.25144,1109,2023,1,11,26.368
Little Falls,45.93214,-94.25144,1109,2023,1,12,13.033
Little Falls,45.93214,-94.25144,1109,2023,1,13,8.802
Little Falls,45.93214,-94.25144,1109,2023,1,14,15.112
Little Falls,45.93214,-94.25144,1109,2023,1,15,25.759
Little Falls,45.93214,-94.25144,1109,2023,1,16,31.018
Little Falls,45.93214,-94.25144,1109,2023,1,17,28.716
Little Falls,45.93214,-94.25144,1109,2023,1,18,23.952
Little Falls,45.93214,-94.25144,1109,2023,1,19,23.899
Little Falls,45.93214,-94.25144,1109,2023,1,20,17.359
Little Falls,45.93214,-94.25144,1109,2023,1,21,18.814
Little Falls,45.93214,-94.25144,1109,2023,1,22,14.42
Little Falls,45.93214,-94.25144,1109,2023,1,23,18.28
Little Falls,45.93214,-94.25144,1109,2023,1,24,16.178
Little Falls,45.93214,-94.25144,1109,2023,1,25,14.372
Little Falls,45.93214,-94.25144,1109,2023,1,26,1.82
Little Falls,45.93214,-94.25144,1109,2023,1,27,7.808
Little Falls,45.93214,-94.25144,1109,2023,1,28,-11.641
Little Falls,45.93214,-94.25144,1109,2023,1,29,-14.361
Little Falls,45.93214,-94.25144,1109,2023,1,30,-18.949
Little Falls,45.93214,-94.25144,1109,2023,1,31,-14.104
Little Falls,45.93214,-94.25144,1109,2023,2,1,-5.905
Little Falls,45.93214,-94.25144,1109,2023,2,2,-11.141
Little Falls,45.93214,-94.25144,1109,2023,2,3,-19.482
Little Falls,45.93214,-94.25144,1109,2023,2,4,1.137
Little Falls,45.93214,-94.25144,1109,2023,2,5,11.115
Little Falls,45.93214,-94.25144,1109,2023,2,6,20.539
Little Falls,45.93214,-94.25144,1109,2023,2,7,21.088
Little Falls,45.93214,-94.25144,1109,2023,2,8,20.991
Little Falls,45.93214,-94.25144,1109,2023,2,9,14.205
Little Falls,45.93214,-94.25144,1109,2023,2,10,6.599
Little Falls,45.93214,-94.25144,1109,2023,2,11,20.083
Little Falls,45.93214,-94.25144,1109,2023,2,12,23.101
Little Falls,45.93214,-94.25144,1109,2023,2,13,22.033
Little Falls,45.93214,-94.25144,1109,2023,2,14,31.497
Little Falls,45.93214,-94.25144,1109,2023,2,15,14.51
Little Falls,45.93214,-94.25144,1109,2023,2,16,-2.574
Little Falls,45.93214,-94.25144,1109,2023,2,17,3.026
Little Falls,45.93214,-94.25144,1109,2023,2,18,19.398
Little Falls,45.93214,-94.25144,1109,2023,2,19,13.244
Little Falls,45.93214,-94.25144,1109,2023,2,20,9.786
Little Falls,45.93214,-94.25144,1109,2023,2,21,-0.369
Little Falls,45.93214,-94.25144,1109,2023,2,22,2.222
Little Falls,45.93214,-94.25144,1109,2023,2,23,-0.03
Little Falls,45.93214,-94.25144,1109,2023,2,24,-8.253
Little Falls,45.93214,-94.25144,1109,2023,2,25,0.685
Little Falls,45.93214,-94.25144,1109,2023,2,26,0.152
Little Falls,45.93214,-94.25144,1109,2023,2,27,24.38
Little Falls,45.93214,-94.25144,1109,2023,2,28,13.831
Little Falls,45.93214,-94.25144,1109,2023,3,1,20.055
Little Falls,45.93214,-94.25144,1109,2023,3,2,7.016
Little Falls,45.93214,-94.25144,1109,2023,3,3,23.706
Little Falls,45.93214,-94.25144,1109,2023,3,4,14.74
Little Falls,45.93214,-94.25144,1109,2023,3,5,13.304
Little Falls,45.93214,-94.25144,1109,2023,3,6,24.658
Little Falls,45.93214,-94.25144,1109,2023,3,7,14.143
Little Falls,45.93214,-94.25144,1109,2023,3,8,23.711
Little Falls,45.93214,-94.25144,1109,2023,3,9,26.736
Little Falls,45.93214,-94.25144,1109,2023,3,10,20.584
Little Falls,45.93214,-94.25144,1109,2023,3,11,22.071
Little Falls,45.93214,-94.25144,1109,2023,3,12,22.41
Little Falls,45.93214,-94.25144,1109,2023,3,13,7.534
Little Falls,45.93214,-94.25144,1109,2023,3,14,7.104
Little Falls,45.93214,-94.25144,1109,2023,3,15,24.986
Little Falls,45.93214,-94.25144,1109,2023,3,16,23.265
Little Falls,45.93214,-94.25144,1109,2023,3,17,-1.733
Little Falls,45.93214,-94.25144,1109,2023,3,18,2.071
Little Falls,45.93214,-94.25144,1109,2023,3,19,5.941
Little Falls,45.93214,-94.25144,1109,2023,3,20,9.952
Little Falls,45.93214,-94.25144,1109,2023,3,21,18.732
Little Falls,45.93214,-94.25144,1109,2023,3,22,23.754
Little Falls,45.93214,-94.25144,1109,2023,3,23,13.352
Little Falls,45.93214,-94.25144,1109,2023,3,24,11.664
Little Falls,45.93214,-94.25144,1109,2023,3,25,18.716
Little Falls,45.93214,-94.25144,1109,2023,3,26,13.524
Little Falls,45.93214,-94.25144,1109,2023,3,27,11.08
Little Falls,45.93214,-94.25144,1109,2023,3,28,5.583
Little Falls,45.93214,-94.25144,1109,2023,3,29,1.095
Little Falls,45.93214,-94.25144,1109,2023,3,30,11.377
Little Falls,45.93214,-94.25144,1109,2023,3,31,28.145
Little Falls,45.93214,-94.25144,1109,2023,4,1,10.906
Little Falls,45.93214,-94.25144,1109,2023,4,2,25.912
Little Falls,45.93214,-94.25144,1109,2023,4,3,26.443
Little Falls,45.93214,-94.25144,1109,2023,4,4,27.396
Little Falls,45.93214,-94.25144,1109,2023,4,5,21.891
Little Falls,45.93214,-94.25144,1109,2023,4,6,13.769
Little Falls,45.93214,-94.25144,1109,2023,4,7,16.839
Little Falls,45.93214,-94.25144,1109,2023,4,8,26.489
Little Falls,45.93214,-94.25144,1109,2023,4,9,31.669
Little Falls,45.93214,-94.25144,1109,2023,4,10,30.673
Little Falls,45.93214,-94.25144,1109,2023,4,11,39.811
Little Falls,45.93214,-94.25144,1109,2023,4,12,43.139
Little Falls,45.93214,-94.25144,1109,2023,4,13,42.948
Little Falls,45.93214,-94.25144,1109,2023,4,14,44.637
Little Falls,45.93214,-94.25144,1109,2023,4,15,36.058
Little Falls,45.93214,-94.25144,1109,2023,4,16,27.503
Little Falls,45.93214,-94.25144,1109,2023,4,17,22.195
Little Falls,45.93214,-94.25144,1109,2023,4,18,23.358
Little Falls,45.93214,-94.25144,1109,2023,4,19,30.27
Little Falls,45.93214,-94.25144,1109,2023,4,20,32.299
Little Falls,45.93214,-94.25144,1109,2023,4,21,28.228
Little Falls,45.93214,-94.25144,1109,2023,4,22,22.073
Little Falls,45.93214,-94.25144,1109,2023,4,23,22.093
Little Falls,45.93214,-94.25144,1109,2023,4,24,22.875
Little Falls,45.93214,-94.25144,1109,2023,4,25,21.167
Little Falls,45.93214,-94.25144,1109,2023,4,26,28.267
Little Falls,45.93214,-94.25144,1109,2023,4,27,41.652
Little Falls,45.93214,-94.25144,1109,2023,4,28,40.727
Little Falls,45.93214,-94.25144,1109,2023,4,29,30.324
Little Falls,45.93214,-94.25144,1109,2023,4,30,25.898
Little Falls,45.93214,-94.25144,1109,2023,5,1,22.4
Little Falls,45.93214,-94.25144,1109,2023,5,2,16.367
Little Falls,45.93214,-94.25144,1109,2023,5,3,27.422
Little Falls,45.93214,-94.25144,1109,2023,5,4,34.082
Little Falls,45.93214,-94.25144,1109,2023,5,5,39.801
Little Falls,45.93214,-94.25144,1109,2023,5,6,46.679
Little Falls,45.93214,-94.25144,1109,2023,5,7,49.992
Little Falls,45.93214,-94.25144,1109,2023,5,8,47.038
Little Falls,45.93214,-94.25144,1109,2023,5,9,51.681
Little Falls,45.93214,-94.25144,1109,2023,5,10,55.438
Little Falls,45.93214,-94.25144,1109,2023,5,11,55.736
Little Falls,45.93214,-94.25144,1109,2023,5,12,57.613
Little Falls,45.93214,-94.25144,1109,2023,5,13,46.711
Little Falls,45.93214,-94.25144,1109,2023,5,14,32.877
Little Falls,45.93214,-94.25144,1109,2023,5,15,41.925
Little Falls,45.93214,-94.25144,1109,2023,5,16,45.875
Little Falls,45.93214,-94.25144,1109,2023,5,17,43.499
Little Falls,45.93214,-94.25144,1109,2023,5,18,45.308
Little Falls,45.93214,-94.25144,1109,2023,5,19,37.91
Little Falls,45.93214,-94.25144,1109,2023,5,20,39.176
Little Falls,45.93214,-94.25144,1109,2023,5,21,42
Little Falls,45.93214,-94.25144,1109,2023,5,22,46.527
Little Falls,45.93214,-94.25144,1109,2023,5,23,49.363
Little Falls,45.93214,-94.25144,1109,2023,5,24,44.863
Little Falls,45.93214,-94.25144,1109,2023,5,25,42.37
Little Falls,45.93214,-94.25144,1109,2023,5,26,38.19
Little Falls,45.93214,-94.25144,1109,2023,5,27,36.202
Little Falls,45.93214,-94.25144,1109,2023,5,28,40.93
Little Falls,45.93214,-94.25144,1109,2023,5,29,47.204
Little Falls,45.93214,-94.25144,1109,2023,5,30,60.385
Little Falls,45.93214,-94.25144,1109,2023,5,31,60.486
Little Falls,45.93214,-94.25144,1109,2023,6,1,61.879
Little Falls,45.93214,-94.25144,1109,2023,6,2,63.482
Little Falls,45.93214,-94.25144,1109,2023,6,3,62.957
Little Falls,45.93214,-94.25144,1109,2023,6,4,60.674
Little Falls,45.93214,-94.25144,1109,2023,6,5,62.315
Little Falls,45.93214,-94.25144,1109,2023,6,6,59.243
Little Falls,45.93214,-94.25144,1109,2023,6,7,52.108
Little Falls,45.93214,-94.25144,1109,2023,6,8,45.288
Little Falls,45.93214,-94.25144,1109,2023,6,9,52.672
Little Falls,45.93214,-94.25144,1109,2023,6,10,57.081
Little Falls,45.93214,-94.25144,1109,2023,6,11,43.373
Little Falls,45.93214,-94.25144,1109,2023,6,12,45.319
Little Falls,45.93214,-94.25144,1109,2023,6,13,49.601
Little Falls,45.93214,-94.25144,1109,2023,6,14,55.883
Little Falls,45.93214,-94.25144,1109,2023,6,15,48.474
Little Falls,45.93214,-94.25144,1109,2023,6,16,48.761
Little Falls,45.93214,-94.25144,1109,2023,6,17,54.758
Little Falls,45.93214,-94.25144,1109,2023,6,18,60.894
Little Falls,45.93214,-94.25144,1109,2023,6,19,63.02
Little Falls,45.93214,-94.25144,1109,2023,6,20,60.007
Little Falls,45.93214,-94.25144,1109,2023,6,21,57.613
Little Falls,45.93214,-94.25144,1109,2023,6,22,60.495
Little Falls,45.93214,-94.25144,1109,2023,6,23,64.406
Little Falls,45.93214,-94.25144,1109,2023,6,24,64.091
Little Falls,45.93214,-94.25144,1109,2023,6,25,61.68
Little Falls,45.93214,-94.25144,1109,2023,6,26,58.185
Little Falls,45.93214,-94.25144,1109,2023,6,27,59.375
Little Falls,45.93214,-94.25144,1109,2023,6,28,63.205
Little Falls,45.93214,-94.25144,1109,2023,6,29,59.753
Little Falls,45.93214,-94.25144,1109,2023,6,30,59.731
Little Falls,45.93214,-94.25144,1109,2023,7,1,59.71
Little Falls,45.93214,-94.25144,1109,2023,7,2,61.698
Little Falls,45.93214,-94.25144,1109,2023,7,3,64.302
Little Falls,45.93214,-94.25144,1109,2023,7,4,61.04
Little Falls,45.93214,-94.25144,1109,2023,7,5,50.851
Little Falls,45.93214,-94.25144,1109,2023,7,6,47.406
Little Falls,45.93214,-94.25144,1109,2023,7,7,51.362
Little Falls,45.93214,-94.25144,1109,2023,7,8,50.384
Little Falls,45.93214,-94.25144,1109,2023,7,9,55.997
Little Falls,45.93214,-94.25144,1109,2023,7,10,53.35
Little Falls,45.93214,-94.25144,1109,2023,7,11,47.524
Little Falls,45.93214,-94.25144,1109,2023,7,12,54.849
Little Falls,45.93214,-94.25144,1109,2023,7,13,58.848
Little Falls,45.93214,-94.25144,1109,2023,7,14,60.201
Little Falls,45.93214,-94.25144,1109,2023,7,15,52.774
