Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point
Parkers Prairie,46.16941,-95.35602,1470,2022,1,1,-27.534
Parkers Prairie,46.16941,-95.35602,1470,2022,1,2,-19.242
Parkers Prairie,46.16941,-95.35602,1470,2022,1,3,5.84
Parkers Prairie,46.16941,-95.35602,1470,2022,1,4,9.798
Parkers Prairie,46.16941,-95.35602,1470,2022,1,5,-5.077
Parkers Prairie,46.16941,-95.35602,1470,2022,1,6,-24.789
Parkers Prairie,46.16941,-95.35602,1470,2022,1,7,-21.547
Parkers Prairie,46.16941,-95.35602,1470,2022,1,8,5.064
Parkers Prairie,46.16941,-95.35602,1470,2022,1,9,-16.739
Parkers Prairie,46.16941,-95.35602,1470,2022,1,10,-16.55
Parkers Prairie,46.16941,-95.35602,1470,2022,1,11,9.834
Parkers Prairie,46.16941,-95.35602,1470,2022,1,12,22.951
Parkers Prairie,46.16941,-95.35602,1470,2022,1,13,20.487
Parkers Prairie,46.16941,-95.35602,1470,2022,1,14,6.154
Parkers Prairie,46.16941,-95.35602,1470,2022,1,15,-6.337
Parkers Prairie,46.16941,-95.35602,1470,2022,1,16,13.2
Parkers Prairie,46.16941,-95.35602,1470,2022,1,17,19.176
Parkers Prairie,46.16941,-95.35602,1470,2022,1,18,16.531
Parkers Prairie,46.16941,-95.35602,1470,2022,1,19,-13.208
Parkers Prairie,46.16941,-95.35602,1470,2022,1,20,-21.829
Parkers Prairie,46.16941,-95.35602,1470,2022,1,21,2.386
Parkers Prairie,46.16941,-95.35602,1470,2022,1,22,-4.135
Parkers Prairie,46.16941,-95.35602,1470,2022,1,23,-10.505
Parkers Prairie,46.16941,-95.35602,1470,2022,1,24,-8.58
Parkers Prairie,46.16941,-95.35602,1470,2022,1,25,-19.748
Parkers Prairie,46.16941,-95.35602,1470,2022,1,26,2.921
Parkers Prairie,46.16941,-95.35602,1470,2022,1,27,3.442
Parkers Prairie,46.16941,-95.35602,1470,2022,1,28,-6.246
Parkers Prairie,46.16941,-95.35602,1470,2022,1,29,6.298
Parkers Prairie,46.16941,-95.35602,1470,2022,1,30,3.472
Parkers Prairie,46.16941,-95.35602,1470,2022,1,31,9.243
Parkers Prairie,46.16941,-95.35602,1470,2022,2,1,3.132
Parkers Prairie,46.16941,-95.35602,1470,2022,2,2,-17.486
Parkers Prairie,46.16941,-95.35602,1470,2022,2,3,-24.154
Parkers Prairie,46.16941,-95.35602,1470,2022,2,4,-11.054
Parkers Prairie,46.16941,-95.35602,1470,2022,2,5,2.655
Parkers Prairie,46.16941,-95.35602,1470,2022,2,6,0.056
Parkers Prairie,46.16941,-95.35602,1470,2022,2,7,1.249
Parkers Prairie,46.16941,-95.35602,1470,2022,2,8,23.063
Parkers Prairie,46.16941,-95.35602,1470,2022,2,9,18.166
Parkers Prairie,46.16941,-95.35602,1470,2022,2,10,17.683
Parkers Prairie,46.16941,-95.35602,1470,2022,2,11,0.502
Parkers Prairie,46.16941,-95.35602,1470,2022,2,12,-17.964
Parkers Prairie,46.16941,-95.35602,1470,2022,2,13,-11.98
Parkers Prairie,46.16941,-95.35602,1470,2022,2,14,-5.968
Parkers Prairie,46.16941,-95.35602,1470,2022,2,15,6.681
Parkers Prairie,46.16941,-95.35602,1470,2022,2,16,5.175
Parkers Prairie,46.16941,-95.35602,1470,2022,2,17,-15.461
Parkers Prairie,46.16941,-95.35602,1470,2022,2,18,0.171
Parkers Prairie,46.16941,-95.35602,1470,2022,2,19,-1.334
Parkers Prairie,46.16941,-95.35602,1470,2022,2,20,12.359
Parkers Prairie,46.16941,-95.35602,1470,2022,2,21,0.366
Parkers Prairie,46.16941,-95.35602,1470,2022,2,22,-9.544
Parkers Prairie,46.16941,-95.35602,1470,2022,2,23,-19.771
Parkers Prairie,46.16941,-95.35602,1470,2022,2,24,-16.432
Parkers Prairie,46.16941,-95.35602,1470,2022,2,25,-11.258
Parkers Prairie,46.16941,-95.35602,1470,2022,2,26,6.448
Parkers Prairie,46.16941,-95.35602,1470,2022,2,27,12.13
Parkers Prairie,46.16941,-95.35602,1470,2022,2,28,17.987
Parkers Prairie,46.16941,-95.35602,1470,2022,3,1,19.065
Parkers Prairie,46.16941,-95.35602,1470,2022,3,2,13.913
Parkers Prairie,46.16941,-95.35602,1470,2022,3,3,-1.452
Parkers Prairie,46.16941,-95.35602,1470,2022,3,4,7.691
Parkers Prairie,46.16941,-95.35602,1470,2022,3,5,18.638
Parkers Prairie,46.16941,-95.35602,1470,2022,3,6,15.733
Parkers Prairie,46.16941,-95.35602,1470,2022,3,7,9.096
Parkers Prairie,46.16941,-95.35602,1470,2022,3,8,15.01
Parkers Prairie,46.16941,-95.35602,1470,2022,3,9,-1.784
Parkers Prairie,46.16941,-95.35602,1470,2022,3,10,-1.655
Parkers Prairie,46.16941,-95.35602,1470,2022,3,11,-8.115
Parkers Prairie,46.16941,-95.35602,1470,2022,3,12,-1.881
Parkers Prairie,46.16941,-95.35602,1470,2022,3,13,19.945
Parkers Prairie,46.16941,-95.35602,1470,2022,3,14,14.833
Parkers Prairie,46.16941,-95.35602,1470,2022,3,15,27.452
Parkers Prairie,46.16941,-95.35602,1470,2022,3,16,32.155
Parkers Prairie,46.16941,-95.35602,1470,2022,3,17,30.979
Parkers Prairie,46.16941,-95.35602,1470,2022,3,18,27.581
Parkers Prairie,46.16941,-95.35602,1470,2022,3,19,27.599
Parkers Prairie,46.16941,-95.35602,1470,2022,3,20,29.402
Parkers Prairie,46.16941,-95.35602,1470,2022,3,21,33.741
Parkers Prairie,46.16941,-95.35602,1470,2022,3,22,32.695
Parkers Prairie,46.16941,-95.35602,1470,2022,3,23,29.17
Parkers Prairie,46.16941,-95.35602,1470,2022,3,24,30.628
Parkers Prairie,46.16941,-95.35602,1470,2022,3,25,22.101
Parkers Prairie,46.16941,-95.35602,1470,2022,3,26,6.151
Parkers Prairie,46.16941,-95.35602,1470,2022,3,27,0.006
Parkers Prairie,46.16941,-95.35602,1470,2022,3,28,8.997
Parkers Prairie,46.16941,-95.35602,1470,2022,3,29,21.191
Parkers Prairie,46.16941,-95.35602,1470,2022,3,30,27.291
Parkers Prairie,46.16941,-95.35602,1470,2022,3,31,20.766
Parkers Prairie,46.16941,-95.35602,1470,2022,4,1,24.083
Parkers Prairie,46.16941,-95.35602,1470,2022,4,2,28.058
Parkers Prairie,46.16941,-95.35602,1470,2022,4,3,26.55
Parkers Prairie,46.16941,-95.35602,1470,2022,4,4,25.372
Parkers Prairie,46.16941,-95.35602,1470,2022,4,5,34.285
Parkers Prairie,46.16941,-95.35602,1470,2022,4,6,31.429
Parkers Prairie,46.16941,-95.35602,1470,2022,4,7,27.245
Parkers Prairie,46.16941,-95.35602,1470,2022,4,8,21.711
Parkers Prairie,46.16941,-95.35602,1470,2022,4,9,26.848
Parkers Prairie,46.16941,-95.35602,1470,2022,4,10,29.445
Parkers Prairie,46.16941,-95.35602,1470,2022,4,11,33.791
Parkers Prairie,46.16941,-95.35602,1470,2022,4,12,34.471
Parkers Prairie,46.16941,-95.35602,1470,2022,4,13,27.837
Parkers Prairie,46.16941,-95.35602,1470,2022,4,14,21.457
Parkers Prairie,46.16941,-95.35602,1470,2022,4,15,12.014
Parkers Prairie,46.16941,-95.35602,1470,2022,4,16,15.282
Parkers Prairie,46.16941,-95.35602,1470,2022,4,17,23.12
Parkers Prairie,46.16941,-95.35602,1470,2022,4,18,21.755
Parkers Prairie,46.16941,-95.35602,1470,2022,4,19,21.572
Parkers Prairie,46.16941,-95.35602,1470,2022,4,20,31.19
Parkers Prairie,46.16941,-95.35602,1470,2022,4,21,30.619
Parkers Prairie,46.16941,-95.35602,1470,2022,4,22,39.119
Parkers Prairie,46.16941,-95.35602,1470,2022,4,23,50.366
Parkers Prairie,46.16941,-95.35602,1470,2022,4,24,32.088
Parkers Prairie,46.16941,-95.35602,1470,2022,4,25,21.472
Parkers Prairie,46.16941,-95.35602,1470,2022,4,26,19.856
Parkers Prairie,46.16941,-95.35602,1470,2022,4,27,20.855
Parkers Prairie,46.16941,-95.35602,1470,2022,4,28,29.228
Parkers Prairie,46.16941,-95.35602,1470,2022,4,29,43.151
Parkers Prairie,46.16941,-95.35602,1470,2022,4,30,43.855
Parkers Prairie,46.16941,-95.35602,1470,2022,5,1,37.721
Parkers Prairie,46.16941,-95.35602,1470,2022,5,2,33.024
Parkers Prairie,46.16941,-95.35602,1470,2022,5,3,30.434
Parkers Prairie,46.16941,-95.35602,1470,2022,5,4,32.4
Parkers Prairie,46.16941,-95.35602,1470,2022,5,5,38.071
