Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point,
Pine Point,47.01272,-95.37151,1564,2023,1,1,18.098,
Pine Point,47.01272,-95.37151,1564,2023,1,2,10.873,
Pine Point,47.01272,-95.37151,1564,2023,1,3,6.529,
Pine Point,47.01272,-95.37151,1564,2023,1,4,15.203,
Pine Point,47.01272,-95.37151,1564,2023,1,5,9.773,
Pine Point,47.01272,-95.37151,1564,2023,1,6,1.318,
Pine Point,47.01272,-95.37151,1564,2023,1,7,2.707,
Pine Point,47.01272,-95.37151,1564,2023,1,8,11.985,
Pine Point,47.01272,-95.37151,1564,2023,1,9,11.617,
Pine Point,47.01272,-95.37151,1564,2023,1,10,25.265,
Pine Point,47.01272,-95.37151,1564,2023,1,11,22.729,
Pine Point,47.01272,-95.37151,1564,2023,1,12,6.579,
Pine Point,47.01272,-95.37151,1564,2023,1,13,-4.323,
Pine Point,47.01272,-95.37151,1564,2023,1,14,13.494,
Pine Point,47.01272,-95.37151,1564,2023,1,15,24.658,
Pine Point,47.01272,-95.37151,1564,2023,1,16,27.679,
Pine Point,47.01272,-95.37151,1564,2023,1,17,22.633,
Pine Point,47.01272,-95.37151,1564,2023,1,18,20.383,
Pine Point,47.01272,-95.37151,1564,2023,1,19,21.33,
Pine Point,47.01272,-95.37151,1564,2023,1,20,16.49,
Pine Point,47.01272,-95.37151,1564,2023,1,21,14.842,
Pine Point,47.01272,-95.37151,1564,2023,1,22,3.061,
Pine Point,47.01272,-95.37151,1564,2023,1,23,18.713,
Pine Point,47.01272,-95.37151,1564,2023,1,24,15.74,
Pine Point,47.01272,-95.37151,1564,2023,1,25,5.633,
Pine Point,47.01272,-95.37151,1564,2023,1,26,4.515,
Pine Point,47.01272,-95.37151,1564,2023,1,27,4.243,
Pine Point,47.01272,-95.37151,1564,2023,1,28,-18.881,
Pine Point,47.01272,-95.37151,1564,2023,1,29,-19.546,
Pine Point,47.01272,-95.37151,1564,2023,1,30,-20.682,
Pine Point,47.01272,-95.37151,1564,2023,1,31,-13.906,
Pine Point,47.01272,-95.37151,1564,2023,2,1,-5.181,
Pine Point,47.01272,-95.37151,1564,2023,2,2,-16.748,
Pine Point,47.01272,-95.37151,1564,2023,2,3,-19.711,
Pine Point,47.01272,-95.37151,1564,2023,2,4,7.385,
Pine Point,47.01272,-95.37151,1564,2023,2,5,8.495,
Pine Point,47.01272,-95.37151,1564,2023,2,6,21.375,
Pine Point,47.01272,-95.37151,1564,2023,2,7,19.895,
Pine Point,47.01272,-95.37151,1564,2023,2,8,23.839,
Pine Point,47.01272,-95.37151,1564,2023,2,9,11.845,
Pine Point,47.01272,-95.37151,1564,2023,2,10,6.677,
Pine Point,47.01272,-95.37151,1564,2023,2,11,21.487,
Pine Point,47.01272,-95.37151,1564,2023,2,12,22.885,
Pine Point,47.01272,-95.37151,1564,2023,2,13,20.454,
Pine Point,47.01272,-95.37151,1564,2023,2,14,25.888,
Pine Point,47.01272,-95.37151,1564,2023,2,15,3.682,
Pine Point,47.01272,-95.37151,1564,2023,2,16,-7.931,
Pine Point,47.01272,-95.37151,1564,2023,2,17,2.547,
Pine Point,47.01272,-95.37151,1564,2023,2,18,23.951,
Pine Point,47.01272,-95.37151,1564,2023,2,19,8.067,
Pine Point,47.01272,-95.37151,1564,2023,2,20,7.391,
Pine Point,47.01272,-95.37151,1564,2023,2,21,-8.082,
Pine Point,47.01272,-95.37151,1564,2023,2,22,-9.862,
Pine Point,47.01272,-95.37151,1564,2023,2,23,-7.953,
Pine Point,47.01272,-95.37151,1564,2023,2,24,-14.39,
Pine Point,47.01272,-95.37151,1564,2023,2,25,-2.581,
Pine Point,47.01272,-95.37151,1564,2023,2,26,0.296,
Pine Point,47.01272,-95.37151,1564,2023,2,27,21.809,
Pine Point,47.01272,-95.37151,1564,2023,2,28,12.352,
Pine Point,47.01272,-95.37151,1564,2023,3,1,10.037,
Pine Point,47.01272,-95.37151,1564,2023,3,2,2.789,
Pine Point,47.01272,-95.37151,1564,2023,3,3,20.632,
Pine Point,47.01272,-95.37151,1564,2023,3,4,12.656,
Pine Point,47.01272,-95.37151,1564,2023,3,5,10.111,
Pine Point,47.01272,-95.37151,1564,2023,3,6,11.696,
Pine Point,47.01272,-95.37151,1564,2023,3,7,6.622,
Pine Point,47.01272,-95.37151,1564,2023,3,8,26.377,
Pine Point,47.01272,-95.37151,1564,2023,3,9,27.149,
Pine Point,47.01272,-95.37151,1564,2023,3,10,19.15,
Pine Point,47.01272,-95.37151,1564,2023,3,11,19.324,
Pine Point,47.01272,-95.37151,1564,2023,3,12,19.232,
Pine Point,47.01272,-95.37151,1564,2023,3,13,5.277,
Pine Point,47.01272,-95.37151,1564,2023,3,14,6.433,
Pine Point,47.01272,-95.37151,1564,2023,3,15,22.304,
Pine Point,47.01272,-95.37151,1564,2023,3,16,16.166,
Pine Point,47.01272,-95.37151,1564,2023,3,17,-2.603,
Pine Point,47.01272,-95.37151,1564,2023,3,18,0.674,
Pine Point,47.01272,-95.37151,1564,2023,3,19,5.841,
Pine Point,47.01272,-95.37151,1564,2023,3,20,6.022,
