Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point
Staples,46.38774,-94.80874,1285,2022,1,1,-28.55
Staples,46.38774,-94.80874,1285,2022,1,2,-21.13
Staples,46.38774,-94.80874,1285,2022,1,3,2.033
Staples,46.38774,-94.80874,1285,2022,1,4,10.608
Staples,46.38774,-94.80874,1285,2022,1,5,-0.797
Staples,46.38774,-94.80874,1285,2022,1,6,-21.656
Staples,46.38774,-94.80874,1285,2022,1,7,-21.153
Staples,46.38774,-94.80874,1285,2022,1,8,6.666
Staples,46.38774,-94.80874,1285,2022,1,9,-17.711
Staples,46.38774,-94.80874,1285,2022,1,10,-18.809
Staples,46.38774,-94.80874,1285,2022,1,11,7.694
Staples,46.38774,-94.80874,1285,2022,1,12,23.13
Staples,46.38774,-94.80874,1285,2022,1,13,19.544
Staples,46.38774,-94.80874,1285,2022,1,14,7.914
Staples,46.38774,-94.80874,1285,2022,1,15,-4.674
Staples,46.38774,-94.80874,1285,2022,1,16,12.224
Staples,46.38774,-94.80874,1285,2022,1,17,19.373
Staples,46.38774,-94.80874,1285,2022,1,18,17.044
Staples,46.38774,-94.80874,1285,2022,1,19,-13.732
Staples,46.38774,-94.80874,1285,2022,1,20,-21.029
Staples,46.38774,-94.80874,1285,2022,1,21,0.776
Staples,46.38774,-94.80874,1285,2022,1,22,-4.56
Staples,46.38774,-94.80874,1285,2022,1,23,-11.538
Staples,46.38774,-94.80874,1285,2022,1,24,-9.487
Staples,46.38774,-94.80874,1285,2022,1,25,-21.413
Staples,46.38774,-94.80874,1285,2022,1,26,0.297
Staples,46.38774,-94.80874,1285,2022,1,27,2.619
Staples,46.38774,-94.80874,1285,2022,1,28,-7.523
Staples,46.38774,-94.80874,1285,2022,1,29,5.547
Staples,46.38774,-94.80874,1285,2022,1,30,5.032
Staples,46.38774,-94.80874,1285,2022,1,31,10.108
Staples,46.38774,-94.80874,1285,2022,2,1,4.374
Staples,46.38774,-94.80874,1285,2022,2,2,-17.446
Staples,46.38774,-94.80874,1285,2022,2,3,-23.868
Staples,46.38774,-94.80874,1285,2022,2,4,-10.45
Staples,46.38774,-94.80874,1285,2022,2,5,0.99
Staples,46.38774,-94.80874,1285,2022,2,6,0.32
Staples,46.38774,-94.80874,1285,2022,2,7,-1.214
Staples,46.38774,-94.80874,1285,2022,2,8,21.46
Staples,46.38774,-94.80874,1285,2022,2,9,19.015
Staples,46.38774,-94.80874,1285,2022,2,10,17.007
Staples,46.38774,-94.80874,1285,2022,2,11,2.96
Staples,46.38774,-94.80874,1285,2022,2,12,-18.368
Staples,46.38774,-94.80874,1285,2022,2,13,-13.198
Staples,46.38774,-94.80874,1285,2022,2,14,-5.305
Staples,46.38774,-94.80874,1285,2022,2,15,6.146
Staples,46.38774,-94.80874,1285,2022,2,16,5.119
Staples,46.38774,-94.80874,1285,2022,2,17,-17.363
Staples,46.38774,-94.80874,1285,2022,2,18,-3.1
Staples,46.38774,-94.80874,1285,2022,2,19,-3.732
Staples,46.38774,-94.80874,1285,2022,2,20,12.18
Staples,46.38774,-94.80874,1285,2022,2,21,0.878
Staples,46.38774,-94.80874,1285,2022,2,22,-6.519
Staples,46.38774,-94.80874,1285,2022,2,23,-17.012
Staples,46.38774,-94.80874,1285,2022,2,24,-17.363
Staples,46.38774,-94.80874,1285,2022,2,25,-11.663
Staples,46.38774,-94.80874,1285,2022,2,26,5.46
Staples,46.38774,-94.80874,1285,2022,2,27,10.619
Staples,46.38774,-94.80874,1285,2022,2,28,18.29
Staples,46.38774,-94.80874,1285,2022,3,1,17.822
Staples,46.38774,-94.80874,1285,2022,3,2,10.375
Staples,46.38774,-94.80874,1285,2022,3,3,-4.494
Staples,46.38774,-94.80874,1285,2022,3,4,3.499
Staples,46.38774,-94.80874,1285,2022,3,5,20.098
Staples,46.38774,-94.80874,1285,2022,3,6,16.385
Staples,46.38774,-94.80874,1285,2022,3,7,7.516
Staples,46.38774,-94.80874,1285,2022,3,8,15.557
Staples,46.38774,-94.80874,1285,2022,3,9,-4.063
Staples,46.38774,-94.80874,1285,2022,3,10,-2.533
Staples,46.38774,-94.80874,1285,2022,3,11,-8.373
Staples,46.38774,-94.80874,1285,2022,3,12,-4.606
Staples,46.38774,-94.80874,1285,2022,3,13,18.495
Staples,46.38774,-94.80874,1285,2022,3,14,12.561
Staples,46.38774,-94.80874,1285,2022,3,15,26.071
Staples,46.38774,-94.80874,1285,2022,3,16,32.069
Staples,46.38774,-94.80874,1285,2022,3,17,30.4
Staples,46.38774,-94.80874,1285,2022,3,18,26.599
Staples,46.38774,-94.80874,1285,2022,3,19,25.204
Staples,46.38774,-94.80874,1285,2022,3,20,26.187
Staples,46.38774,-94.80874,1285,2022,3,21,32.872
Staples,46.38774,-94.80874,1285,2022,3,22,32.4
Staples,46.38774,-94.80874,1285,2022,3,23,29.343
Staples,46.38774,-94.80874,1285,2022,3,24,30.23
Staples,46.38774,-94.80874,1285,2022,3,25,21.212
Staples,46.38774,-94.80874,1285,2022,3,26,2.938
Staples,46.38774,-94.80874,1285,2022,3,27,-0.84
Staples,46.38774,-94.80874,1285,2022,3,28,5.791
Staples,46.38774,-94.80874,1285,2022,3,29,18.841
Staples,46.38774,-94.80874,1285,2022,3,30,27.626
Staples,46.38774,-94.80874,1285,2022,3,31,20.019
Staples,46.38774,-94.80874,1285,2022,4,1,24.435
Staples,46.38774,-94.80874,1285,2022,4,2,27.526
Staples,46.38774,-94.80874,1285,2022,4,3,26.627
Staples,46.38774,-94.80874,1285,2022,4,4,28.071
Staples,46.38774,-94.80874,1285,2022,4,5,33.239
Staples,46.38774,-94.80874,1285,2022,4,6,32.044
Staples,46.38774,-94.80874,1285,2022,4,7,27.332
Staples,46.38774,-94.80874,1285,2022,4,8,15.238
Staples,46.38774,-94.80874,1285,2022,4,9,22.62
Staples,46.38774,-94.80874,1285,2022,4,10,27.061
Staples,46.38774,-94.80874,1285,2022,4,11,33.504
Staples,46.38774,-94.80874,1285,2022,4,12,33.592
Staples,46.38774,-94.80874,1285,2022,4,13,29.089
Staples,46.38774,-94.80874,1285,2022,4,14,21.622
Staples,46.38774,-94.80874,1285,2022,4,15,11.842
Staples,46.38774,-94.80874,1285,2022,4,16,14.172
