TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-9.58,1/1/2022 15:10,-29.11,1/1/2022 8:55,-19.4,75.7,1/1/2022 21:18,71.54,1/1/2022 23:09,73.79,10.66,1/1/2022 0:07,0,1/1/2022 1:22,2.675,298.7,NW,166.7924,6.605215,0.004,0.005,0
1/2/2022 23:59,0,0,-0.504,1/2/2022 14:14,-32.64,1/2/2022 7:02,-14.57,82.3,1/2/2022 23:55,70.24,1/2/2022 6:53,75.02,11.85,1/2/2022 12:22,0,1/1/2022 23:59,3.044,183.8,SSE,166.3007,6.611428,0.005,0.007,0
1/3/2022 23:59,0.04,0.04,23.61,1/3/2022 13:41,-6.377,1/3/2022 1:46,10.28,91.5,1/3/2022 19:55,73.65,1/3/2022 14:44,82.9,9.84,1/3/2022 23:53,0,1/3/2022 1:07,2.331,165.7,NE,114.3434,6.498551,0.008,0.009,0
1/4/2022 23:59,0,0.04,20.08,1/4/2022 19:22,7.708,1/4/2022 4:28,13.62,92.8,1/4/2022 20:57,80.3,1/4/2022 14:49,85.8,15.73,1/4/2022 20:19,0,1/4/2022 4:32,6.384,116.3,NE,103.3455,6.559558,0.009,0.012,0
1/5/2022 23:59,0,0.04,13.84,1/5/2022 0:03,-10.8,1/5/2022 23:58,3.482,89.3,1/5/2022 0:00,71.03,1/5/2022 23:56,79.35,23.11,1/5/2022 7:16,3.279,1/5/2022 19:00,10.76,302.5,NNW,107.5371,6.703686,0.009,0.012,0
1/6/2022 23:59,0,0.04,-9.99,1/6/2022 14:50,-23.98,1/6/2022 23:42,-15.88,77.01,1/6/2022 21:28,64.14,1/6/2022 15:19,71.47,16.92,1/6/2022 12:10,0,1/6/2022 20:37,6.591,306.3,NW,185.7409,6.848087,0.006,0.008,0
1/7/2022 23:59,0,0.04,9.34,1/7/2022 23:34,-35.42,1/7/2022 8:12,-15.05,78.52,1/7/2022 19:48,62.67,1/7/2022 13:59,71.56,28.47,1/7/2022 22:42,0,1/6/2022 23:59,6.643,174.1,SE,145.2221,6.902846,0.006,0.007,0
1/8/2022 23:59,0,0.04,24.59,1/8/2022 14:20,-4.743,1/8/2022 23:53,12.23,81.4,1/8/2022 17:26,68.48,1/8/2022 23:13,74.97,26.38,1/8/2022 20:08,0.671,1/8/2022 14:05,11.6,228.3,SW,118.5039,6.770545,0.017,0.023,0
1/9/2022 23:59,0,0.04,-3.369,1/9/2022 14:37,-16.45,1/9/2022 23:13,-8.55,80.1,1/9/2022 23:39,52.8,1/9/2022 15:47,66.65,21.76,1/9/2022 0:33,0,1/9/2022 20:23,7.802,288.6,WNW,190.7236,7.023002,0.009,0.013,0
1/10/2022 23:59,0,0.04,2.277,1/10/2022 14:15,-18.57,1/10/2022 8:13,-8.17,82.2,1/10/2022 0:41,44.33,1/10/2022 14:17,66.77,11.11,1/10/2022 22:41,0,1/9/2022 23:59,3.541,242,WSW,165.9495,7.094522,0.008,0.009,0
1/11/2022 23:59,0,0.04,31.72,1/11/2022 14:57,-1.792,1/11/2022 0:01,17.27,86.5,1/11/2022 23:51,60.9,1/11/2022 3:27,72.43,19.83,1/11/2022 14:55,0,1/11/2022 8:28,7.596,222.9,SW,160.9836,6.981872,0.021,0.028,0
1/12/2022 23:59,0.05,0.09,33.27,1/12/2022 13:13,19.35,1/12/2022 22:16,28.01,97.2,1/12/2022 22:24,69.68,1/12/2022 13:15,84.8,10.81,1/12/2022 0:34,0,1/12/2022 1:37,1.872,179,NW,135.0946,6.950915,0.009,0.009,0
1/13/2022 23:59,0,0.09,30.65,1/13/2022 5:35,15.91,1/13/2022 23:56,25.49,91.7,1/13/2022 1:18,72.32,1/13/2022 22:57,82.8,16.92,1/13/2022 10:24,0,1/13/2022 0:18,6.481,192.6,NNW,79.58412,7.037721,0.013,0.018,0
1/14/2022 23:59,0,0.09,16.39,1/14/2022 15:15,4.436,1/14/2022 21:00,12.92,88.1,1/14/2022 23:10,65.24,1/14/2022 15:06,80.8,18.04,1/14/2022 12:22,0,1/14/2022 18:56,6.198,76.25,ENE,100.6886,7.248076,0.01,0.015,0
1/15/2022 23:59,0,0.09,11.39,1/15/2022 0:06,-14.48,1/15/2022 8:27,2.547,89,1/15/2022 3:02,52.7,1/15/2022 23:54,74.56,18.41,1/15/2022 23:56,0,1/15/2022 0:13,4.759,200.3,SSW,206.0584,7.410655,0.013,0.016,0
1/16/2022 23:59,0.01,0.1,31.4,1/16/2022 14:48,10.09,1/16/2022 0:03,19.85,82.5,1/16/2022 12:15,51.92,1/16/2022 0:51,74.08,24.22,1/16/2022 16:51,0,1/16/2022 8:07,8.21,264.3,W,127.3891,7.314011,0.02,0.026,0
1/17/2022 23:59,0.06,0.16,33.37,1/17/2022 14:31,9.84,1/17/2022 1:29,24.32,92.6,1/17/2022 1:51,70.33,1/17/2022 14:01,83.4,9.17,1/17/2022 10:55,0,1/17/2022 1:07,2.646,211,SW,145.7351,7.38278,0.016,0.019,0
1/18/2022 23:59,0.02,0.18,37.97,1/18/2022 12:53,2.394,1/18/2022 23:58,22.38,93.4,1/18/2022 7:48,68.99,1/18/2022 12:37,82.2,32.2,1/18/2022 15:10,1.043,1/18/2022 1:46,12,228.8,SW,165.1759,7.452605,0.025,0.033,0
1/19/2022 23:59,0,0.18,2.692,1/18/2022 23:59,-13.34,1/19/2022 23:55,-5.416,79.8,1/19/2022 1:45,62.75,1/19/2022 13:53,70.4,26.16,1/19/2022 0:57,1.863,1/19/2022 23:39,11.14,308.1,NW,215.4886,7.866002,0.011,0.015,0
1/20/2022 23:59,0,0.18,-1.011,1/20/2022 14:55,-24.79,1/20/2022 8:06,-12.59,82,1/20/2022 22:55,55.86,1/20/2022 14:59,72.31,9.32,1/20/2022 16:16,0,1/20/2022 2:16,2.537,217.4,SSW,220.4726,7.991498,0.008,0.01,0
1/21/2022 23:59,0,0.18,27.2,1/21/2022 20:52,-11.7,1/21/2022 0:20,8.16,92.1,1/21/2022 19:59,55.52,1/21/2022 12:13,76.23,28.62,1/21/2022 22:02,2.236,1/21/2022 1:34,11.01,197.5,SSW,126.8014,7.993808,0.014,0.021,0
1/22/2022 23:59,0,0.18,18.6,1/22/2022 0:04,-3.186,1/22/2022 8:27,3.579,85.3,1/22/2022 23:15,61.21,1/22/2022 13:33,74.21,25.34,1/22/2022 3:06,0,1/22/2022 12:54,6.335,237.1,NW,151.6803,8.16623,0.011,0.014,0
1/23/2022 23:59,0,0.18,4.348,1/23/2022 22:58,-26.27,1/23/2022 7:20,-5.852,88.5,1/23/2022 23:47,64.13,1/23/2022 13:26,77.96,15.13,1/23/2022 17:49,0,1/23/2022 3:16,4.344,207,S,131.5712,8.300637,0.007,0.009,0
1/24/2022 23:59,0,0.18,4,1/24/2022 0:13,-14.24,1/24/2022 23:46,-2.372,88.4,1/24/2022 0:02,62.29,1/24/2022 15:44,76.17,21.17,1/24/2022 15:58,0,1/24/2022 1:25,7.073,256,NNW,230.442,8.402324,0.012,0.015,0
1/25/2022 23:59,0,0.18,-5.987,1/25/2022 15:56,-21.36,1/25/2022 23:33,-12.95,80.7,1/25/2022 3:53,61.99,1/25/2022 16:12,73.69,16.32,1/25/2022 11:26,0,1/25/2022 2:58,5.032,291.2,WNW,233.0268,8.581431,0.008,0.01,0
