TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,1134,12.26,0,0,29.88,12/31/2022 23:59,17.35,1/1/2023 9:54,22,96.2,1/1/2023 6:15,84.8,1/1/2023 12:24,93.3,17.74,1/1/2023 15:30,0,1/1/2023 6:44,5.569,280,W,121.9273,6.377816,0.009,0.011,0
1/2/2023 23:59,1135,12.23,0,0,21.7,1/2/2023 3:24,8.42,1/2/2023 23:48,18.05,95.4,1/2/2023 2:09,87.4,1/2/2023 22:59,92.8,7.528,1/2/2023 12:00,0,1/2/2023 2:37,2.117,236.9,W,95.24496,6.438034,0.006,0.006,0
1/3/2023 23:59,1136,12.18,0,0,23.84,1/3/2023 22:26,4.861,1/3/2023 0:51,16.75,94.3,1/3/2023 20:51,85.1,1/3/2023 0:49,91.5,15.06,1/3/2023 16:15,0,1/3/2023 0:02,4.394,83.3,NNE,38.31692,6.479369,0.005,0.006,0
1/4/2023 23:59,1137,12.12,0,0,25.89,1/4/2023 6:24,20.96,1/4/2023 23:45,23.5,95,1/4/2023 16:27,91.5,1/4/2023 1:14,93.6,14.31,1/4/2023 9:33,1.416,1/4/2023 18:35,6.479,89.2,NNE,77.54859,6.461374,0.008,0.01,0
1/5/2023 23:59,1138,12.05,0,0,21.28,1/5/2023 0:08,-5.259,1/5/2023 22:49,12.59,93.6,1/5/2023 6:27,81.8,1/5/2023 23:09,90,14.01,1/5/2023 0:29,0,1/5/2023 13:49,3.579,254.6,NNW,135.6001,6.595726,0.008,0.009,0
1/6/2023 23:59,1139,12.17,0,0,16.62,1/6/2023 14:59,-6.409,1/6/2023 6:50,3.236,92,1/6/2023 14:56,80.9,1/6/2023 6:46,85.5,5.814,1/6/2023 15:18,0,1/5/2023 23:59,1.266,234.4,NW,177.1339,6.703157,0.007,0.006,0
1/7/2023 23:59,1140,12.24,0.01,0.01,22.84,1/7/2023 15:28,-11.89,1/7/2023 8:10,3.95,91.3,1/7/2023 13:56,78.58,1/7/2023 5:35,85.5,8.12,1/7/2023 15:15,0,1/6/2023 23:59,1.635,211.1,S,179.5539,6.741212,0.009,0.009,0
1/8/2023 23:59,1141,12.32,0,0.01,28.35,1/8/2023 14:41,3.666,1/8/2023 23:36,14.38,92.8,1/8/2023 19:07,85.3,1/8/2023 23:36,88.3,9.24,1/8/2023 5:18,0,1/8/2023 1:05,2.301,205.5,SSW,182.3294,6.715192,0.011,0.011,0
1/9/2023 23:59,1142,12.32,0,0.01,24.07,1/9/2023 23:57,-0.347,1/9/2023 2:22,14.07,95.8,1/9/2023 23:54,82,1/9/2023 1:41,90.9,12.37,1/9/2023 13:31,0,1/8/2023 23:59,2.209,146.3,E,103.2292,6.813471,0.003,0.002,0
1/10/2023 23:59,1143,12.33,0,0.01,29.17,1/10/2023 16:37,23.83,1/10/2023 0:12,26.68,97.2,1/10/2023 10:38,92.9,1/10/2023 23:38,95.6,11.78,1/10/2023 23:22,0,1/10/2023 0:43,2.672,159.9,ESE,75.05797,6.775853,0.007,0.008,0
1/11/2023 23:59,1144,12.24,0,0.01,30.31,1/11/2023 16:07,18.83,1/11/2023 23:58,26.35,95.7,1/11/2023 5:52,85.2,1/11/2023 14:15,91,17.44,1/11/2023 19:07,0,1/11/2023 2:09,5.147,250.8,WNW,64.50338,6.854582,0.01,0.013,0
1/12/2023 23:59,1145,12.18,0,0.01,19.15,1/11/2023 23:59,3.585,1/12/2023 23:58,13.83,90.2,1/12/2023 22:59,74.7,1/12/2023 14:15,84,19.75,1/12/2023 1:54,0,1/12/2023 17:49,7.256,299.5,NW,137.3133,7.086563,0.012,0.016,0
1/13/2023 23:59,1146,12.23,0,0.01,12.9,1/13/2023 15:55,-0.351,1/13/2023 1:48,5.588,90.4,1/13/2023 2:01,75.92,1/13/2023 16:19,84.9,14.91,1/13/2023 21:55,0,1/12/2023 23:59,4.344,170.8,SSE,189.2806,7.206589,0.01,0.011,0
1/14/2023 23:59,1147,12.27,0,0.01,30.62,1/14/2023 21:43,9.49,1/13/2023 23:59,19.16,89,1/14/2023 8:12,79.49,1/14/2023 1:20,84,21.32,1/14/2023 21:17,1.342,1/14/2023 3:41,9.41,149.8,SSE,127.7412,7.195618,0.013,0.018,0
1/15/2023 23:59,1148,12.32,0,0.01,34.75,1/15/2023 15:10,27.52,1/15/2023 19:29,30.54,92.3,1/15/2023 23:58,77.58,1/15/2023 15:52,85,19.01,1/15/2023 0:04,0,1/15/2023 21:32,6.659,154.2,SSE,125.0151,7.15427,0.016,0.022,0
1/16/2023 23:59,1149,12.3,0.12,0.13,33.43,1/16/2023 15:14,28.11,1/15/2023 23:59,31.6,97.4,1/16/2023 8:46,90.9,1/16/2023 6:22,94.2,12.3,1/16/2023 23:24,0,1/16/2023 4:08,4.841,103,NE,48.83068,7.199738,0.006,0.007,0
1/17/2023 23:59,1150,12.25,0,0.13,33.1,1/17/2023 0:06,20.22,1/17/2023 21:24,27,94.2,1/17/2023 1:12,82.8,1/17/2023 14:52,89,15.95,1/17/2023 13:07,2.161,1/17/2023 23:54,7.315,306.9,NW,114.2439,7.366849,0.015,0.019,0
1/18/2023 23:59,1151,12.2,0,0.13,28.43,1/18/2023 14:42,19.48,1/18/2023 1:24,24.49,96.4,1/18/2023 23:23,82.2,1/18/2023 15:04,87.4,12.6,1/18/2023 18:03,0,1/18/2023 4:52,4.331,145.6,NNE,90.31707,7.480196,0.011,0.014,0
1/19/2023 23:59,1152,12.18,0,0.13,27.28,1/19/2023 3:10,23.41,1/19/2023 23:58,26.1,95.9,1/18/2023 23:59,86.1,1/19/2023 18:40,90.8,17.07,1/19/2023 13:53,1.267,1/19/2023 0:04,6.372,189.2,N,95.62884,7.571437,0.012,0.015,0
1/20/2023 23:59,1153,12.12,0,0.13,23.75,1/20/2023 0:00,15.22,1/20/2023 5:36,19.39,95.7,1/20/2023 22:03,83.7,1/20/2023 5:17,90.1,13.79,1/20/2023 4:19,0.224,1/20/2023 16:49,6.703,288.8,WNW,100.7858,7.760083,0.01,0.013,0
1/21/2023 23:59,1154,12.09,0,0.13,22.6,1/21/2023 14:22,16.04,1/21/2023 23:58,19.92,95.5,1/21/2023 4:59,89.2,1/21/2023 14:40,93.7,12.82,1/21/2023 4:50,0.447,1/21/2023 8:49,4.84,240.1,WSW,130.8777,7.838858,0.01,0.011,0
1/22/2023 23:59,1155,12.07,0,0.13,16.94,1/22/2023 14:26,7.516,1/22/2023 18:40,12.22,93.9,1/22/2023 0:11,87.8,1/22/2023 17:52,90.7,8.79,1/22/2023 20:49,0,1/22/2023 0:13,2.248,201.9,SSW,160.2536,8.030352,0.009,0.009,0
1/23/2023 23:59,1156,12.29,0.01,0.14,33.1,1/23/2023 16:15,8.17,1/23/2023 3:16,22.33,95.5,1/23/2023 9:45,71.92,1/23/2023 23:58,87,18.48,1/23/2023 16:16,0,1/23/2023 6:42,6.766,261.4,W,114.8857,7.973052,0.014,0.018,0
1/24/2023 23:59,1157,12.17,0,0.14,26.46,1/24/2023 16:24,3.173,1/24/2023 7:17,19.4,92.5,1/24/2023 5:48,71.96,1/24/2023 0:05,85.9,13.42,1/24/2023 14:38,0,1/24/2023 4:21,4.06,191.2,S,103.5813,8.200093,0.011,0.014,0
1/25/2023 23:59,1158,12.14,0,0.14,24.08,1/25/2023 0:05,-1.578,1/25/2023 23:48,16.25,93.1,1/25/2023 1:31,66.36,1/25/2023 15:28,81.4,19.38,1/25/2023 13:14,0,1/25/2023 0:09,7.44,263.8,NNW,171.2032,8.355213,0.016,0.022,0
1/26/2023 23:59,1159,12.23,0,0.14,18.82,1/26/2023 23:58,-3.954,1/26/2023 4:29,8.46,88.7,1/26/2023 23:42,71.1,1/26/2023 12:37,79.94,22.96,1/26/2023 20:48,0,1/26/2023 6:15,6.609,240.4,WSW,165.3245,8.554543,0.014,0.018,0
1/27/2023 23:59,1160,12.31,0,0.14,31.46,1/27/2023 4:32,-1.744,1/27/2023 23:58,13.49,96.8,1/27/2023 4:15,65.36,1/27/2023 14:55,77.66,33.76,1/27/2023 11:42,0,1/27/2023 1:57,12.28,284.4,WNW,230.1912,8.702027,0.018,0.025,0
