TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,2.688,12/31/2021 23:59,-15.38,1/1/2022 21:08,-5.733,74.05,1/1/2022 21:18,57.58,1/1/2022 18:17,65.2,17.89,1/1/2022 2:12,0,1/1/2022 22:54,7.548,267.5,NNW,96.96799,7.197574,0.008,0.011,0
1/2/2022 23:59,0,0,1.189,1/2/2022 17:01,-19.73,1/2/2022 6:55,-8.79,79.12,1/2/2022 21:37,59.23,1/2/2022 15:17,71.22,6.41,1/2/2022 9:59,0,1/2/2022 0:40,2.183,185.6,SSW,169.8338,7.238581,0.006,0.007,0
1/3/2022 23:59,0.07,0.07,25.48,1/3/2022 14:54,-4.89,1/3/2022 7:10,11.65,85.3,1/3/2022 8:14,59.21,1/3/2022 15:04,74.41,11.4,1/3/2022 11:07,0,1/3/2022 0:31,2.579,121.9,ESE,148.2856,7.12671,0.011,0.014,0
1/4/2022 23:59,0,0.07,32.2,1/4/2022 12:34,14.32,1/4/2022 4:17,24.85,92.6,1/4/2022 22:56,67.53,1/4/2022 12:31,79.03,18.93,1/4/2022 22:45,0,1/4/2022 0:03,3.656,138.2,ESE,71.69222,7.064376,0.012,0.017,0
1/5/2022 23:59,0,0.07,22.16,1/4/2022 23:59,3.304,1/5/2022 23:58,11.05,90.1,1/5/2022 1:00,70.33,1/5/2022 22:07,78.47,24.07,1/5/2022 8:32,3.056,1/5/2022 8:01,10.97,306.5,NW,104.2492,7.267905,0.013,0.018,0
1/6/2022 23:59,0,0.07,3.576,1/5/2022 23:59,-9.56,1/6/2022 23:58,-4.077,78.52,1/6/2022 3:24,61.51,1/6/2022 14:08,69.91,17.22,1/6/2022 0:56,0,1/6/2022 18:14,6.832,302.1,WNW,169.7592,7.437947,0.009,0.012,0
1/7/2022 23:59,0,0.07,11.38,1/7/2022 23:57,-22.84,1/7/2022 6:58,-6.469,77.02,1/7/2022 2:24,58.47,1/7/2022 22:40,68.02,22.96,1/7/2022 23:34,0,1/7/2022 2:31,4.822,172.3,S,159.3593,7.50721,0.008,0.01,0
1/8/2022 23:59,0,0.07,29.07,1/8/2022 18:52,8.02,1/8/2022 23:58,19.83,90,1/8/2022 17:59,58.95,1/8/2022 0:06,73.48,28.99,1/8/2022 1:41,0.522,1/8/2022 17:55,11.36,200.8,SSW,77.94032,7.336417,0.018,0.025,0
1/9/2022 23:59,0,0.07,8.27,1/8/2022 23:59,-4.718,1/9/2022 7:57,1.771,71.32,1/8/2022 23:59,48.43,1/9/2022 15:12,59.41,18.63,1/9/2022 0:50,0,1/9/2022 5:03,7.294,278.4,W,182.1364,7.614456,0.015,0.021,0
1/10/2022 23:59,0,0.07,4.74,1/10/2022 22:22,-12.1,1/10/2022 5:39,-1.715,73.03,1/10/2022 5:43,43.07,1/10/2022 14:52,59.19,11.03,1/10/2022 13:47,0,1/10/2022 3:54,3.769,263.3,W,180.3799,7.703601,0.01,0.013,0
