TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,1194,12.22,0,0,27.26,1/1/2023 2:39,16.46,1/1/2023 23:48,21.13,97.8,1/1/2023 2:39,89.6,1/1/2023 22:07,94.3,15.95,1/1/2023 16:54,0.745,1/1/2023 7:13,5.109,266.2,W,99.04994,6.014905,0.006,0.008,0
1/2/2023 23:59,1195,12.12,0,0,17.53,1/2/2023 15:27,0.971,1/2/2023 23:00,14.49,94.4,1/2/2023 19:18,83.6,1/2/2023 22:57,91.8,7.901,1/2/2023 5:32,0,1/2/2023 0:45,2.617,238.8,WSW,81.19418,6.083658,0.005,0.005,0
1/3/2023 23:59,1196,12.08,0,0,21.54,1/3/2023 21:31,5.471,1/3/2023 0:00,13.74,94.4,1/3/2023 15:46,86.9,1/3/2023 8:18,90.1,17.29,1/3/2023 21:52,0,1/3/2023 0:01,5.46,95.8,NNE,63.63826,6.146546,0.006,0.007,0
1/4/2023 23:59,1197,12.05,0,0,23.75,1/4/2023 16:30,13.67,1/4/2023 21:59,20.23,94.3,1/4/2023 23:58,72.88,1/4/2023 15:29,84.9,16.62,1/4/2023 9:12,3.876,1/4/2023 22:47,8.73,61.21,NNE,72.93578,6.166048,0.012,0.017,0
1/5/2023 23:59,1198,12,0,0,17.44,1/5/2023 0:11,-4.106,1/5/2023 22:13,11.06,95.2,1/5/2023 1:32,82.7,1/5/2023 19:54,90.6,12.67,1/5/2023 2:46,0,1/5/2023 15:02,3.743,146.4,N,142.9784,6.251374,0.007,0.007,0
1/6/2023 23:59,1199,12.25,0,0,19.14,1/6/2023 15:34,-6.074,1/6/2023 7:12,3.796,93.4,1/6/2023 17:15,79.16,1/6/2023 15:56,85.7,4.472,1/6/2023 3:46,0,1/5/2023 23:59,0.957,208.6,NW,158.341,6.337855,0.006,0.005,0
1/7/2023 23:59,1200,12.26,0,0,20.63,1/7/2023 15:17,-9.1,1/7/2023 3:25,5.131,94.6,1/7/2023 18:46,79.51,1/7/2023 14:46,85.7,7.453,1/7/2023 15:43,0,1/6/2023 23:59,2.001,186.5,S,138.6284,6.380959,0.006,0.006,0
1/8/2023 23:59,1201,12.32,0,0,26.03,1/8/2023 15:21,1.546,1/8/2023 2:37,13.05,95.7,1/8/2023 20:30,72.44,1/8/2023 15:22,87.4,8.05,1/8/2023 13:58,0,1/8/2023 0:01,2.636,193.5,SSW,139.7216,6.390656,0.008,0.009,0
1/9/2023 23:59,1202,12.33,0,0,25.05,1/9/2023 20:15,-2.226,1/9/2023 3:27,13.53,95.6,1/9/2023 17:38,83.8,1/9/2023 3:27,89.7,10.29,1/9/2023 13:59,0,1/9/2023 0:29,2.593,99.8,ENE,105.7275,6.468692,0.005,0.005,0
1/10/2023 23:59,1203,12.39,0,0,29.64,1/10/2023 14:36,23.83,1/10/2023 0:29,27.02,98.3,1/10/2023 6:56,90.1,1/10/2023 16:40,95.9,12.15,1/10/2023 23:39,0,1/10/2023 2:59,4.066,142.6,SE,79.11694,6.409424,0.007,0.008,0
1/11/2023 23:59,1204,12.29,0.01,0.01,29.99,1/11/2023 12:20,17.69,1/11/2023 23:55,25.9,96.6,1/11/2023 9:51,85.5,1/11/2023 21:06,93.1,16.55,1/11/2023 22:17,0,1/11/2023 4:24,5.3,232.9,WNW,60.04602,6.487665,0.009,0.01,0
1/12/2023 23:59,1205,12.23,0,0.01,18.02,1/12/2023 0:19,0.559,1/12/2023 23:21,12.08,92.8,1/12/2023 18:01,78.42,1/12/2023 16:01,86,17.66,1/12/2023 6:26,0,1/12/2023 19:47,7.296,306.5,NNW,120.7475,6.715576,0.009,0.013,0
1/13/2023 23:59,1206,12.2,0,0.01,15.45,1/13/2023 15:31,0.967,1/13/2023 8:44,7.432,92.4,1/13/2023 9:55,72.22,1/13/2023 15:31,84.6,17.96,1/13/2023 23:54,0,1/13/2023 1:28,3.544,161.1,S,173.6974,6.824958,0.009,0.01,0
1/14/2023 23:59,1207,12.3,0,0.01,27.2,1/14/2023 23:40,8.67,1/14/2023 3:31,17.14,91.4,1/14/2023 23:58,80.3,1/14/2023 2:21,85.7,19.97,1/14/2023 20:17,3.354,1/14/2023 3:28,9.9,157.4,SSE,124.9485,6.837644,0.012,0.016,0
1/15/2023 23:59,1208,12.33,0.03,0.04,35.07,1/15/2023 12:46,16.87,1/15/2023 21:57,27.12,97.8,1/15/2023 22:15,77.16,1/15/2023 15:27,89.4,17.89,1/15/2023 1:17,0,1/15/2023 17:27,6.304,146.4,SSE,148.6393,6.790936,0.014,0.018,0
1/16/2023 23:59,1209,12.4,0.03,0.07,33.03,1/16/2023 19:26,20.96,1/16/2023 0:29,28.87,97.2,1/16/2023 7:07,91.9,1/16/2023 19:27,95.1,14.24,1/16/2023 19:19,0,1/16/2023 2:32,6.195,59.92,NNE,80.31728,6.862833,0.006,0.007,0
1/17/2023 23:59,1210,12.31,0,0.07,31.8,1/17/2023 0:55,23.09,1/17/2023 23:49,27.34,96.9,1/17/2023 2:07,85.6,1/17/2023 15:42,91.3,16.7,1/17/2023 12:26,3.354,1/17/2023 23:27,8.95,328.8,NNW,101.521,7.000764,0.012,0.015,0
1/18/2023 23:59,1211,12.26,0,0.07,25.97,1/18/2023 15:55,22.36,1/18/2023 5:52,23.9,94.8,1/18/2023 23:58,86.2,1/18/2023 12:48,90.3,15.2,1/18/2023 19:10,0.969,1/18/2023 6:39,6.203,81.4,NE,86.96894,7.124512,0.01,0.013,0
1/19/2023 23:59,1212,12.22,0,0.07,25.64,1/19/2023 16:21,22.36,1/19/2023 23:53,24.21,95.6,1/19/2023 21:43,87.2,1/19/2023 14:57,92,15.43,1/19/2023 5:49,2.609,1/19/2023 17:32,8.57,140.2,N,78.49586,7.221142,0.009,0.012,0
