TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-9.44,1/1/2022 15:28,-23.66,1/1/2022 8:20,-17.68,80.2,1/1/2022 20:00,60.42,1/1/2022 15:35,71.1,13.94,1/1/2022 0:30,0,1/1/2022 3:33,2.215,284.2,NW,147.7039,6.642552,0.004,0.004,0
1/2/2022 23:59,0,0,-1.806,1/2/2022 15:49,-29.16,1/2/2022 8:03,-14.39,79.73,1/2/2022 22:55,63.78,1/2/2022 15:37,73.64,8.57,1/2/2022 18:59,0,1/1/2022 23:59,2.22,185.6,SSE,169.3287,6.662799,0.005,0.006,0
1/3/2022 23:59,0.03,0.03,21.05,1/3/2022 14:41,-9.64,1/3/2022 7:11,5.409,92.2,1/3/2022 19:23,67.69,1/3/2022 14:42,81.3,8.5,1/3/2022 22:34,0,1/3/2022 3:07,2.135,133,E,106.2205,6.575509,0.006,0.007,0
1/4/2022 23:59,0,0.03,19.65,1/4/2022 21:44,6.46,1/4/2022 2:38,14.07,93.9,1/4/2022 21:13,78.62,1/4/2022 14:43,84.9,18.04,1/4/2022 23:00,1.267,1/4/2022 20:41,7.013,88.7,NE,98.69375,6.592387,0.01,0.014,0
1/5/2022 23:59,0,0.03,15.78,1/4/2022 23:59,-4.794,1/5/2022 23:58,5.314,89.4,1/5/2022 0:02,72.01,1/5/2022 22:47,79.26,23.63,1/5/2022 8:26,0.894,1/5/2022 20:18,9.19,231,NNW,99.60915,6.734516,0.009,0.012,0
1/6/2022 23:59,0,0.03,-4.612,1/5/2022 23:59,-20.22,1/6/2022 22:53,-11.87,78.37,1/6/2022 22:57,62.7,1/6/2022 14:59,70.74,13.57,1/6/2022 0:43,0,1/6/2022 14:37,5.363,305.3,NW,157.3982,6.873994,0.006,0.008,0
1/7/2022 23:59,0,0.03,9.12,1/7/2022 23:57,-31.46,1/7/2022 7:46,-13.37,79.74,1/7/2022 20:24,66.34,1/7/2022 15:09,72.97,24.67,1/7/2022 23:25,0,1/7/2022 0:39,6.365,164.8,SSE,148.6599,6.938164,0.006,0.007,0
1/8/2022 23:59,0,0.03,23.69,1/8/2022 14:38,-2.233,1/8/2022 23:59,13.91,78.07,1/8/2022 10:33,64.7,1/8/2022 22:48,73.88,25.49,1/8/2022 2:53,2.534,1/8/2022 16:30,11.93,224.4,SW,108.4794,6.806235,0.017,0.023,0
1/9/2022 23:59,0,0.03,-1.237,1/9/2022 15:18,-16.53,1/9/2022 23:26,-7.416,81.5,1/9/2022 23:30,48.75,1/9/2022 15:47,64.79,21.09,1/9/2022 0:21,0,1/9/2022 18:57,7.177,275.8,W,186.705,7.053159,0.01,0.014,0
1/10/2022 23:59,0,0.03,0.576,1/10/2022 14:23,-25.06,1/10/2022 3:21,-9.65,82.6,1/10/2022 2:38,45.67,1/10/2022 14:34,66.27,9.24,1/10/2022 9:16,0,1/10/2022 0:02,3.306,235.6,WSW,180.1324,7.128702,0.008,0.01,0
1/11/2022 23:59,0,0.03,32.49,1/11/2022 21:57,-2.574,1/10/2022 23:59,15.41,84.7,1/11/2022 20:30,59.85,1/11/2022 14:14,71.35,20.05,1/11/2022 15:09,0,1/11/2022 20:01,6.751,217.5,SW,166.4894,7.040378,0.019,0.026,0
1/12/2022 23:59,0.04,0.07,33.01,1/12/2022 14:55,19.37,1/12/2022 23:13,27.22,96.7,1/12/2022 22:52,68.72,1/12/2022 14:56,84.8,9.47,1/12/2022 9:48,0,1/12/2022 0:05,2.115,137.1,NNE,126.169,6.986098,0.008,0.009,0
1/13/2022 23:59,0,0.07,30.03,1/13/2022 12:25,15.25,1/13/2022 23:54,24.82,97.9,1/13/2022 7:05,71.02,1/13/2022 20:43,82.7,18.48,1/13/2022 9:35,0,1/13/2022 0:09,5.588,158.6,N,79.94083,7.062677,0.012,0.017,0
1/14/2022 23:59,0,0.07,16.27,1/14/2022 6:12,7.772,1/14/2022 23:50,13.63,85.6,1/14/2022 8:01,60.96,1/14/2022 15:42,75.84,20.57,1/14/2022 9:50,1.789,1/14/2022 23:50,9.02,56.14,NE,90.57632,7.294249,0.014,0.019,0
1/15/2022 23:59,0,0.07,12.08,1/15/2022 15:11,-13.49,1/15/2022 8:14,1.296,91.2,1/15/2022 1:29,61.62,1/15/2022 15:11,77.63,17.14,1/15/2022 22:03,0,1/15/2022 0:46,4.309,178.6,S,196.1092,7.44301,0.011,0.014,0
1/16/2022 23:59,0.01,0.08,31.34,1/16/2022 16:32,5.725,1/16/2022 0:00,18.45,78.57,1/16/2022 0:23,63.49,1/16/2022 4:13,73.02,19.01,1/16/2022 1:31,0,1/16/2022 8:36,6.503,243,WSW,112.761,7.427219,0.016,0.021,0
1/17/2022 23:59,0.04,0.12,32.75,1/17/2022 14:19,14.02,1/17/2022 2:57,23.55,90.7,1/17/2022 23:46,70.02,1/17/2022 14:19,82.4,11.33,1/17/2022 0:48,0,1/17/2022 3:40,3.149,213.1,SSW,143.4191,7.435452,0.015,0.019,0
1/18/2022 23:59,0.06,0.18,39.83,1/18/2022 14:04,3.667,1/18/2022 23:57,23.73,91.6,1/18/2022 8:48,62.27,1/18/2022 23:23,79.41,29.66,1/18/2022 17:26,2.236,1/18/2022 12:59,11.24,223.7,SW,162.9674,7.474297,0.026,0.035,0
1/19/2022 23:59,0,0.18,3.938,1/19/2022 0:01,-11.61,1/19/2022 23:57,-3.04,76.19,1/19/2022 0:16,54.74,1/19/2022 13:22,65.55,22.51,1/19/2022 1:02,0,1/19/2022 23:36,8.79,307.3,NW,209.3279,7.89073,0.013,0.018,0
1/20/2022 23:59,0,0.18,-2.386,1/20/2022 15:22,-23.5,1/20/2022 7:40,-13.09,84.4,1/20/2022 20:00,56.56,1/20/2022 14:57,72.7,9.47,1/20/2022 13:49,0,1/20/2022 0:03,1.726,215.5,SSW,213.7836,8.024777,0.007,0.008,0
1/21/2022 23:59,0,0.18,26.4,1/21/2022 22:28,-16.85,1/21/2022 1:34,3.806,93.7,1/21/2022 20:38,54.89,1/21/2022 14:32,77.22,29.07,1/21/2022 12:27,1.491,1/21/2022 1:19,11.01,189.4,S,148.3251,8.052904,0.014,0.02,0
1/22/2022 23:59,0,0.18,21.87,1/21/2022 23:59,-1.671,1/22/2022 23:54,5.702,85,1/22/2022 20:24,57.92,1/22/2022 10:34,69.25,27.43,1/22/2022 1:45,0,1/22/2022 16:08,6.988,229.4,NW,164.0273,8.20089,0.013,0.017,0
1/23/2022 23:59,0,0.18,3.782,1/23/2022 23:51,-21.12,1/23/2022 7:59,-4.341,87.5,1/23/2022 23:58,63.13,1/23/2022 15:37,77.43,15.06,1/23/2022 17:55,0,1/23/2022 1:40,4.659,195.4,S,116.0268,8.338338,0.007,0.009,0
1/24/2022 23:59,0,0.18,7.154,1/24/2022 15:26,-12.51,1/24/2022 23:58,-0.179,89.8,1/24/2022 0:30,50.9,1/24/2022 14:55,72.73,15.95,1/24/2022 10:37,0.745,1/24/2022 0:03,6.079,238.7,NNW,226.8242,8.430378,0.014,0.018,0
1/25/2022 23:59,0,0.18,-2.298,1/25/2022 14:49,-22.76,1/25/2022 23:33,-12.01,84.1,1/25/2022 2:40,54.18,1/25/2022 14:49,70.63,14.83,1/25/2022 11:03,0,1/25/2022 1:08,3.964,281.3,WNW,228.9353,8.607919,0.009,0.011,0
