TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-6.149,1/1/2022 12:46,-30.65,1/1/2022 8:01,-21.66,81.1,1/1/2022 12:17,70.32,1/1/2022 7:25,74.16,11.48,1/1/2022 2:17,0,1/1/2022 1:13,2.377,247.7,NW,174.4148,6.546263,0.005,0.005,0
1/2/2022 23:59,0,0,0.994,1/2/2022 13:48,-30.56,1/2/2022 8:06,-14.03,83.3,1/2/2022 14:52,70.14,1/2/2022 6:47,77.31,11.18,1/2/2022 11:17,0,1/1/2022 23:59,3.334,171.6,S,170.4085,6.548077,0.005,0.006,0
1/3/2022 23:59,0.02,0.02,23.01,1/3/2022 13:45,-9.18,1/3/2022 1:00,8.98,94.4,1/3/2022 13:42,78.7,1/3/2022 1:57,87,12.52,1/3/2022 5:30,0,1/3/2022 1:13,4.934,170.1,S,123.8404,6.439416,0.009,0.01,0
1/4/2022 23:59,0,0.02,19.44,1/4/2022 18:35,7.318,1/4/2022 1:59,12.73,92.6,1/4/2022 19:25,85.7,1/4/2022 1:39,88.1,20.2,1/4/2022 23:58,3.727,1/4/2022 17:10,10.1,119,ENE,124.8342,6.509208,0.009,0.012,0
1/5/2022 23:59,0.01,0.03,11.46,1/5/2022 0:13,-14.5,1/5/2022 23:52,-0.169,87.8,1/5/2022 0:04,73.34,1/5/2022 22:30,79.79,29.66,1/5/2022 11:37,10.36,1/5/2022 8:08,18.17,322.6,NNW,114.3509,6.670206,0.008,0.012,0
1/6/2022 23:59,0,0.03,-11.58,1/6/2022 14:30,-28.2,1/6/2022 21:42,-18.56,76.09,1/6/2022 22:03,68.77,1/6/2022 15:18,73.22,20.57,1/6/2022 0:25,0,1/6/2022 20:54,8.91,309.9,NW,189.7891,6.794554,0.005,0.007,0
1/7/2022 23:59,0,0.03,9.05,1/7/2022 23:44,-35.92,1/7/2022 6:11,-15.16,83.5,1/7/2022 22:07,65.92,1/7/2022 13:09,72.83,31.3,1/7/2022 23:30,0,1/6/2022 23:59,9.21,171.3,SSE,147.3403,6.845451,0.006,0.008,0
1/8/2022 23:59,0,0.03,22.99,1/8/2022 13:08,-6.612,1/8/2022 23:50,10.4,83.4,1/8/2022 15:28,72.67,1/8/2022 22:32,79.06,27.35,1/8/2022 1:39,3.727,1/8/2022 13:02,14.61,240.3,WSW,111.0387,6.71484,0.015,0.02,0
1/9/2022 23:59,0,0.03,-5.176,1/9/2022 15:23,-13.38,1/9/2022 21:30,-9.11,81.7,1/9/2022 23:21,56.65,1/9/2022 14:24,69.51,25.27,1/9/2022 1:15,2.46,1/9/2022 21:14,9.38,288.1,WNW,188.6735,6.97097,0.009,0.012,0
1/10/2022 23:59,0,0.03,0.854,1/10/2022 13:46,-20.16,1/10/2022 9:07,-8.37,80.7,1/10/2022 0:01,49.08,1/10/2022 13:48,67.96,17.22,1/10/2022 23:50,0,1/10/2022 9:16,5.555,247.5,WSW,169.4991,7.037636,0.008,0.011,0
