TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-13.73,1/1/2022 15:03,-31.41,1/1/2022 9:06,-23.04,78.35,1/1/2022 15:51,71.94,1/1/2022 9:07,75.44,7.081,1/1/2022 14:24,0,1/1/2022 0:01,1.588,280.3,W,174.3743,6.435552,0.003,0.004,0
1/2/2022 23:59,0,0,-0.692,1/2/2022 14:34,-34.22,1/2/2022 8:12,-16.22,84.3,1/2/2022 16:50,71.11,1/2/2022 8:09,78.26,10.81,1/2/2022 17:13,0,1/1/2022 23:59,2.752,153.6,S,175.6359,6.43823,0.005,0.005,0
1/3/2022 23:59,0.03,0.03,18.35,1/3/2022 13:51,-9.99,1/3/2022 0:08,4.991,93.2,1/3/2022 15:35,79.57,1/3/2022 0:04,87.4,9.32,1/3/2022 0:59,0,1/3/2022 2:47,2.471,139.1,ESE,112.3313,6.343888,0.005,0.006,0
1/4/2022 23:59,0,0.03,20.11,1/4/2022 18:10,7.104,1/4/2022 3:24,12.76,94.5,1/4/2022 17:59,88.4,1/4/2022 3:19,91.1,17.89,1/4/2022 13:34,0.447,1/4/2022 21:21,7.215,114.9,ENE,107.3438,6.376277,0.007,0.009,0
1/5/2022 23:59,0,0.03,13.75,1/4/2022 23:59,-10.48,1/5/2022 23:53,2.461,91.6,1/4/2022 23:59,80.4,1/5/2022 23:58,86.3,21.61,1/5/2022 9:03,1.043,1/5/2022 1:36,7.965,265.5,NNW,97.90321,6.524024,0.006,0.008,0
1/6/2022 23:59,0,0.03,-9.09,1/6/2022 14:28,-27.22,1/6/2022 23:02,-16.5,80.5,1/5/2022 23:59,74.18,1/6/2022 23:01,77.45,12.89,1/6/2022 0:20,0,1/6/2022 14:22,4.064,299,WNW,184.3788,6.662266,0.005,0.006,0
1/7/2022 23:59,0,0.03,7.733,1/7/2022 23:58,-37.41,1/7/2022 7:55,-16.2,88,1/7/2022 23:58,70.47,1/7/2022 7:36,77.99,24.22,1/7/2022 21:36,0,1/7/2022 0:35,6.251,186.3,SE,145.2275,6.71642,0.004,0.005,0
1/8/2022 23:59,0,0.03,22.48,1/8/2022 14:31,-6.214,1/8/2022 23:58,10.94,88.5,1/8/2022 3:23,72.1,1/8/2022 23:31,83,27.88,1/8/2022 0:12,2.087,1/8/2022 15:43,11.62,229.1,SW,103.5013,6.593619,0.012,0.016,0
1/9/2022 23:59,0,0.03,-3.672,1/9/2022 14:40,-20.34,1/9/2022 22:48,-10.74,82.5,1/9/2022 23:24,58.37,1/9/2022 14:28,71.62,17.74,1/9/2022 0:30,0,1/9/2022 18:18,5.556,287.8,WNW,170.9646,6.844584,0.007,0.01,0
1/10/2022 23:59,0,0.03,-0.639,1/10/2022 18:47,-25.5,1/10/2022 7:28,-11.11,81,1/10/2022 0:51,53.21,1/10/2022 15:49,69.46,12,1/10/2022 20:42,0,1/10/2022 0:27,3.342,240.3,WSW,186.6953,6.914366,0.007,0.008,0
1/11/2022 23:59,0,0.03,30.46,1/11/2022 15:36,-3.506,1/11/2022 0:01,14.49,88,1/11/2022 19:42,65.34,1/11/2022 12:54,74.4,16.92,1/11/2022 15:25,0,1/11/2022 19:35,6.921,221.1,SW,174.2878,6.825464,0.018,0.024,0
1/12/2022 23:59,0,0.03,29.82,1/12/2022 14:15,19.56,1/12/2022 20:59,26.49,96.6,1/12/2022 7:44,75.71,1/12/2022 14:20,87.2,10.14,1/12/2022 1:08,0,1/12/2022 2:40,2.297,214.3,W,117.8208,6.791367,0.009,0.009,0
1/13/2022 23:59,0,0.03,29.21,1/13/2022 4:01,11.63,1/13/2022 23:28,23.72,94.7,1/13/2022 6:27,74.59,1/13/2022 19:48,84.2,16.62,1/13/2022 8:46,0.894,1/13/2022 7:32,5.801,170.8,N,75.15265,6.875953,0.012,0.017,0
1/14/2022 23:59,0,0.03,16.07,1/14/2022 15:13,7.026,1/14/2022 23:57,12.75,88.2,1/14/2022 9:06,72.72,1/14/2022 20:02,81.1,20.2,1/14/2022 12:14,0.075,1/14/2022 18:53,8.26,63.25,ENE,91.32158,7.070127,0.01,0.014,0
1/15/2022 23:59,0,0.03,10.65,1/15/2022 14:14,-13.19,1/15/2022 7:53,1.477,90.3,1/15/2022 1:34,56.06,1/15/2022 23:58,76.05,20.57,1/15/2022 19:05,0,1/15/2022 0:20,6.414,203.5,S,203.0488,7.235443,0.013,0.016,0
1/16/2022 23:59,0.01,0.04,31.13,1/16/2022 14:56,9.81,1/15/2022 23:59,19.34,87.8,1/16/2022 23:54,52.97,1/16/2022 2:06,74.15,25.79,1/16/2022 0:40,0,1/16/2022 10:34,6.816,255.5,W,107.8946,7.156602,0.017,0.022,0
1/17/2022 23:59,0.05,0.09,30.99,1/17/2022 14:20,8.42,1/17/2022 0:25,23.15,94.8,1/17/2022 0:30,77.86,1/17/2022 14:25,85.6,10.51,1/17/2022 10:11,0,1/17/2022 2:24,2.769,205.4,SW,138.4984,7.214147,0.014,0.016,0
1/18/2022 23:59,0.11,0.2,37.32,1/18/2022 13:14,0.365,1/18/2022 23:57,21.75,93.5,1/18/2022 9:06,68,1/18/2022 19:27,82.3,26.83,1/18/2022 16:05,2.236,1/18/2022 20:36,10.21,226.4,SW,166.809,7.282426,0.023,0.03,0
