TIMESTAMP,RECORD,BATT_daily_min_V,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2023 23:59,1004,12.28,0,0,27.26,12/31/2022 23:59,14.96,1/1/2023 9:25,20.31,97.3,12/31/2022 23:59,90.6,1/1/2023 9:25,94,14.38,1/1/2023 14:18,0,1/1/2023 1:33,3.261,263.5,W,100.2877,6.18973,0.006,0.007,0
1/2/2023 23:59,1005,12.26,0,0,19.64,1/2/2023 0:26,4.95,1/2/2023 23:52,15.55,94.4,1/2/2023 1:20,85.7,1/2/2023 23:52,91.8,6.932,1/2/2023 6:37,0,1/2/2023 0:00,1.761,254.2,W,84.24532,6.246192,0.005,0.005,0
1/3/2023 23:59,1006,12.18,0,0,22.78,1/3/2023 22:46,2.481,1/3/2023 1:34,13.66,94.9,1/3/2023 22:29,82.9,1/3/2023 1:25,90.6,17.89,1/3/2023 23:10,0,1/3/2023 0:24,4.992,94.1,N,54.45961,6.294097,0.005,0.007,0
1/4/2023 23:59,1007,12.17,0,0,23.63,1/4/2023 1:23,17.75,1/4/2023 23:57,21.86,95.1,1/4/2023 5:47,90.4,1/4/2023 23:00,93.6,16.55,1/4/2023 10:20,3.95,1/4/2023 6:23,9.51,48.19,N,92.31309,6.279614,0.008,0.01,0
1/5/2023 23:59,1008,12.12,0,0,18.56,1/5/2023 15:41,1.719,1/5/2023 20:47,13.18,93,1/5/2023 2:48,82.6,1/5/2023 20:46,90.3,14.16,1/5/2023 0:01,0,1/5/2023 10:42,3.403,218.9,NW,151.0351,6.397623,0.009,0.01,0
1/6/2023 23:59,1009,12.33,0,0,18.79,1/6/2023 14:21,-6.458,1/6/2023 7:11,4.308,94.6,1/6/2023 14:20,80.4,1/6/2023 23:31,85.9,5.217,1/6/2023 11:41,0,1/5/2023 23:59,1.066,256.3,W,164.7379,6.499608,0.006,0.006,0
1/7/2023 23:59,1010,12.29,0,0,23.24,1/7/2023 13:46,-8.46,1/7/2023 6:02,5.561,95.1,1/7/2023 13:46,79.9,1/7/2023 8:11,86.5,9.76,1/7/2023 16:20,0,1/6/2023 23:59,1.695,177.9,S,183.5842,6.527018,0.01,0.01,0
1/8/2023 23:59,1011,12.34,0,0,24.02,1/8/2023 14:11,4.772,1/8/2023 4:06,13.43,95.4,1/8/2023 9:21,75.25,1/8/2023 16:10,88.6,10.06,1/8/2023 13:04,0,1/8/2023 0:52,2.022,196.6,SSW,167.7714,6.529166,0.007,0.007,0
1/9/2023 23:59,1012,12.35,0,0,23.97,1/9/2023 23:50,0.212,1/9/2023 3:26,13.85,95.8,1/9/2023 23:53,83.7,1/9/2023 3:26,91,10.81,1/9/2023 12:07,0,1/8/2023 23:59,2.666,96.1,ENE,110.3904,6.622097,0.003,0.003,0
1/10/2023 23:59,1013,12.41,0,0,28.84,1/10/2023 13:57,23.2,1/10/2023 0:16,26.29,97.7,1/10/2023 12:01,92.8,1/10/2023 20:06,95.8,10.96,1/10/2023 18:04,0,1/10/2023 0:36,3.307,148.9,ESE,75.0084,6.572856,0.006,0.006,0
1/11/2023 23:59,1014,12.33,0,0,29.95,1/11/2023 14:24,17.25,1/11/2023 23:48,25.24,95.2,1/11/2023 3:55,85.7,1/11/2023 21:04,91.6,16.25,1/11/2023 21:45,0,1/11/2023 8:16,4.992,242.2,W,63.78778,6.654573,0.009,0.011,0
1/12/2023 23:59,1015,12.28,0,0,17.95,1/12/2023 0:32,1.041,1/12/2023 23:14,12.74,90.8,1/12/2023 1:51,74.55,1/12/2023 15:38,84,18.19,1/12/2023 7:07,0,1/12/2023 18:03,6.471,299,NW,153.8448,6.881332,0.011,0.015,0
1/13/2023 23:59,1016,12.27,0,0,11.28,1/13/2023 15:21,-8.75,1/13/2023 6:47,2.827,89.7,1/13/2023 10:30,74.1,1/13/2023 15:35,82.9,14.76,1/13/2023 22:28,0,1/12/2023 23:59,3.525,150.3,SE,178.4837,7.018585,0.008,0.01,0
1/14/2023 23:59,1017,12.3,0,0,29.33,1/14/2023 22:15,9.38,1/14/2023 0:00,18.28,90.7,1/14/2023 20:42,76.71,1/14/2023 1:19,84.9,20.87,1/14/2023 22:35,3.95,1/14/2023 0:08,10.39,141.3,SE,126.6943,6.996728,0.012,0.017,0
1/15/2023 23:59,1018,12.38,0.11,0.11,35.06,1/15/2023 12:42,23.09,1/15/2023 18:37,29.18,95.8,1/15/2023 18:45,77.49,1/15/2023 13:41,87.6,19.16,1/15/2023 0:13,0,1/15/2023 20:40,7.048,144.1,SSE,176.2339,6.94388,0.019,0.024,0
1/16/2023 23:59,1019,12.43,0.07,0.18,33.37,1/16/2023 20:47,25.92,1/16/2023 0:44,30.13,97.4,1/16/2023 9:39,91.4,1/16/2023 21:11,94.8,14.83,1/16/2023 20:17,0.82,1/16/2023 0:17,6.585,81.9,NNE,77.4559,7.008298,0.007,0.008,0
1/17/2023 23:59,1020,12.37,0,0.18,32.35,1/17/2023 1:28,18.17,1/17/2023 23:43,25.26,94.9,1/17/2023 0:00,83.6,1/17/2023 15:00,89.7,15.43,1/17/2023 10:58,0,1/17/2023 16:05,6.383,301.6,WNW,97.74954,7.182741,0.011,0.014,0
1/18/2023 23:59,1021,12.31,0,0.18,27.93,1/18/2023 15:41,17.92,1/18/2023 0:18,23.39,94.9,1/18/2023 23:32,81.5,1/18/2023 15:15,87.3,13.86,1/18/2023 18:38,0,1/18/2023 1:35,4.38,140.6,NNE,86.1482,7.282398,0.011,0.014,0
1/19/2023 23:59,1022,12.32,0,0.18,26.5,1/19/2023 16:18,21.23,1/19/2023 23:58,24.81,95.6,1/19/2023 0:55,86.1,1/19/2023 15:17,91.5,16.7,1/19/2023 9:50,0.373,1/19/2023 23:16,8.26,166.4,N,82.46487,7.372669,0.01,0.013,0
1/20/2023 23:59,1023,12.27,0,0.18,22.53,1/20/2023 23:54,14.03,1/20/2023 4:58,19.09,96,1/20/2023 21:33,84.3,1/20/2023 14:00,90.4,15.2,1/20/2023 16:34,0,1/20/2023 4:52,5.462,268.9,W,101.3434,7.547511,0.01,0.012,0
1/21/2023 23:59,1024,12.28,0,0.18,22.78,1/21/2023 0:28,7.836,1/21/2023 19:51,17.45,96.1,1/21/2023 1:07,87.5,1/21/2023 17:39,92.7,15.5,1/21/2023 2:50,0,1/21/2023 17:35,5.127,225.5,SW,157.7054,7.638882,0.01,0.011,0
1/22/2023 23:59,1025,12.3,0,0.18,25.07,1/22/2023 11:54,1.55,1/22/2023 23:10,9.26,98.4,1/22/2023 12:44,83.6,1/22/2023 23:07,88.5,3.801,1/22/2023 14:11,0,1/22/2023 1:06,0.617,163.8,SSE,166.2749,7.792313,0.009,0.007,0
1/23/2023 23:59,1026,12.3,0.01,0.19,32.09,1/23/2023 15:21,1.645,1/23/2023 0:27,21.16,96.2,1/23/2023 10:48,74.91,1/23/2023 20:35,88.4,16.4,1/23/2023 19:03,0,1/22/2023 23:59,4.896,250.6,W,89.07088,7.759701,0.01,0.012,0
1/24/2023 23:59,1027,12.28,0,0.19,25.23,1/24/2023 16:33,7.899,1/24/2023 6:08,19.94,96.5,1/24/2023 5:17,76.29,1/23/2023 23:59,89.8,12.97,1/24/2023 15:04,0,1/24/2023 1:01,3.969,172.2,SSE,105.6386,7.979172,0.01,0.013,0
1/25/2023 23:59,1028,12.3,0,0.19,23.95,1/25/2023 0:09,-3.97,1/25/2023 23:34,14.26,95.1,1/25/2023 0:08,67.2,1/25/2023 15:13,82.7,18.86,1/25/2023 13:55,0,1/25/2023 20:43,7.559,288.6,NNW,191.8139,8.171452,0.016,0.021,0
1/26/2023 23:59,1029,12.22,0,0.19,19.82,1/26/2023 23:58,-6.01,1/26/2023 2:53,8.38,89.8,1/26/2023 23:58,75.07,1/26/2023 14:10,83.3,24.82,1/26/2023 21:33,0,1/26/2023 0:21,7.105,214.2,SSW,147.2918,8.329052,0.012,0.015,0
1/27/2023 23:59,1030,12.3,0,0.19,30.2,1/27/2023 3:53,-5.351,1/27/2023 23:51,12.03,95.3,1/27/2023 3:34,66.11,1/27/2023 15:15,79.13,27.95,1/27/2023 4:28,0,1/27/2023 21:19,10.08,280.7,WNW,212.2024,8.493618,0.016,0.021,0
1/28/2023 23:59,1031,12.17,0,0.19,0.414,1/28/2023 14:43,-14.87,1/28/2023 23:20,-7.605,83.2,1/28/2023 2:10,57.32,1/28/2023 14:40,73.77,11.85,1/28/2023 15:12,0,1/28/2023 0:20,3.474,290,WNW,223.1048,8.736637,0.009,0.011,0
1/29/2023 23:59,1032,12.05,0,0.19,0.434,1/29/2023 14:13,-23.48,1/29/2023 7:19,-10.02,82.1,1/29/2023 19:43,62.01,1/29/2023 15:03,75.84,14.68,1/29/2023 17:10,0,1/29/2023 2:09,3.95,250.1,WSW,216.715,8.870415,0.009,0.011,0
