TIMESTAMP,RAIN_daily_in,RAIN_cmltv_in,AIRTEMP_daily_max_F,AIRTEMP_F_TMx,AIRTEMP_daily_min_F,AIRTEMP_F_TMn,AIRTEMP_daily_avg_F,RLTVHMDTY_daily_max_%,RH_TMx,RLTVHMDTY_daily_min_%,RH_TMn,RLTVHMDTY_daily_avg_%,WNDSP_daily_max_mph,WNDSP_mph_TMx,WNDSP_daily_min_mph,WNDSP_mph_TMn,WNDSP_daily_avg_mph,WND_DIR_daily_dgr,WND_DIR_daily_crdn,SolarFlux_daily_lnglys,SolarRad_daily_mj,ETos_daily_in,ETrs_daily_in,CornGDD_daily
1/1/2022 23:59,0,0,-11.94,1/1/2022 14:33,-24.97,1/1/2022 21:47,-19.47,75.87,1/1/2022 22:03,72.34,1/1/2022 21:48,74.24,14.46,1/1/2022 0:05,0,1/1/2022 4:25,4.17,292.5,WNW,144.9746,6.754921,0.004,0.005,0
1/2/2022 23:59,0,0,3.218,1/2/2022 23:56,-29.55,1/2/2022 7:40,-12.94,83.7,1/2/2022 23:36,70.84,1/2/2022 7:05,76.79,9.99,1/2/2022 17:50,0,1/2/2022 2:06,4.112,185.2,S,155.9711,6.754242,0.005,0.007,0
1/3/2022 23:59,0.02,0.02,20.93,1/3/2022 14:06,1.098,1/3/2022 1:02,11.05,92.3,1/3/2022 19:41,80.8,1/3/2022 0:59,86.2,10.81,1/3/2022 1:14,0,1/3/2022 3:31,4.022,161.9,WSW,133.3445,6.631248,0.008,0.01,0
1/4/2022 23:59,0,0.02,18.83,1/4/2022 20:21,7.36,1/4/2022 2:01,13.18,95.1,1/4/2022 20:05,85.3,1/4/2022 1:32,88.3,23.55,1/4/2022 23:19,0,1/4/2022 0:02,7.556,126.4,NE,110.7951,6.700598,0.008,0.01,0
1/5/2022 23:59,0,0.02,10.72,1/5/2022 2:01,-12.83,1/5/2022 22:32,1.839,86.8,1/5/2022 2:51,72.68,1/5/2022 23:35,79.72,25.71,1/5/2022 10:51,6.334,1/5/2022 5:29,13.66,323.2,NW,132.1451,6.857263,0.009,0.012,0
1/6/2022 23:59,0,0.02,-11.46,1/6/2022 0:03,-25.99,1/6/2022 21:19,-17.41,76.02,1/6/2022 20:46,68.36,1/6/2022 15:12,72.24,18.18,1/6/2022 0:09,0,1/6/2022 20:02,8.15,303.7,NW,179.4037,6.998287,0.005,0.007,0
1/7/2022 23:59,0,0.02,10.09,1/7/2022 22:58,-33.44,1/7/2022 7:05,-13.6,83.5,1/7/2022 20:43,68.04,1/7/2022 13:32,73.88,32.04,1/7/2022 22:25,0,1/7/2022 0:15,8.81,143.2,SE,144.1664,7.049345,0.006,0.007,0
1/8/2022 23:59,0,0.02,23.78,1/8/2022 14:03,-4.737,1/8/2022 23:55,11.51,82.9,1/8/2022 15:27,71.52,1/8/2022 23:23,77.54,30.48,1/8/2022 20:22,4.099,1/8/2022 13:05,14.37,225.9,SW,116.8627,6.905476,0.016,0.022,0
1/9/2022 23:59,0,0.02,-3.248,1/9/2022 18:15,-13.45,1/9/2022 23:15,-7.218,78.59,1/9/2022 23:22,56.75,1/9/2022 15:45,68.24,22.06,1/9/2022 0:10,2.161,1/9/2022 18:56,9.56,287.6,WNW,177.0013,7.168608,0.009,0.013,0
1/10/2022 23:59,0,0.02,2.433,1/10/2022 17:58,-17.26,1/10/2022 8:12,-7.683,81.4,1/10/2022 1:13,54.45,1/10/2022 16:22,69.3,12.67,1/10/2022 21:33,0,1/10/2022 8:05,4.883,232.5,WSW,176.144,7.240613,0.008,0.01,0
1/11/2022 23:59,0,0.02,33.76,1/11/2022 14:51,-1.857,1/11/2022 0:26,17.35,91.6,1/11/2022 21:48,66.42,1/11/2022 12:33,76.72,24.74,1/11/2022 16:15,0,1/11/2022 8:53,9.74,214.2,SW,162.0325,7.098566,0.021,0.029,0
1/12/2022 23:59,0.17,0.19,33.63,1/12/2022 11:20,16.03,1/12/2022 23:10,27.11,98,1/12/2022 22:07,71.52,1/12/2022 11:21,87.6,13.64,1/12/2022 0:10,0,1/12/2022 3:20,2.581,145.2,NW,169.378,7.083653,0.012,0.013,0
1/13/2022 23:59,0,0.19,30.46,1/13/2022 9:14,18.81,1/13/2022 23:55,24.99,98.5,1/13/2022 5:08,76.05,1/13/2022 23:14,88.6,20.72,1/13/2022 9:14,0,1/13/2022 0:08,6.925,239.4,NNW,92.35023,7.167105,0.01,0.013,0
1/14/2022 23:59,0,0.19,19.44,1/14/2022 0:02,-2.956,1/14/2022 23:38,12.37,90,1/14/2022 9:35,75.57,1/14/2022 0:19,85.1,18.26,1/14/2022 15:45,0,1/14/2022 1:25,6.056,53.27,NE,103.8698,7.383265,0.008,0.011,0
