,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4814,1.5,89,983,350,1/1/2023,3.2,0,91,84,1672552800,1672560000,1672552800,728,261,0.6,-3.4,final,18,201,-4.1,429,0,2.6,6.4,77,23,261,-1.8,550,1014,1851,237,1672632000,0
1,1,4830,-3,91,989,352,1/2/2023,2.4,3,94,84,1672722000,1672639200,1672639200,729,205,0.6,-6,final,10,201,-7.8,232,3,1.3,4.4,78,23,205,-4.8,552,1020,1862,235,1672671600,60
2,2,4846,0.4,89,977,353,1/3/2023,6,24.3,99,84,1672808400,1672758000,1672725600,730,56,0.6,-3.1,final,14,202,-3.3,334,24.3,4.6,11.2,78,23,56,-1.6,554,1008,1875,181,1672743600,451
3,3,4864,0.7,92,975,355,1/4/2023,4.4,23,99,84,1672862400,1672894800,1672812000,731,36,0.6,-1,final,11,203,-0.4,258,23,4,9.2,79,23,36,0.1,556,1006,1888,312,1672894800,312.5
4,4,4884,-0.7,87,984,357,1/5/2023,4.4,1.8,74,84,1672898400,1672927200,1672898400,732,258,0.6,-5.6,final,17,203,-9.3,402,1.8,3.4,8.8,79,23,258,-3.8,558,1015,1903,405,1672981200,93
5,5,4905,-9.3,85,993,359,1/6/2023,2.4,0,37,85,1673038800,1672984800,1672984800,734,288,1.4,-14.6,final,47,204,-14.8,1124,0,1.9,4,80,23,288,-12.6,561,1025,1919,387,1673067600,0
6,6,4927,-8.5,86,999,361,1/7/2023,2.4,0,19,85,1673125200,1673121600,1673071200,735,229,2,-16,final,70,205,-18.5,1688,0,1.4,3.6,81,23,229,-14.1,563,1032,1935,372,1673096400,0
7,7,4950,-6.3,81,992,363,1/8/2023,3.6,0,28,85,1673211600,1673208000,1673157600,737,205,2,-14,final,81,206,-15.2,1952,0,3,7.2,81,24,205,-11.3,566,1024,1953,361,1673179200,0
8,8,4974,0.4,86,983,366,1/9/2023,3.6,0,49,85,1673308800,1673283600,1673244000,738,171,1.2,-7.9,final,52,207,-13.7,1240,0,2.6,6.4,82,24,171,-5.9,569,1015,1971,351,1673254800,0
9,9,5000,-1.9,92,981,368,1/10/2023,2,0,89,85,1673388000,1673334000,1673330400,740,251,0.7,-5.1,final,16,208,-6.7,391,0,1.4,5.2,83,24,251,-4,572,1013,1991,343,1673348400,0
10,10,5026,0.7,90,981,371,1/11/2023,3.2,8.3,77,86,1673478000,1673485200,1673416800,742,199,1.2,-2.4,final,65,209,-3.3,1563,8.3,1.6,5.6,84,24,199,-0.9,575,1012,2011,352,1673416800,158.3
11,11,5054,-0.4,84,993,374,1/12/2023,5.2,0,92,86,1673503200,1673550000,1673503200,743,325,0.6,-6.1,final,19,211,-7.4,456,0,4.4,10,85,24,325,-3.8,579,1024,2033,351,1673586000,0
12,12,5083,-6.7,87,999,377,1/13/2023,4,0,77,86,1673640000,1673589600,1673589600,745,284,1.3,-9.4,final,52,212,-8.5,1244,0,2.3,7.2,86,24,284,-7.6,582,1031,2055,344,1673672400,0
13,13,5113,-0.4,81,988,380,1/14/2023,6,0,76,87,1673748000,1673730000,1673676000,747,164,1.3,-7.6,final,35,213,-9.6,838,0,4.8,11.2,87,24,164,-4.8,586,1019,2079,338,1673679600,0
14,14,5144,3.3,76,978,383,1/15/2023,6,0,80,87,1673816400,1673766000,1673762400,749,156,2.1,-3,final,77,214,-1.5,1836,0,4.8,11.2,88,25,156,0.8,589,1009,2103,331,1673762400,0
15,15,5176,2.6,88,970,386,1/16/2023,4.4,14.8,99,87,1673866800,1673866800,1673848800,751,119,0.7,0.2,final,12,216,0.4,285,14.8,3.5,8.4,89,25,119,1.9,593,1000,2128,321,1673928000,29.5
16,16,5209,1.5,91,975,390,1/17/2023,4.8,0,98,87,1673989200,1673992800,1673935200,753,311,0.7,-0.7,final,19,217,-0.4,463,0,3.8,8.8,90,25,311,0.6,597,1006,2155,318,1673935200,0
17,17,5243,0.7,86,985,393,1/18/2023,4.4,0,82,88,1674068400,1674097200,1674021600,755,148,1.2,-2.6,final,42,218,-3,1017,0,2.9,9.2,91,25,148,-0.6,601,1016,2182,319,1674043200,0
18,18,5278,0,87,977,397,1/19/2023,5.6,14.3,96,88,1674154800,1674162000,1674108000,757,158,0.7,-3.1,final,18,220,-3,436,14.3,4.5,10.8,92,25,158,-1.1,605,1008,2210,255,1674183600,249.5
19,19,5314,-3.7,84,990,401,1/20/2023,4,0,95,88,1674237600,1674198000,1674194400,760,294,0.7,-6.9,final,22,221,-7,518,0,3.2,7.6,93,25,294,-4.6,611,1022,2239,364,1674270000,0
20,20,5352,-4.4,91,989,404,1/21/2023,2.4,0,98,89,1674331200,1674291600,1674280800,762,236,0.8,-7.2,final,27,223,-7.8,658,0,1.7,5.2,95,26,236,-5.9,618,1021,2269,355,1674298800,0
21,21,5396,-5.6,91,985,408,1/22/2023,2.4,0,93,89,1674367200,1674450000,1674367200,764,293,0.7,-8.8,final,13,225,-9.3,311,0,1.3,4.4,96,26,293,-7.7,624,1017,2301,350,1674450000,0
22,22,5443,-1.9,88,986,412,1/23/2023,4.8,0,89,90,1674525600,1674532800,1674453600,766,241,1,-8.1,final,32,227,-10.7,759,0,3.4,9.6,97,26,241,-6.5,630,1017,2334,346,1674482400,0
23,23,5493,-1.5,85,988,417,1/24/2023,3.6,0,77,90,1674622800,1674543600,1674540000,769,212,1.1,-6.1,final,52,229,-7.8,1256,0,2.7,7.6,99,27,212,-3.9,637,1019,2367,342,1674565200,0
24,24,5545,-1.9,87,982,421,1/25/2023,5.6,6.8,94,90,1674630000,1674694800,1674626400,771,288,0.7,-5.3,final,21,231,-6.7,494,6.8,3.2,10.4,100,27,288,-3.4,643,1014,2402,337,1674709200,132.8
25,25,5598,-7.8,76,985,425,1/26/2023,5.6,0,72,91,1674712800,1674712800,1674712800,773,274,2.3,-15,final,79,233,-14.8,1884,0,4,10,102,27,274,-11.6,649,1018,2438,276,1674741600,0
26,26,5653,-0.4,77,976,430,1/27/2023,8,2.3,81,91,1674824400,1674838800,1674799200,776,260,0.9,-9.8,final,34,236,-13.3,805,2.3,6.1,15.2,103,27,260,-6.5,656,1007,2475,272,1674882000,57.5
27,27,5708,-13.7,68,994,434,1/28/2023,3.6,0,98,91,1674885600,1674889200,1674885600,778,184,0.7,-19.8,final,28,238,-16.3,673,0,3,7.2,105,28,184,-15.2,662,1027,2513,300,1674914400,0
28,28,5764,-14.4,65,1000,439,1/29/2023,4,0,73,92,1675022400,1674972000,1674972000,781,306,2.3,-22.4,final,78,240,-20,1878,0,3.2,7.6,106,28,306,-17.3,669,1033,2552,294,1675000800,0
29,29,5820,-16.7,65,1001,444,1/30/2023,4.4,0,24,92,1675108800,1675101600,1675058400,783,270,2,-24.8,final,106,242,-22.6,2543,0,3.1,8.8,108,28,270,-19.8,675,1035,2591,290,1675141200,0
30,30,5876,-13,67,996,449,1/31/2023,4.4,0,5,93,1675198800,1675198800,1675144800,786,216,2.2,-23,final,109,245,-24.1,2610,0,3.5,8.8,110,28,216,-18.4,682,1029,2632,286,1675162800,0
31,31,5932,-7.4,69,991,454,2/1/2023,3.6,0,6,93,1675288800,1675288800,1675231200,788,218,2.2,-17.8,final,111,247,-19.6,2663,0,2.7,6.8,111,29,218,-13.2,688,1024,2674,271,1675256400,0
