,index,t_dni,max_temp,rh,pres,max_ghi,Date,max_wind_spd,precip_gpm,clouds,max_dhi,max_temp_ts,max_wind_spd_ts,ts,max_dni,max_wind_dir,max_uv,dewpt,revision_status,solar_rad,dni,min_temp,t_solar_rad,precip,wind_spd,wind_gust_spd,ghi,dhi,wind_dir,temp,t_dhi,slp,t_ghi,snow_depth,min_temp_ts,snow
0,0,4700,-4,96,962,333,2023-01-01,4.8,0.0,88,82,1672552800,1672606800,1672552800,717,267,1.4,-6.6,final,42,196,-8.0,1018,0.0,2.2,7.2,73,22,267,-6.0,527,1013,1758,195.0,1672588800,0.0
1,1,4715,-6,94,967,335,2023-01-02,2.8,0.0,70,82,1672639200,1672722000,1672639200,718,175,0.6000000000000001,-8.6,final,8,196,-10.5,199,0.0,1.6,3.2,74,22,175,-7.8,529,1019,1770,194.0,1672722000,0.0
2,2,4731,-4,90,958,336,2023-01-03,8.3,1.0,57,82,1672801200,1672790400,1672725600,720,66,0.6000000000000001,-8.9,final,14,197,-12.0,339,1.0,3.7,12.4,74,22,66,-7.5,530,1009,1782,189.0,1672747200,25.0
3,3,4748,-3,89,958,338,2023-01-04,6.6,2.0,80,82,1672837200,1672826400,1672812000,721,258,0.6000000000000001,-5.4,final,14,198,-5.0,341,2.0,5.9,10.0,75,22,258,-3.8,532,1009,1795,250.0,1672887600,61.0
4,4,4766,-5,88,964,340,2023-01-05,5.1,0.0,41,82,1672898400,1672898400,1672898400,722,304,1.8,-12.6,final,75,199,-17.0,1809,0.0,2.8,8.8,75,22,304,-11.1,535,1017,1809,289.0,1672977600,0.0
5,5,4785,-11,86,971,342,2023-01-06,3.0,0.0,12,83,1673035200,1673053200,1672984800,723,295,0.6000000000000001,-16.9,final,9,199,-19.0,213,0.0,1.7000000000000002,4.8,76,22,295,-15.1,537,1025,1825,280.0,1673010000,0.0
6,6,4805,-8,87,975,344,2023-01-07,3.3,0.0,20,83,1673121600,1673121600,1673071200,725,229,1.1,-16.8,final,61,200,-19.0,1465,0.0,1.7000000000000002,6.0,77,22,229,-15.1,539,1030,1841,274.0,1673089200,0.0
7,7,4825,-4,88,967,346,2023-01-08,4.5,0.0,10,83,1673208000,1673175600,1673157600,727,198,1.8,-12.2,final,76,201,-15.0,1834,0.0,3.0,6.0,77,23,198,-10.5,542,1020,1858,269.0,1673157600,0.0
8,8,4847,-6,91,960,348,2023-01-09,2.8,0.0,99,83,1673323200,1673280000,1673244000,728,136,0.6000000000000001,-10.9,final,10,202,-15.0,248,0.0,1.8,6.4,78,23,136,-9.7,544,1012,1876,263.0,1673258400,0.0
9,9,4869,-3,95,959,351,2023-01-10,2.2,0.0,93,83,1673413200,1673337600,1673330400,730,197,0.6000000000000001,-5.6,final,15,203,-8.0,360,0.0,1.1,4.8,79,23,197,-4.9,547,1011,1895,260.0,1673341200,0.0
10,10,4892,-3,95,961,354,2023-01-11,5.0,0.0,81,84,1673449200,1673499600,1673416800,732,216,0.8,-5.3,final,25,204,-7.0,593,0.0,2.6,8.8,80,23,216,-4.6,550,1012,1915,253.0,1673492400,0.0
11,11,4916,-7,87,974,356,2023-01-12,6.3,0.0,56,84,1673503200,1673535600,1673503200,733,307,0.6000000000000001,-12.1,final,16,205,-16.5,380,0.0,4.4,10.0,81,23,307,-10.4,552,1027,1936,252.0,1673586000,0.0
